LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2020012300	532.598516655165
Oahu	2020012302	482.672997960525
Oahu	2020012304	564.31941113329
Oahu	2020012306	845.770985082045
Oahu	2020012308	918.921213664957
Oahu	2020012310	957.789031729327
Oahu	2020012312	968.355032392165
Oahu	2020012314	959.755831599058
Oahu	2020012316	952.048600370719
Oahu	2020012318	1054.70131555882
Oahu	2020012320	926.331121705041
Oahu	2020012322	696.143020798077
Oahu	2020022300	572.73561159785
Oahu	2020022302	502.066845135889
Oahu	2020022304	518.14456164374
Oahu	2020022306	647.589655596656
Oahu	2020022308	853.055124017612
Oahu	2020022310	937.926307281968
Oahu	2020022312	941.162384030013
Oahu	2020022314	936.325368480978
Oahu	2020022316	952.197261964847
Oahu	2020022318	1011.08791231551
Oahu	2020022320	923.529513700397
Oahu	2020022322	760.328117724966
Oahu	2020032300	568.836280798632
Oahu	2020032302	503.439068423283
Oahu	2020032304	516.543692636926
Oahu	2020032306	609.133483580251
Oahu	2020032308	795.719627488713
Oahu	2020032310	853.878485907719
Oahu	2020032312	862.134578533346
Oahu	2020032314	858.040801160775
Oahu	2020032316	873.855533214789
Oahu	2020032318	927.325967884712
Oahu	2020032320	884.421533877626
Oahu	2020032322	710.985729367856
Oahu	2020042300	543.07301715373
Oahu	2020042302	492.895960250058
Oahu	2020042304	560.774564952182
Oahu	2020042306	820.602367813654
Oahu	2020042308	962.008508412238
Oahu	2020042310	1028.94949815872
Oahu	2020042312	1052.34562254238
Oahu	2020042314	1057.27420804987
Oahu	2020042316	1044.3639606154
Oahu	2020042318	1045.74769994178
Oahu	2020042320	981.448140566826
Oahu	2020042322	733.570007900392
Oahu	2020052300	615.228399556971
Oahu	2020052302	561.906626481175
Oahu	2020052304	641.403309249839
Oahu	2020052306	897.76631984967
Oahu	2020052308	1042.00840718732
Oahu	2020052310	1100.0870720985
Oahu	2020052312	1111.76238138907
Oahu	2020052314	1098.46338039625
Oahu	2020052316	1047.26851502912
Oahu	2020052318	1018.73791231982
Oahu	2020052320	967.405971191718
Oahu	2020052322	782.420696290069
Oahu	2020062300	595.136959596016
Oahu	2020062302	541.369201737837
Oahu	2020062304	612.003699259556
Oahu	2020062306	846.560008237733
Oahu	2020062308	1003.4379123112
Oahu	2020062310	1083.87221003551
Oahu	2020062312	1106.43359607843
Oahu	2020062314	1108.45762717219
Oahu	2020062316	1080.95620937698
Oahu	2020062318	1048.56068439705
Oahu	2020062320	1030.49320573568
Oahu	2020062322	798.018089281118
Oahu	2020072300	654.221986725856
Oahu	2020072302	594.588098198728
Oahu	2020072304	656.531894763067
Oahu	2020072306	885.79375716502
Oahu	2020072308	1032.13992951589
Oahu	2020072310	1113.90073534254
Oahu	2020072312	1130.49304430744
Oahu	2020072314	1124.39805853654
Oahu	2020072316	1108.74350411564
Oahu	2020072318	1073.18044026815
Oahu	2020072320	1036.87406845003
Oahu	2020072322	818.235298346589
Oahu	2020082300	645.302640049057
Oahu	2020082302	574.382265583888
Oahu	2020082304	589.785351589936
Oahu	2020082306	717.88111474507
Oahu	2020082308	933.169275858224
Oahu	2020082310	1013.58082068127
Oahu	2020082312	1019.81288221313
Oahu	2020082314	1013.7294822754
Oahu	2020082316	1004.92438866413
Oahu	2020082318	988.389310923265
Oahu	2020082320	956.279593092611
Oahu	2020082322	810.162136255333
Oahu	2020092300	602.386829591341
Oahu	2020092302	555.937479608972
Oahu	2020092304	641.917831912708
Oahu	2020092306	892.917788261654
Oahu	2020092308	1027.40579058176
Oahu	2020092310	1085.50734798256
Oahu	2020092312	1112.56278099539
Oahu	2020092314	1114.01505820225
Oahu	2020092316	1087.98881010351
Oahu	2020092318	1138.32604464029
Oahu	2020092320	998.783757502362
Oahu	2020092322	761.517340683814
Oahu	2020102300	596.589236802877
Oahu	2020102302	547.704279472957
Oahu	2020102304	613.673245735206
Oahu	2020102306	860.613693651824
Oahu	2020102308	986.845603346306
Oahu	2020102310	1047.7030535667
Oahu	2020102312	1070.73331688162
Oahu	2020102314	1065.16443960675
Oahu	2020102316	1043.04889875786
Oahu	2020102318	1102.3740876461
Oahu	2020102320	968.183478308425
Oahu	2020102322	756.908970854198
Oahu	2020112300	549.796848447203
Oahu	2020112302	500.991945036751
