GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year
Oahu_OnshoreWind_OnWind_Kawailoa,Oahu,OnshoreWind,487500.910437,69.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,Oahu,SlopedDistPV,0.0,106.847507393,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,Oahu,SlopedDistPV,0.0,180.07083475,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,Oahu,SlopedDistPV,0.0,143.287197571,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_11,Oahu,SlopedDistPV,0.0,32.8100135746,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,Oahu,SlopedDistPV,0.0,204.324035724,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_13,Oahu,SlopedDistPV,0.0,186.865007459,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,Oahu,SlopedDistPV,0.0,243.856840239,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,Oahu,SlopedDistPV,0.0,24.078940238,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,Oahu,SlopedDistPV,0.0,90.0678113805,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,Oahu,SlopedDistPV,0.0,80.6144815891,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,Oahu,SlopedDistPV,0.0,76.85137505,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,Oahu,SlopedDistPV,0.0,78.530569005,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_6,Oahu,SlopedDistPV,0.0,164.176494183,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,Oahu,SlopedDistPV,0.0,169.001224189,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_8,Oahu,SlopedDistPV,0.0,281.051457179,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,Oahu,SlopedDistPV,0.0,110.952479857,.,20,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_Waiau_10,Oahu,Waiau_10,0.0,49.9,49.9,77,0.0,0,0,0,0,3.55519713262,multiple,.,1.0,1.0,0.661322645291,.,.,.
Oahu_Waiau_6,Oahu,Waiau_6,0.0,53.5,53.5,61,0.0,0,0,0,0,0.32,multiple,.,3.0,5.0,5.17757009346,.,.,.
Oahu_Waiau_7,Oahu,Waiau_7,0.0,82.9,82.9,56,0.0,0,0,0,0,0.32,multiple,.,3.0,6.0,11.2545235223,.,.,.
Oahu_Waiau_8,Oahu,Waiau_8,0.0,86.1,86.1,54,0.0,0,0,0,0,0.32,multiple,.,3.0,6.0,10.8362369338,.,.,.
Oahu_Waiau_9,Oahu,Waiau_9,0.0,52.9,52.9,77,0.0,0,0,0,0,3.37380952381,multiple,.,1.0,1.0,0.680529300567,.,.,.
