GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year
Oahu_Kahe_1,Oahu,Kahe_1,0.0,82.1,82.1,59,0.0,0,0,0,0,0.32,multiple,.,3.0,6.0,11.3641900122,.,.,.
Oahu_Kahe_2,Oahu,Kahe_2,0.0,82.1,82.1,58,0.0,0,0,0,0,0.32,multiple,.,3.0,6.0,11.3641900122,.,.,.
Oahu_Kahe_3,Oahu,Kahe_3,0.0,86.1,86.1,52,0.0,0,0,0,0,0.32,multiple,.,3.0,6.0,10.8362369338,.,.,.
Oahu_Kahe_4,Oahu,Kahe_4,0.0,85.3,85.3,50,0.0,0,0,0,0,0.32,multiple,.,3.0,6.0,10.937866354,.,.,.
Oahu_Kahe_5,Oahu,Kahe_5,0.0,134.3,134.3,71,0.0,0,0,0,0,0.32,multiple,.,3.0,6.0,10.0670141474,.,.,.
Oahu_Kahe_6,Oahu,Kahe_6,0.0,134.4,134.4,64,0.0,0,0,0,0,0.32,multiple,.,3.0,6.0,20.1116071429,.,.,.
Oahu_Kalaeloa_CC1,Oahu,Kalaeloa_CC1,0.0,90.0,90.0,61,0.0,0,0,0,0,6.0,multiple,.,3.0,5.0,8.88888888889,.,.,.
Oahu_Kalaeloa_CC2,Oahu,Kalaeloa_CC2,0.0,90.0,90.0,61,0.0,0,0,0,0,6.0,multiple,.,3.0,5.0,8.88888888889,.,.,.
Oahu_Kalaeloa_CC3,Oahu,Kalaeloa_CC3,0.0,28.0,28.0,61,0.0,0,0,0,0,6.0,multiple,.,1.0,3.0,0.0,.,.,.
Oahu_OffshoreWind_OffWind,Oahu,OffshoreWind,512500.0,2400.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_101,Oahu,OnshoreWind,491944.684437,20.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_102,Oahu,OnshoreWind,471955.060217,305.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_103,Oahu,OnshoreWind,484553.596637,100.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_104,Oahu,OnshoreWind,472249.804817,27.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_105,Oahu,OnshoreWind,479420.808967,17.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_106,Oahu,OnshoreWind,470889.635837,60.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_107,Oahu,OnshoreWind,467895.607347,20.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_201,Oahu,OnshoreWind,474605.685917,37.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_202,Oahu,OnshoreWind,483439.878867,220.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_203,Oahu,OnshoreWind,470713.851927,50.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_204,Oahu,OnshoreWind,480562.353967,15.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_205,Oahu,OnshoreWind,482763.390147,20.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_206,Oahu,OnshoreWind,490389.318697,10.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_207,Oahu,OnshoreWind,471169.690857,120.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_208,Oahu,OnshoreWind,467594.076907,82.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_209,Oahu,OnshoreWind,467503.885507,2.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_301,Oahu,OnshoreWind,469835.504697,120.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_302,Oahu,OnshoreWind,482288.495947,52.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_303,Oahu,OnshoreWind,488845.400607,15.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_304,Oahu,OnshoreWind,489383.920987,57.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_305,Oahu,OnshoreWind,483170.418117,170.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_306,Oahu,OnshoreWind,479861.735387,27.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_307,Oahu,OnshoreWind,467747.356787,75.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_308,Oahu,OnshoreWind,473727.636707,32.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_309,Oahu,OnshoreWind,480401.151817,2.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_401,Oahu,OnshoreWind,483062.350907,212.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_402,Oahu,OnshoreWind,486769.923987,52.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_403,Oahu,OnshoreWind,492089.990677,47.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_404,Oahu,OnshoreWind,474265.629697,50.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_405,Oahu,OnshoreWind,466471.005831,45.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_406,Oahu,OnshoreWind,476851.931197,42.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_407,Oahu,OnshoreWind,480919.759067,12.5,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_408,Oahu,OnshoreWind,488818.310627,15.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
Oahu_OnshoreWind_OnWind_409,Oahu,OnshoreWind,484455.252617,50.0,.,20,0.0,0,1,0,0,0.0,WND,.,.,.,.,.,.,.
