GENERATION_PROJECT	SPINNING_RESERVE_TYPE
Oahu_OnshoreWind_OnWind_403	regulation
Oahu_OnshoreWind_OnWind_404	contingency
Oahu_OnshoreWind_OnWind_404	regulation
Oahu_OnshoreWind_OnWind_405	contingency
Oahu_OnshoreWind_OnWind_405	regulation
Oahu_OnshoreWind_OnWind_406	contingency
Oahu_OnshoreWind_OnWind_406	regulation
Oahu_OnshoreWind_OnWind_407	contingency
Oahu_OnshoreWind_OnWind_407	regulation
Oahu_OnshoreWind_OnWind_408	contingency
Oahu_OnshoreWind_OnWind_408	regulation
Oahu_OnshoreWind_OnWind_409	contingency
Oahu_OnshoreWind_OnWind_409	regulation
Oahu_OnshoreWind_OnWind_410	contingency
Oahu_OnshoreWind_OnWind_410	regulation
Oahu_OnshoreWind_OnWind_501	contingency
Oahu_OnshoreWind_OnWind_501	regulation
Oahu_OnshoreWind_OnWind_502	contingency
Oahu_OnshoreWind_OnWind_502	regulation
Oahu_OnshoreWind_OnWind_503	contingency
Oahu_OnshoreWind_OnWind_503	regulation
Oahu_OnshoreWind_OnWind_504	contingency
Oahu_OnshoreWind_OnWind_504	regulation
Oahu_OnshoreWind_OnWind_505	contingency
Oahu_OnshoreWind_OnWind_505	regulation
Oahu_OnshoreWind_OnWind_506	contingency
Oahu_OnshoreWind_OnWind_506	regulation
Oahu_OnshoreWind_OnWind_507	contingency
Oahu_OnshoreWind_OnWind_507	regulation
Oahu_OnshoreWind_OnWind_508	contingency
Oahu_OnshoreWind_OnWind_508	regulation
Oahu_OnshoreWind_OnWind_509	contingency
Oahu_OnshoreWind_OnWind_509	regulation
Oahu_OnshoreWind_OnWind_Kahuku	contingency
Oahu_OnshoreWind_OnWind_Kahuku	regulation
Oahu_OnshoreWind_OnWind_Kawailoa	contingency
Oahu_OnshoreWind_OnWind_Kawailoa	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_11	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_11	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_13	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_13	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_6	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_6	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_8	contingency
Oahu_SlopedDistPV_Oahu_SlopedDistPV_8	regulation
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9	contingency
