PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,25.03794121585062,3809986535.239149,936342267.3360722,37396935.285689846
2025,25.245544994964135,3196330474.747778,910644746.4083135,36071502.77761739
2030,26.601209884286703,2801924209.9788966,925421996.7790327,34788718.28779781
2035,27.55920700063046,2556154629.952449,978715981.8329847,35513212.764452726
2040,25.544575652649343,2114990702.5697632,938780681.7483625,36750686.11488159
2045,25.875375641892727,1893043875.6373966,974097625.9711912,37645738.53738025
