load_zone,period,AES,Airport_DSG,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CIP_CT,CentralTrackingPV,FlatDistPV,H-Power,Honolulu_8,Honolulu_9,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OnshoreWind,SlopedDistPV,Waiau_10,Waiau_6,Waiau_7,Waiau_8,Waiau_9,UnservedLoad
Oahu,2020,1521.2173670819275,0.0,28.68102762595923,0.0,0.0,0.0,0.0,418.6110631341164,367.8497901641662,375.1848000000005,33.387431276962225,15.750031195358227,80.88438107699736,0.0,87.32175544682623,362.8271263803615,0.0,526.5511246108587,0.0,626.7326679795143,573.7615591099735,66.91480381555107,1975.0833900293637,504.8120490802649,2.658873086965675,3.93969903963685,0.0,26.08359191755117,0.0,0.0
Oahu,2025,1454.5876921627469,0.0,228.47353720764323,14.540330768578944,0.0,0.0,12.357624999999999,1407.9331129961288,358.08875805730804,375.1848000000005,0,0,73.27655620281256,0,0,0,0,162.2602209681275,47.48496557612455,412.2028874999997,643.6025954314279,54.3155072885734,1964.287509640382,483.0466331279821,5.3905215843566125,0,0,0,1.0774875,0.0
Oahu,2030,1324.2047205455751,0.0,183.9646441683772,60.122401974873775,0.0,0.0,0.0,1569.1720767491859,353.3882315932584,375.1848000000005,0,0,45.73903658125999,0,0,0,0,160.8755690021581,0.0,443.3282846073835,558.7554986213789,41.4285235076712,2002.5467287874574,485.8826197618003,1.6984124999999999,0,0,0,0.0,0.0
Oahu,2035,1339.545756059206,0.974,115.27571194508405,449.98657405728557,33.17716745019625,0.0,0.0,2381.734505660027,356.44078321416725,375.1848000000005,0,0,29.438708437099994,0,0,0,0,63.94780026716837,0.0,423.4837887656977,465.7665804738716,30.117896606632968,1788.4167631218907,487.7443542819343,1.43665,0,0,0,1.7958125,0.0
Oahu,2040,1221.516532322244,0.0,0.0,818.6119275297823,66.35433490039249,0.0,0.0,3540.145186964495,243.47017007201092,375.1848000000005,0,0,30.577898739699997,0,0,0,0,0.0,0.0,640.689832952248,233.94262499999974,30.39191120190638,1916.3083802184258,0.0,0.0,0,0,0,0.0,0.0
Oahu,2045,338.13152494525093,0.0,0.0,2022.282553740654,0.0,0.0,0.0,2842.45536710599,2467.423345324759,375.1848000000005,0,0,0.9910450000000001,0,0,0,0,0,0,0.0,0.0,0.0,1894.256884566438,860.5573982331607,0.0,0,0,0,0.0,0.0
