balancing_area	period	timepoint_label	Biodiesel	Coal	Diesel	LNG	LSFO	Pellet-Biomass	MSW	SUN	WND	Battery	TotalGenSpinningReservesUp	HawaiiVarGenUpSpinningReserveRequirement	MaximumContingencyUpRequirement	marginal_cost_contingency	marginal_cost_regulation	peak_day
system_wide_balancing_area	2020	2020-01-23-00:00	0	0.0	0	0	15.000000000000002	0	0.0	0.0	0.0	326.9475984744	369.9475984744	135.05913136887193	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-02:00	0	0.0	0	0	15.000000000000002	0	0.0	0.0	0.0	331.2995374379	374.29953743794	135.05913136887193	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-04:00	0	0.0	0	0	15.000000000000002	0	0.0	0.0	0.0	358.8618175399	401.8618175399	135.05913136887193	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-06:00	0	0.0	0	0	12.960357940080002	0	0.0	0.0	0.0	295.033379409	335.99373734908	135.05913136887193	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-08:00	0	0.0	0	0	84.9133712	0	0.0	0.0	0.0	358.8618175399	471.77518873990005	241.89471879903616	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-10:00	0	0.0	0	0	95.7267424	0	0.0	0.0	0.0	335.65147640140003	459.3782188014	254.80216253473347	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-12:00	0	0.0	0	0	79.5066856	0	0.0	0.0	0.0	358.8618175399	466.36850313990004	254.80216253473347	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-14:00	0	0.0	0	0	95.7267424	0	0.0	0.0	0.0	326.9475984744	450.6743408744	254.80216253473347	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-16:00	0	0.0	0	0	74.10000000000001	0	0.0	0.0	0.0	326.9475984744	429.0475984744	242.5778929521672	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-18:00	0	0.0	0.0	0	59.3577397789	0	0.0	0.0	0.0	295.033379409	354.3911191879	135.05913136887193	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-20:00	0	0.0	0	0	56.588897053299995	0	0.0	0.0	0.0	295.033379409	351.6222764623	135.05913136887193	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-22:00	0	0.0	0	0	15.000000000000002	0	0.0	0.0	0.0	326.9475984744	369.9475984744	135.05913136887193	180.0	0.0	0.0	typical
