component	npv_cost
TotalGenFixedCosts	10639477916.70974
FuelCostsPerPeriod	5453912256.253034
StorageEnergyInstallCosts	0
RFM_Fixed_Costs_Annual	0
AESDeactivateFixedCost	0
GenVariableOMCostsInTP	285976379.6132515
Total_StartupGenCapacity_OM_Costs	0
UnservedLoadPenalty	0
UnservedReservePenalty	0
