load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Bulk_MWh,Battery_Conting,Battery_Conting_MWh,Battery_Reg,Battery_Reg_MWh,CC_152,CIP_CT,CentralTrackingPV,DistBattery,DistBattery_MWh,FlatDistPV,H-Power,Hawaii_Cogen,IC_Barge,IC_MCBH,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,fuel cells
Oahu,2020,180.0,8.0,240.31186571619952,0.0,0.0,0.0,0.0,0.0,150.586,113.0,185.7,38.097,152.388,370.70000000000005,73.0,12.2,0.0,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,459.0,303.3,20.0,49.9,46.6,46.6,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2025,0.0,8.0,264.6919201068669,16.045072220571576,0.0,0.0,0.0,0.0,150.586,113.0,468.0748394894567,94.64426381414776,152.388,370.70000000000005,73.0,12.2,0.0,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,632.4531205582566,303.3,20.0,49.9,0.0,0.0,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2030,0.0,8.0,488.7891248272118,2270.876367931248,0.0,0.0,0.0,0.0,150.586,113.0,1327.4755107138556,134.30067624219924,152.388,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,632.4531205582566,303.3,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2035,0.0,8.0,431.5842098379723,2270.876367931248,0.0,0.0,0.0,0.0,150.586,113.0,1496.9418905401258,184.28641497399525,565.5772592905734,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,632.4531205582566,303.3,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2040,0.0,8.0,426.8055653527038,2254.8312957106764,0.0,0.0,0.0,0.0,150.586,113.0,1949.3561837934087,309.1902536375512,1918.8535324004224,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,632.4531205582566,303.3,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2045,0.0,8.0,491.534941798674,3418.112974878624,0.0,0.0,0.0,0.0,150.586,113.0,2770.6673825888397,540.7523304649114,4426.752946769713,1322.6406391157166,73.0,0.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,533.4531205582566,206.40518409116365,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
