ChargeEVs_index_1	ChargeEVs_index_2	ChargeEVs
Oahu	2020012300	0.0
Oahu	2020012302	0.0
Oahu	2020012304	0.0
Oahu	2020012306	0.0
Oahu	2020012308	0.0
Oahu	2020012310	0.0
Oahu	2020012312	118.101845403
Oahu	2020012314	0.0
Oahu	2020012316	0.0
Oahu	2020012318	0.0
Oahu	2020012320	0.0
Oahu	2020012322	0.0
Oahu	2020022300	0.0
Oahu	2020022302	0.0
Oahu	2020022304	9.01706674317
Oahu	2020022306	0.0
Oahu	2020022308	0.0
Oahu	2020022310	109.08477866
Oahu	2020022312	0.0
Oahu	2020022314	0.0
Oahu	2020022316	0.0
Oahu	2020022318	0.0
Oahu	2020022320	0.0
Oahu	2020022322	0.0
Oahu	2020032300	0.0
Oahu	2020032302	0.0
Oahu	2020032304	0.0
Oahu	2020032306	0.0
Oahu	2020032308	0.0
Oahu	2020032310	0.0
Oahu	2020032312	0.0
Oahu	2020032314	118.101845403
Oahu	2020032316	0.0
Oahu	2020032318	0.0
Oahu	2020032320	0.0
Oahu	2020032322	0.0
Oahu	2020042300	0.0
Oahu	2020042302	0.0
Oahu	2020042304	0.0
Oahu	2020042306	0.0
Oahu	2020042308	19.8362818728
Oahu	2020042310	0.0
Oahu	2020042312	98.2655635299
Oahu	2020042314	0.0
Oahu	2020042316	0.0
Oahu	2020042318	0.0
Oahu	2020042320	0.0
Oahu	2020042322	0.0
Oahu	2020052300	0.0
Oahu	2020052302	0.0
Oahu	2020052304	0.0
Oahu	2020052306	0.0
Oahu	2020052308	0.0
Oahu	2020052310	0.0
Oahu	2020052312	0.0
Oahu	2020052314	61.8000916053
Oahu	2020052316	56.3017537974
Oahu	2020052318	0.0
Oahu	2020052320	0.0
Oahu	2020052322	0.0
Oahu	2020062300	39.1334155529
Oahu	2020062302	0.0
Oahu	2020062304	0.0
Oahu	2020062306	0.0
Oahu	2020062308	0.0
Oahu	2020062310	0.0
Oahu	2020062312	0.0
Oahu	2020062314	0.0
Oahu	2020062316	78.9684298498
Oahu	2020062318	0.0
Oahu	2020062320	0.0
Oahu	2020062322	0.0
Oahu	2020072300	0.0
Oahu	2020072302	95.3737159193
Oahu	2020072304	0.0
Oahu	2020072306	0.0
Oahu	2020072308	0.0
Oahu	2020072310	0.0
Oahu	2020072312	0.0
Oahu	2020072314	0.0
Oahu	2020072316	0.0
Oahu	2020072318	0.0
Oahu	2020072320	0.0
Oahu	2020072322	22.7281294834
Oahu	2020082300	7.68890425771
Oahu	2020082302	0.0
Oahu	2020082304	0.0
Oahu	2020082306	0.0
Oahu	2020082308	0.0
Oahu	2020082310	110.412941145
Oahu	2020082312	0.0
Oahu	2020082314	0.0
Oahu	2020082316	0.0
Oahu	2020082318	0.0
Oahu	2020082320	0.0
Oahu	2020082322	0.0
Oahu	2020092300	0.0
Oahu	2020092302	0.0
Oahu	2020092304	0.0
Oahu	2020092306	0.0
Oahu	2020092308	83.3357306968
Oahu	2020092310	0.0
Oahu	2020092312	0.0
Oahu	2020092314	0.0
Oahu	2020092316	0.0
Oahu	2020092318	0.0
Oahu	2020092320	0.0
Oahu	2020092322	34.7661147059
Oahu	2020102300	0.0
Oahu	2020102302	0.0
Oahu	2020102304	0.0
Oahu	2020102306	0.0
Oahu	2020102308	0.0
Oahu	2020102310	118.101845403
Oahu	2020102312	0.0
Oahu	2020102314	0.0
Oahu	2020102316	0.0
Oahu	2020102318	0.0
Oahu	2020102320	0.0
Oahu	2020102322	0.0
Oahu	2020112300	0.0
Oahu	2020112302	67.6342302901
Oahu	2020112304	50.4676151126
Oahu	2020112306	0.0
Oahu	2020112308	0.0
Oahu	2020112310	0.0
Oahu	2020112312	0.0
Oahu	2020112314	0.0
Oahu	2020112316	0.0
Oahu	2020112318	0.0
Oahu	2020112320	0.0
Oahu	2020112322	0.0
Oahu	2020122300	0.0
Oahu	2020122302	0.0
Oahu	2020122304	3.62998571357
Oahu	2020122306	0.0
Oahu	2020122308	0.0
Oahu	2020122310	58.869927997
Oahu	2020122312	0.0
Oahu	2020122314	0.0
Oahu	2020122316	55.6019316921
Oahu	2020122318	0.0
Oahu	2020122320	0.0
Oahu	2020122322	0.0
Oahu	2025012300	59.6030792768
Oahu	2025012302	79.4602277692
Oahu	2025012304	0.0
Oahu	2025012306	0.0
Oahu	2025012308	0.0
Oahu	2025012310	0.0
Oahu	2025012312	0.0
Oahu	2025012314	145.205088284
Oahu	2025012316	0.0
Oahu	2025012318	0.0
Oahu	2025012320	0.0
Oahu	2025012322	0.0
Oahu	2025022300	0.0
Oahu	2025022302	14.2998052164
Oahu	2025022304	0.0
Oahu	2025022306	0.0
Oahu	2025022308	0.0
Oahu	2025022310	269.968590113
Oahu	2025022312	0.0
Oahu	2025022314	0.0
Oahu	2025022316	0.0
Oahu	2025022318	0.0
Oahu	2025022320	0.0
Oahu	2025022322	0.0
Oahu	2025032300	0.0
Oahu	2025032302	0.0
Oahu	2025032304	0.0
Oahu	2025032306	0.0
Oahu	2025032308	0.0
Oahu	2025032310	0.0
Oahu	2025032312	284.26839533
Oahu	2025032314	0.0
Oahu	2025032316	0.0
Oahu	2025032318	0.0
Oahu	2025032320	0.0
Oahu	2025032322	0.0
Oahu	2025042300	30.6205918031
Oahu	2025042302	0.0
Oahu	2025042304	0.0
Oahu	2025042306	0.0
Oahu	2025042308	238.037288216
Oahu	2025042310	0.0
Oahu	2025042312	0.0
Oahu	2025042314	15.6105153105
Oahu	2025042316	0.0
Oahu	2025042318	0.0
Oahu	2025042320	0.0
Oahu	2025042322	0.0
Oahu	2025052300	0.0
Oahu	2025052302	90.2028259127
Oahu	2025052304	0.0
Oahu	2025052306	0.0
Oahu	2025052308	0.0
Oahu	2025052310	0.0
Oahu	2025052312	194.065569417
Oahu	2025052314	0.0
Oahu	2025052316	0.0
Oahu	2025052318	0.0
Oahu	2025052320	0.0
Oahu	2025052322	0.0
Oahu	2025062300	0.0
Oahu	2025062302	0.0
Oahu	2025062304	0.0
Oahu	2025062306	0.0
Oahu	2025062308	0.0
Oahu	2025062310	0.0
Oahu	2025062312	0.0
Oahu	2025062314	284.26839533
Oahu	2025062316	0.0
Oahu	2025062318	0.0
Oahu	2025062320	0.0
Oahu	2025062322	0.0
Oahu	2025072300	0.0
Oahu	2025072302	0.0
Oahu	2025072304	0.0
Oahu	2025072306	6.00041864445
Oahu	2025072308	0.0
Oahu	2025072310	133.913338757
Oahu	2025072312	0.0
Oahu	2025072314	0.0
Oahu	2025072316	144.354637928
Oahu	2025072318	0.0
Oahu	2025072320	0.0
Oahu	2025072322	0.0
Oahu	2025082300	0.0
Oahu	2025082302	0.0
Oahu	2025082304	0.0
Oahu	2025082306	0.0
Oahu	2025082308	0.0
Oahu	2025082310	0.0
Oahu	2025082312	32.7243136283
Oahu	2025082314	251.544081701
Oahu	2025082316	0.0
Oahu	2025082318	0.0
Oahu	2025082320	0.0
Oahu	2025082322	0.0
Oahu	2025092300	0.0
Oahu	2025092302	0.0
Oahu	2025092304	0.0
Oahu	2025092306	0.0
Oahu	2025092308	26.4960661146
Oahu	2025092310	0.0
Oahu	2025092312	0.0
Oahu	2025092314	0.0
Oahu	2025092316	257.772329215
Oahu	2025092318	0.0
Oahu	2025092320	0.0
Oahu	2025092322	0.0
Oahu	2025102300	0.0
Oahu	2025102302	0.0
Oahu	2025102304	0.0
Oahu	2025102306	0.0
Oahu	2025102308	284.26839533
Oahu	2025102310	0.0
Oahu	2025102312	0.0
Oahu	2025102314	0.0
Oahu	2025102316	0.0
Oahu	2025102318	0.0
Oahu	2025102320	0.0
Oahu	2025102322	0.0
Oahu	2025112300	0.0
Oahu	2025112302	2.9540113934
Oahu	2025112304	0.0
Oahu	2025112306	0.0
Oahu	2025112308	219.248598932
Oahu	2025112310	62.0657850045
Oahu	2025112312	0.0
Oahu	2025112314	0.0
