load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Bulk_MWh,Battery_Conting,Battery_Conting_MWh,Battery_Reg,Battery_Reg_MWh,CC_152,CIP_CT,CentralTrackingPV,FlatDistPV,H-Power,Hawaii_Cogen,IC_Barge,IC_MCBH,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,fuel cells
Oahu,2020,180.0,8.0,278.1806533169526,1.3252246170370006,0.0,0.0,0.0,0.0,150.586,113.0,185.7,370.70000000000005,73.0,12.2,0.0,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,473.20021148185157,303.3,20.0,49.9,46.6,46.6,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2025,0.0,8.0,360.1602201827495,134.82103228397585,0.0,0.0,0.0,0.0,150.586,113.0,451.9712531030699,370.70000000000005,73.0,12.2,0.0,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,621.9389141354936,303.3,20.0,49.9,0.0,0.0,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2030,0.0,8.0,611.2283087743386,2427.86346900878,0.0,0.0,0.0,0.0,150.586,113.0,1328.615575201484,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,633.0758360433375,303.3,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2035,0.0,8.0,679.9878590831427,2812.2755933470407,0.0,0.0,0.0,0.0,150.586,113.0,1492.9679524982648,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,633.0758360433375,303.3,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2040,0.0,8.0,735.9958189902552,4168.983663710525,0.0,0.0,0.0,0.0,150.586,113.0,1942.2045103381067,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,633.0758360433375,303.3,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2045,0.0,8.0,1032.2872722635855,7844.702459648013,0.0,0.0,0.0,0.0,150.586,113.0,2851.162667565807,1322.6406391157166,73.0,0.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,534.0758360433388,113.69000000000001,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
