load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand
Oahu,2020-08-23-00:00,670.66,0,645.303,0,89.8878,-64.5303
Oahu,2020-08-23-02:00,638.97,0,574.382,0,28.2141,36.3741
Oahu,2020-08-23-04:00,654.721,0,589.785,0,0,64.9354
Oahu,2020-08-23-06:00,738.775,0,717.881,0,0,20.8934
Oahu,2020-08-23-08:00,1007.91,0,933.169,0,0,74.7394
Oahu,2020-08-23-10:00,1030.71,0,1013.58,0,0,17.1335
Oahu,2020-08-23-12:00,1121.34,0,1019.81,0,0,101.523
Oahu,2020-08-23-14:00,1075.38,0,1013.73,0,0,61.6503
Oahu,2020-08-23-16:00,967.688,0,1004.92,0,0,-37.236
Oahu,2020-08-23-18:00,889.55,0,988.389,0,0,-98.8389
Oahu,2020-08-23-20:00,860.652,0,956.28,0,0,-95.628
Oahu,2020-08-23-22:00,729.146,0,810.162,0,0,-81.0162
Oahu,2020-09-23-00:00,670.762,0,602.387,0,0,68.3749
Oahu,2020-09-23-02:00,697.165,0,555.937,0.0237748,0,141.203
Oahu,2020-09-23-04:00,778.603,0,641.918,0.174348,0,136.511
Oahu,2020-09-23-06:00,803.626,0,892.918,0,0,-89.2918
Oahu,2020-09-23-08:00,973.307,0,1027.41,0.174348,0,-54.2734
Oahu,2020-09-23-10:00,1141.09,0,1085.51,0.174348,97.3885,-41.976
Oahu,2020-09-23-12:00,1195.05,0,1112.56,0,0,82.4865
Oahu,2020-09-23-14:00,1155.57,0,1114.02,0.0475495,0,41.5027
Oahu,2020-09-23-16:00,1093.31,0,1087.99,0,0,5.32544
Oahu,2020-09-23-18:00,1024.49,0,1138.33,0,0,-113.833
Oahu,2020-09-23-20:00,898.905,0,998.784,0,0,-99.8784
Oahu,2020-09-23-22:00,706.079,0,761.517,0,20.7133,-76.1517
Oahu,2020-10-23-00:00,628.15,0,596.589,0,0,31.5611
Oahu,2020-10-23-02:00,599.528,0,547.704,0,0,51.824
Oahu,2020-10-23-04:00,594.359,0,613.673,0,0,-19.3145
Oahu,2020-10-23-06:00,775.257,0,860.614,0,0,-85.3563
Oahu,2020-10-23-08:00,1086.07,0,986.846,0.174348,118.102,-19.0506
Oahu,2020-10-23-10:00,1185.36,0,1047.7,0.174348,0,137.479
Oahu,2020-10-23-12:00,1218.21,0,1070.73,0,0,147.473
Oahu,2020-10-23-14:00,1156.08,0,1065.16,0.0475495,0,90.8637
Oahu,2020-10-23-16:00,938.744,0,1043.05,0,0,-104.305
Oahu,2020-10-23-18:00,992.137,0,1102.37,0,0,-110.237
Oahu,2020-10-23-20:00,871.365,0,968.183,0,0,-96.8183
Oahu,2020-10-23-22:00,732.79,0,756.909,0,0,-24.1185
Oahu,2020-11-23-00:00,494.817,0,549.797,0,0,-54.9797
Oahu,2020-11-23-02:00,549.215,0,500.992,0.174348,0,48.0483
Oahu,2020-11-23-04:00,528.801,0,525.269,0.0237748,20.4849,-16.9767
Oahu,2020-11-23-06:00,562.412,0,624.903,0,0,-62.4903
Oahu,2020-11-23-08:00,929.695,0,809.933,0,0,119.762
Oahu,2020-11-23-10:00,1005.98,0,894.747,0.0475495,0,111.186
Oahu,2020-11-23-12:00,1016.1,0,887.315,0.174348,0,128.607
Oahu,2020-11-23-14:00,955.887,0,873.215,0.174348,0,82.497
Oahu,2020-11-23-16:00,818.6,0,909.556,0,0,-90.9556
Oahu,2020-11-23-18:00,924.768,0,1027.52,0,0,-102.752
Oahu,2020-11-23-20:00,815.008,0,905.565,0,0,-90.5565
Oahu,2020-11-23-22:00,740.303,0,713.902,0.174348,97.6169,-71.3902
Oahu,2020-12-23-00:00,714.492,0,555.229,0,0,159.264
Oahu,2020-12-23-02:00,681.832,0,491.181,0,0,190.651
Oahu,2020-12-23-04:00,672.24,0,560.695,0,0,111.545
Oahu,2020-12-23-06:00,707.04,0,785.6,0,0,-78.56
Oahu,2020-12-23-08:00,838.041,0,931.157,0,0,-93.1157
Oahu,2020-12-23-10:00,917.305,0,997.526,0,0,-80.221
Oahu,2020-12-23-12:00,1014.65,0,998.715,0,0,15.9334
Oahu,2020-12-23-14:00,1113.71,0,989.418,0,56.7595,67.5352
Oahu,2020-12-23-16:00,933.016,0,968.527,0,61.3423,-96.8527
Oahu,2020-12-23-18:00,939.958,0,1044.4,0,0,-104.44
Oahu,2020-12-23-20:00,845.297,0,939.218,0,0,-93.9218
Oahu,2020-12-23-22:00,764.489,0,762.306,0,0,2.18228
Oahu,2025-01-23-00:00,540.625,0,539.48,0,0,1.14524
Oahu,2025-01-23-02:00,559.212,0,495.335,4.06844,109.342,-49.5335
Oahu,2025-01-23-04:00,561.671,0,567.529,0,0,-5.85733
Oahu,2025-01-23-06:00,734.755,0,816.394,0,0,-81.6394
Oahu,2025-01-23-08:00,945.442,0,881.075,0,0,64.3674
Oahu,2025-01-23-10:00,1201.7,0,915.443,34.4013,0,251.856
Oahu,2025-01-23-12:00,1169.11,0,924.785,126.138,0,118.189
Oahu,2025-01-23-14:00,1126.53,0,917.182,126.138,174.926,-91.7182
Oahu,2025-01-23-16:00,960.842,0,910.367,0,0,50.4757
Oahu,2025-01-23-18:00,901.021,0,1001.13,0,0,-100.113
Oahu,2025-01-23-20:00,798.864,0,887.627,0,0,-88.7627
Oahu,2025-01-23-22:00,615.681,0,684.09,0,0,-68.409
Oahu,2025-02-23-00:00,601.236,0,574.97,83.7625,0,-57.497
Oahu,2025-02-23-02:00,644.232,0,512.484,40.034,0,91.7149
Oahu,2025-02-23-04:00,505.776,0,526.7,0,0,-20.9242
