load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand
Oahu	2020-07-23-16:00	997.869	0	0	1108.74	0	0	-110.874
Oahu	2020-07-23-18:00	965.862	0	0	1073.18	0	0	-107.318
Oahu	2020-07-23-20:00	933.187	0	0	1036.87	0	0	-103.687
Oahu	2020-07-23-22:00	759.14	0	0	818.235	0	22.7281	-81.8235
Oahu	2020-08-23-00:00	674.673	0	0	645.303	0	7.6889	21.6817
Oahu	2020-08-23-02:00	639.017	0	0	574.382	0	0	64.6347
Oahu	2020-08-23-04:00	654.448	0	0	589.785	0	0	64.6625
Oahu	2020-08-23-06:00	735.371	0	0	717.881	0	0	17.4902
Oahu	2020-08-23-08:00	999.384	0	0	933.169	0	0	66.2148
Oahu	2020-08-23-10:00	1022.64	0	0	1013.58	0	110.413	-101.358
Oahu	2020-08-23-12:00	1123.46	0	0	1019.81	0	0	103.652
Oahu	2020-08-23-14:00	1072.55	0	0	1013.73	0	0	58.8166
Oahu	2020-08-23-16:00	984.613	0	0	1004.92	0	0	-20.3111
Oahu	2020-08-23-18:00	889.55	0	0	988.389	0	0	-98.8389
Oahu	2020-08-23-20:00	860.652	0	0	956.28	0	0	-95.628
Oahu	2020-08-23-22:00	729.146	0	0	810.162	0	0	-81.0162
Oahu	2020-09-23-00:00	698.978	0	0	602.387	0	0	96.591
Oahu	2020-09-23-02:00	730.923	0	0	555.937	0	0	174.985
Oahu	2020-09-23-04:00	819.68	0	0	641.918	2.60159	0	175.16
Oahu	2020-09-23-06:00	803.626	0	0	892.918	0	0	-89.2918
Oahu	2020-09-23-08:00	1025.06	0	0	1027.41	0	83.3357	-85.6779
Oahu	2020-09-23-10:00	1108.89	0	0	1085.51	0	0	23.3795
Oahu	2020-09-23-12:00	1166.81	0	0	1112.56	31.9142	0	22.3301
Oahu	2020-09-23-14:00	1134.34	0	0	1114.02	31.9142	0	-11.5936
Oahu	2020-09-23-16:00	1080.67	0	0	1087.99	8.70388	0	-16.0201
Oahu	2020-09-23-18:00	1024.49	0	0	1138.33	0	0	-113.833
Oahu	2020-09-23-20:00	898.905	0	0	998.784	0	0	-99.8784
Oahu	2020-09-23-22:00	720.132	0	0	761.517	0	34.7661	-76.1517
Oahu	2020-10-23-00:00	670.43	0	0	596.589	0	0	73.8406
Oahu	2020-10-23-02:00	641.693	0	0	547.704	0	0	93.989
Oahu	2020-10-23-04:00	637.065	0	0	613.673	0	0	23.3913
Oahu	2020-10-23-06:00	774.552	0	0	860.614	0	0	-86.0614
Oahu	2020-10-23-08:00	1082.24	0	0	986.846	22.9104	0	72.4889
Oahu	2020-10-23-10:00	1181.3	0	0	1047.7	0	118.102	15.4938
Oahu	2020-10-23-12:00	1208.94	0	0	1070.73	0	0	138.206
Oahu	2020-10-23-14:00	1152.78	0	0	1065.16	31.9142	0	55.7038
Oahu	2020-10-23-16:00	938.744	0	0	1043.05	0	0	-104.305
Oahu	2020-10-23-18:00	992.137	0	0	1102.37	0	0	-110.237
Oahu	2020-10-23-20:00	871.365	0	0	968.183	0	0	-96.8183
Oahu	2020-10-23-22:00	681.218	0	0	756.909	0	0	-75.6909
