component,npv_cost
FuelCostsPerPeriod,5160489177.665987
GenVariableOMCostsInTP,1327881061.552173
RFM_Fixed_Costs_Annual,0
StorageEnergyFixedCost,778368778.5508174
TotalGenFixedCosts,11254605155.50113
Total_StartupGenCapacity_OM_Costs,0
