STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Oahu_Battery_4,2020012300,0.0
Oahu_Battery_4,2020012302,40.5241106981
Oahu_Battery_4,2020012304,42.360265854
Oahu_Battery_4,2020012306,0.0
Oahu_Battery_4,2020012308,0.0
Oahu_Battery_4,2020012310,0.0
Oahu_Battery_4,2020012312,36.1531433053
Oahu_Battery_4,2020012314,76.6772540034
Oahu_Battery_4,2020012316,92.1002515866
Oahu_Battery_4,2020012318,46.0501257933
Oahu_Battery_4,2020012320,0.0
Oahu_Battery_4,2020012322,0.0
Oahu_Battery_4,2020022300,0.0
Oahu_Battery_4,2020022302,0.0
Oahu_Battery_4,2020022304,0.0
Oahu_Battery_4,2020022306,0.0
Oahu_Battery_4,2020022308,0.0
Oahu_Battery_4,2020022310,40.5241106981
Oahu_Battery_4,2020022312,74.0131115533
Oahu_Battery_4,2020022314,74.0131115533
Oahu_Battery_4,2020022316,74.0131115533
Oahu_Battery_4,2020022318,27.96298576
Oahu_Battery_4,2020022320,0.0
Oahu_Battery_4,2020022322,0.0
Oahu_Battery_4,2020032300,0.0
Oahu_Battery_4,2020032302,0.0
Oahu_Battery_4,2020032304,0.0
Oahu_Battery_4,2020032306,0.0
Oahu_Battery_4,2020032308,37.8788331709
Oahu_Battery_4,2020032310,51.5761408885
Oahu_Battery_4,2020032312,51.5761408885
Oahu_Battery_4,2020032314,92.1002515866
Oahu_Battery_4,2020032316,92.1002515866
Oahu_Battery_4,2020032318,46.0501257933
Oahu_Battery_4,2020032320,9.61956163826
Oahu_Battery_4,2020032322,0.0
Oahu_Battery_4,2020042300,0.0
Oahu_Battery_4,2020042302,40.5241106981
Oahu_Battery_4,2020042304,81.0482213962
Oahu_Battery_4,2020042306,81.0482213962
Oahu_Battery_4,2020042308,81.0482213962
Oahu_Battery_4,2020042310,81.0482213962
Oahu_Battery_4,2020042312,81.0482213962
Oahu_Battery_4,2020042314,92.1002515866
Oahu_Battery_4,2020042316,92.1002515866
Oahu_Battery_4,2020042318,46.0501257933
Oahu_Battery_4,2020042320,0.0
Oahu_Battery_4,2020042322,0.0
Oahu_Battery_4,2020052300,90.7624113914
Oahu_Battery_4,2020052302,90.7624113914
Oahu_Battery_4,2020052304,44.7122855981
Oahu_Battery_4,2020052306,0.0
Oahu_Battery_4,2020052308,0.0
Oahu_Battery_4,2020052310,15.9153525756
Oahu_Battery_4,2020052312,51.5761408885
Oahu_Battery_4,2020052314,92.1002515866
Oahu_Battery_4,2020052316,92.1002515866
Oahu_Battery_4,2020052318,92.1002515866
Oahu_Battery_4,2020052320,84.6424564043
Oahu_Battery_4,2020052322,90.7624113914
Oahu_Battery_4,2020062300,0.0
Oahu_Battery_4,2020062302,0.0
Oahu_Battery_4,2020062304,0.0
Oahu_Battery_4,2020062306,11.0520301904
Oahu_Battery_4,2020062308,51.5761408885
Oahu_Battery_4,2020062310,51.5761408885
Oahu_Battery_4,2020062312,51.5761408885
Oahu_Battery_4,2020062314,51.5761408885
Oahu_Battery_4,2020062316,92.1002515866
Oahu_Battery_4,2020062318,46.0501257933
Oahu_Battery_4,2020062320,0.0
Oahu_Battery_4,2020062322,0.0
Oahu_Battery_4,2020072300,0.0
Oahu_Battery_4,2020072302,0.0
Oahu_Battery_4,2020072304,0.0
Oahu_Battery_4,2020072306,0.0
Oahu_Battery_4,2020072308,0.0
Oahu_Battery_4,2020072310,0.0
Oahu_Battery_4,2020072312,0.0
Oahu_Battery_4,2020072314,0.0
Oahu_Battery_4,2020072316,0.0
Oahu_Battery_4,2020072318,0.0
Oahu_Battery_4,2020072320,0.0
Oahu_Battery_4,2020072322,0.0
Oahu_Battery_4,2020082300,0.0
Oahu_Battery_4,2020082302,0.0
Oahu_Battery_4,2020082304,0.0
Oahu_Battery_4,2020082306,0.0
Oahu_Battery_4,2020082308,0.0
Oahu_Battery_4,2020082310,0.0
Oahu_Battery_4,2020082312,0.0
Oahu_Battery_4,2020082314,0.0
Oahu_Battery_4,2020082316,0.0
Oahu_Battery_4,2020082318,0.0
Oahu_Battery_4,2020082320,0.0
Oahu_Battery_4,2020082322,0.0
Oahu_Battery_4,2020092300,0.0
Oahu_Battery_4,2020092302,0.0
Oahu_Battery_4,2020092304,21.745948378
Oahu_Battery_4,2020092306,0.0
Oahu_Battery_4,2020092308,0.0
Oahu_Battery_4,2020092310,0.0
Oahu_Battery_4,2020092312,11.0520301904
Oahu_Battery_4,2020092314,51.5761408885
Oahu_Battery_4,2020092316,92.1002515866
Oahu_Battery_4,2020092318,46.0501257933
Oahu_Battery_4,2020092320,0.0
Oahu_Battery_4,2020092322,0.0
Oahu_Battery_4,2020102300,40.5241106981
Oahu_Battery_4,2020102302,40.5241106981
Oahu_Battery_4,2020102304,40.5241106981
Oahu_Battery_4,2020102306,40.5241106981
Oahu_Battery_4,2020102308,40.5241106981
Oahu_Battery_4,2020102310,51.5761408885
Oahu_Battery_4,2020102312,51.5761408885
Oahu_Battery_4,2020102314,92.1002515866
Oahu_Battery_4,2020102316,92.1002515866
Oahu_Battery_4,2020102318,46.0501257933
Oahu_Battery_4,2020102320,0.0
Oahu_Battery_4,2020102322,0.0
Oahu_Battery_4,2020112300,0.0
Oahu_Battery_4,2020112302,0.0
Oahu_Battery_4,2020112304,20.7270845763
Oahu_Battery_4,2020112306,0.0
Oahu_Battery_4,2020112308,0.0
Oahu_Battery_4,2020112310,11.0520301904
Oahu_Battery_4,2020112312,51.5761408885
Oahu_Battery_4,2020112314,92.1002515866
Oahu_Battery_4,2020112316,92.1002515866
Oahu_Battery_4,2020112318,46.0501257933
Oahu_Battery_4,2020112320,5.52601509519
Oahu_Battery_4,2020112322,46.0501257933
Oahu_Battery_4,2020122300,0.0
Oahu_Battery_4,2020122302,0.0
Oahu_Battery_4,2020122304,0.0
Oahu_Battery_4,2020122306,0.0
Oahu_Battery_4,2020122308,0.0
Oahu_Battery_4,2020122310,0.0
Oahu_Battery_4,2020122312,0.0
Oahu_Battery_4,2020122314,0.0
Oahu_Battery_4,2020122316,0.0
Oahu_Battery_4,2020122318,0.0
Oahu_Battery_4,2020122320,0.0
Oahu_Battery_4,2020122322,0.0
Oahu_Battery_4,2025012300,0.0
Oahu_Battery_4,2025012302,30.1665027424
Oahu_Battery_4,2025012304,30.1665027424
Oahu_Battery_4,2025012306,0.0
Oahu_Battery_4,2025012308,179.389608999
Oahu_Battery_4,2025012310,418.926722158
Oahu_Battery_4,2025012312,485.854904307
Oahu_Battery_4,2025012314,500.863086456
Oahu_Battery_4,2025012316,544.402529908
Oahu_Battery_4,2025012318,272.201264954
Oahu_Battery_4,2025012320,0.0
Oahu_Battery_4,2025012322,0.0
Oahu_Battery_4,2025022300,0.0
Oahu_Battery_4,2025022302,239.53711316
Oahu_Battery_4,2025022304,250.947329001
Oahu_Battery_4,2025022306,0.0
