gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Kahe_5,multiple,2020,459.85040348734736,147152.1291159514,373204.8366357907
Kahe_5,multiple,2025,152.80797080833162,48898.550658666114,126403.98903156149
Kahe_5,multiple,2030,145.9235749024489,46695.54396878366,118660.69838613296
Kahe_5,multiple,2035,83.8964200646497,26846.85442068792,72013.04273272441
Kahe_5,multiple,2040,0.0,0.0,0.0
Kahe_6,multiple,2020,22.170675,7094.616,37310.37330039172
Kahe_6,multiple,2025,56.36312425889252,18036.19976284561,52893.644516318396
Kahe_6,multiple,2030,0.0,0.0,0.0
Kahe_6,multiple,2035,0.0,0.0,0.0
Kahe_6,multiple,2040,0.0,0.0,0.0
Kalaeloa_CC1,multiple,2020,672.5876185506179,4035525.7113037133,460998.5987583094
Kalaeloa_CC1,multiple,2025,568.2181093791482,3409308.6562748924,389210.7377688122
Kalaeloa_CC1,multiple,2030,462.40300778113556,2774418.0466868137,325005.5242729091
Kalaeloa_CC1,multiple,2035,342.8789029087148,2057273.41745229,240546.7867384895
Kalaeloa_CC1,multiple,2040,470.12987666345254,2820779.2599807126,329564.39303396275
Kalaeloa_CC1,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC2,multiple,2020,699.9532096719536,4199719.258031726,478240.66303929855
Kalaeloa_CC2,multiple,2025,498.95731745254255,2993743.9047152577,350920.51388071454
Kalaeloa_CC2,multiple,2030,552.1207206967351,3312724.3241804116,386344.9603302857
Kalaeloa_CC2,multiple,2035,555.5160585325264,3333096.3511951603,390202.4457592889
Kalaeloa_CC2,multiple,2040,359.81032711889793,2158861.962713387,252981.56782871552
Kalaeloa_CC2,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC3,multiple,2020,95.74086168340583,574445.1701004351,65311.38736647869
Kalaeloa_CC3,multiple,2025,58.76572614043644,352594.35684261844,40091.41372746994
Kalaeloa_CC3,multiple,2030,47.16745336475703,283004.7201885421,32169.580900545126
Kalaeloa_CC3,multiple,2035,31.387235278022118,188323.41166813276,21406.875435996353
Kalaeloa_CC3,multiple,2040,34.536214500448736,207217.28700269244,23553.258374954043
Kalaeloa_CC3,multiple,2045,0.0,0.0,0.0
OffshoreWind,WND,2020,0.0,0.0,0.0
OffshoreWind,WND,2025,0.0,0.0,0.0
OffshoreWind,WND,2030,0.0,0.0,0.0
OffshoreWind,WND,2035,0.0,0.0,0.0
OffshoreWind,WND,2040,0.0,0.0,0.0
OffshoreWind,WND,2045,0.0,0.0,0.0
OnshoreWind,WND,2020,2011.3466784916204,0.0,0.0
OnshoreWind,WND,2025,1989.5721922820558,0.0,0.0
OnshoreWind,WND,2030,1999.581919503864,0.0,0.0
OnshoreWind,WND,2035,1825.9623532616088,0.0,0.0
OnshoreWind,WND,2040,1935.852976836161,0.0,0.0
OnshoreWind,WND,2045,1925.4815554373015,0.0,0.0
SlopedDistPV,SUN,2020,504.8120490801916,0.0,0.0
SlopedDistPV,SUN,2025,483.25795224465224,0.0,0.0
SlopedDistPV,SUN,2030,491.895556618264,0.0,0.0
SlopedDistPV,SUN,2035,500.06440880030976,0.0,0.0
SlopedDistPV,SUN,2040,0.0,0.0,0.0
SlopedDistPV,SUN,2045,869.0039856331234,0.0,0.0
Waiau_10,multiple,2020,2.3680375,8418.840129928321,2372.2981948200004
Waiau_10,multiple,2025,0.0,0.0,0.0
Waiau_10,multiple,2030,3.53505187361635,12567.8062847314,3964.512416671543
Waiau_10,multiple,2035,0.718325,2553.7869802867403,2164.0115285
Waiau_10,multiple,2040,0.0,0.0,0.0
Waiau_10,multiple,2045,0.0,0.0,0.0
Waiau_6,multiple,2020,7.3719625,2359.0280000000002,8197.008109783874
Waiau_7,multiple,2020,3.97852179977395,1273.1269759276643,5772.421539422674
Waiau_8,multiple,2020,13.307274999999999,4258.328,14056.836829171003
Waiau_9,multiple,2020,0.0,0.0,0.0
Waiau_9,multiple,2025,3.5157212539631253,11861.373849680338,4292.8176089822755
Waiau_9,multiple,2030,0.0,0.0,0.0
Waiau_9,multiple,2035,1.0774875,3635.23758928571,3437.7454185000006
Waiau_9,multiple,2040,0.0,0.0,0.0
Waiau_9,multiple,2045,0.0,0.0,0.0
