STORAGE_GEN_TPS_1	STORAGE_GEN_TPS_2	ChargeStorage
Oahu_Battery_4	2025052316	0.0
Oahu_Battery_4	2025052318	0.0
Oahu_Battery_4	2025052320	0.0
Oahu_Battery_4	2025052322	0.0
Oahu_Battery_4	2025062300	23.0317743597
Oahu_Battery_4	2025062302	0.0
Oahu_Battery_4	2025062304	73.76785001
Oahu_Battery_4	2025062306	0.0
Oahu_Battery_4	2025062308	57.002371134
Oahu_Battery_4	2025062310	0.0
Oahu_Battery_4	2025062312	52.104424006
Oahu_Battery_4	2025062314	0.0
Oahu_Battery_4	2025062316	0.578459766868
Oahu_Battery_4	2025062318	0.0
Oahu_Battery_4	2025062320	0.0
Oahu_Battery_4	2025062322	0.0
Oahu_Battery_4	2025072300	73.76785001
Oahu_Battery_4	2025072302	73.76785001
Oahu_Battery_4	2025072304	0.0
Oahu_Battery_4	2025072306	0.0
Oahu_Battery_4	2025072308	45.2105466854
Oahu_Battery_4	2025072310	4.05944709649
Oahu_Battery_4	2025072312	46.3668409184
Oahu_Battery_4	2025072314	72.0173698678
Oahu_Battery_4	2025072316	0.0
Oahu_Battery_4	2025072318	0.0
Oahu_Battery_4	2025072320	0.0
Oahu_Battery_4	2025072322	0.0
Oahu_Battery_4	2025082300	25.7559757499
Oahu_Battery_4	2025082302	0.0
Oahu_Battery_4	2025082304	0.0
Oahu_Battery_4	2025082306	0.0
Oahu_Battery_4	2025082308	73.0809065965
Oahu_Battery_4	2025082310	9.3002879843
Oahu_Battery_4	2025082312	14.1760407141
Oahu_Battery_4	2025082314	71.0969692731
Oahu_Battery_4	2025082316	0.0
Oahu_Battery_4	2025082318	0.0
Oahu_Battery_4	2025082320	0.0
Oahu_Battery_4	2025082322	0.0
Oahu_Battery_4	2025092300	47.3397883735
Oahu_Battery_4	2025092302	8.83001259709
Oahu_Battery_4	2025092304	27.6573013135
Oahu_Battery_4	2025092306	0.0
Oahu_Battery_4	2025092308	32.9366637762
Oahu_Battery_4	2025092310	60.8520686033
Oahu_Battery_4	2025092312	0.0
Oahu_Battery_4	2025092314	67.9449116597
Oahu_Battery_4	2025092316	43.5493790439
Oahu_Battery_4	2025092318	0.0
Oahu_Battery_4	2025092320	0.0
Oahu_Battery_4	2025092322	0.0
Oahu_Battery_4	2025102300	66.2219721309
Oahu_Battery_4	2025102302	0.0
Oahu_Battery_4	2025102304	23.7781714877
Oahu_Battery_4	2025102306	0.0
Oahu_Battery_4	2025102308	0.786437612521
Oahu_Battery_4	2025102310	70.7971331204
Oahu_Battery_4	2025102312	68.1897574413
Oahu_Battery_4	2025102314	19.3395858778
Oahu_Battery_4	2025102316	0.0
Oahu_Battery_4	2025102318	0.0
Oahu_Battery_4	2025102320	0.0
Oahu_Battery_4	2025102322	0.0
Oahu_Battery_4	2025112300	0.0
Oahu_Battery_4	2025112302	18.5252513463
Oahu_Battery_4	2025112304	0.0
Oahu_Battery_4	2025112306	0.0
Oahu_Battery_4	2025112308	1.67381170997
Oahu_Battery_4	2025112310	32.162343198
Oahu_Battery_4	2025112312	73.76785001
Oahu_Battery_4	2025112314	60.0501996502
Oahu_Battery_4	2025112316	0.0
Oahu_Battery_4	2025112318	0.0
Oahu_Battery_4	2025112320	21.0327782962
Oahu_Battery_4	2025112322	26.3925956094
Oahu_Battery_4	2025122300	50.4583378023
Oahu_Battery_4	2025122302	73.76785001
Oahu_Battery_4	2025122304	0.0
Oahu_Battery_4	2025122306	0.0
Oahu_Battery_4	2025122308	0.0
Oahu_Battery_4	2025122310	3.64845262458
Oahu_Battery_4	2025122312	73.76785001
Oahu_Battery_4	2025122314	73.7291972681
Oahu_Battery_4	2025122316	0.0
Oahu_Battery_4	2025122318	0.0
Oahu_Battery_4	2025122320	0.0
Oahu_Battery_4	2025122322	3.39268433034
Oahu_Battery_4	2030012300	0.0
Oahu_Battery_4	2030012302	15.7549450964
Oahu_Battery_4	2030012304	0.0
Oahu_Battery_4	2030012306	0.0
Oahu_Battery_4	2030012308	0.0
Oahu_Battery_4	2030012310	73.76785001
Oahu_Battery_4	2030012312	73.76785001
Oahu_Battery_4	2030012314	4.36355945181
Oahu_Battery_4	2030012316	0.0
Oahu_Battery_4	2030012318	0.0
