generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Oahu_Battery_4,2020-08-23-00:00,Oahu,0,0,0
Oahu_Battery_4,2020-08-23-02:00,Oahu,42.8711,0,75.4532
Oahu_Battery_4,2020-08-23-04:00,Oahu,22.9679,0,115.877
Oahu_Battery_4,2020-08-23-06:00,Oahu,0,0,115.877
Oahu_Battery_4,2020-08-23-08:00,Oahu,0,0,115.877
Oahu_Battery_4,2020-08-23-10:00,Oahu,0,0,115.877
Oahu_Battery_4,2020-08-23-12:00,Oahu,34.433,0,176.479
Oahu_Battery_4,2020-08-23-14:00,Oahu,0,0,176.479
Oahu_Battery_4,2020-08-23-16:00,Oahu,0,0,176.479
Oahu_Battery_4,2020-08-23-18:00,Oahu,0,14.8112,146.857
Oahu_Battery_4,2020-08-23-20:00,Oahu,0,38.9204,69.0157
Oahu_Battery_4,2020-08-23-22:00,Oahu,0,34.5079,0
Oahu_Battery_4,2020-09-23-00:00,Oahu,44.1197,0,77.6507
Oahu_Battery_4,2020-09-23-02:00,Oahu,19.458,0,111.897
Oahu_Battery_4,2020-09-23-04:00,Oahu,0,1.6863,108.524
Oahu_Battery_4,2020-09-23-06:00,Oahu,0,37.2472,34.0298
Oahu_Battery_4,2020-09-23-08:00,Oahu,12.891,0,56.718
Oahu_Battery_4,2020-09-23-10:00,Oahu,18.4864,0,89.254
Oahu_Battery_4,2020-09-23-12:00,Oahu,22.2392,0,128.395
Oahu_Battery_4,2020-09-23-14:00,Oahu,2.87096,0,133.448
Oahu_Battery_4,2020-09-23-16:00,Oahu,24.4494,0,176.479
Oahu_Battery_4,2020-09-23-18:00,Oahu,0,31.8956,112.688
Oahu_Battery_4,2020-09-23-20:00,Oahu,0,12.2241,88.2394
Oahu_Battery_4,2020-09-23-22:00,Oahu,0,44.1197,0
Oahu_Battery_4,2020-10-23-00:00,Oahu,0,9.51335,0
Oahu_Battery_4,2020-10-23-02:00,Oahu,6.01632,0,10.5887
Oahu_Battery_4,2020-10-23-04:00,Oahu,44.1197,0,88.2394
Oahu_Battery_4,2020-10-23-06:00,Oahu,0,44.1197,0
Oahu_Battery_4,2020-10-23-08:00,Oahu,12.0326,0,21.1775
Oahu_Battery_4,2020-10-23-10:00,Oahu,44.1197,0,98.8281
Oahu_Battery_4,2020-10-23-12:00,Oahu,44.1197,0,176.479
Oahu_Battery_4,2020-10-23-14:00,Oahu,0,0,176.479
Oahu_Battery_4,2020-10-23-16:00,Oahu,0,0,176.479
Oahu_Battery_4,2020-10-23-18:00,Oahu,0,44.1197,88.2394
Oahu_Battery_4,2020-10-23-20:00,Oahu,0,15.2008,57.8378
Oahu_Battery_4,2020-10-23-22:00,Oahu,0,19.4055,19.0267
Oahu_Battery_4,2020-11-23-00:00,Oahu,0,40.3401,48.6308
Oahu_Battery_4,2020-11-23-02:00,Oahu,9.26157,0,64.9311
Oahu_Battery_4,2020-11-23-04:00,Oahu,0,32.4656,0
Oahu_Battery_4,2020-11-23-06:00,Oahu,0,0,0
Oahu_Battery_4,2020-11-23-08:00,Oahu,19.8736,0,34.9775
Oahu_Battery_4,2020-11-23-10:00,Oahu,12.2833,0,56.5962
Oahu_Battery_4,2020-11-23-12:00,Oahu,44.1197,0,134.247
Oahu_Battery_4,2020-11-23-14:00,Oahu,23.9954,0,176.479
Oahu_Battery_4,2020-11-23-16:00,Oahu,0,0,176.479
Oahu_Battery_4,2020-11-23-18:00,Oahu,0,44.1197,88.2394
Oahu_Battery_4,2020-11-23-20:00,Oahu,0,0,88.2394
Oahu_Battery_4,2020-11-23-22:00,Oahu,23.3361,0,129.311
Oahu_Battery_4,2020-12-23-00:00,Oahu,44.1197,0,86.6278
Oahu_Battery_4,2020-12-23-02:00,Oahu,44.1197,0,164.278
Oahu_Battery_4,2020-12-23-04:00,Oahu,6.93203,0,176.479
Oahu_Battery_4,2020-12-23-06:00,Oahu,0,0,176.479
Oahu_Battery_4,2020-12-23-08:00,Oahu,0,44.1197,88.2394
Oahu_Battery_4,2020-12-23-10:00,Oahu,0,15.2442,57.7511
Oahu_Battery_4,2020-12-23-12:00,Oahu,44.1197,0,135.402
Oahu_Battery_4,2020-12-23-14:00,Oahu,20.92,0,172.221
Oahu_Battery_4,2020-12-23-16:00,Oahu,0,0.319118,171.583
Oahu_Battery_4,2020-12-23-18:00,Oahu,0,44.1197,83.3433
Oahu_Battery_4,2020-12-23-20:00,Oahu,0,41.6716,0
Oahu_Battery_4,2020-12-23-22:00,Oahu,5.10061,0,8.97708
Oahu_Battery_4,2025-01-23-00:00,Oahu,0,0,0
Oahu_Battery_4,2025-01-23-02:00,Oahu,69.3896,0,122.126
Oahu_Battery_4,2025-01-23-04:00,Oahu,0,0,122.126
Oahu_Battery_4,2025-01-23-06:00,Oahu,0,48.8277,24.4702
Oahu_Battery_4,2025-01-23-08:00,Oahu,0,12.2351,0
Oahu_Battery_4,2025-01-23-10:00,Oahu,68.5806,0,120.702
Oahu_Battery_4,2025-01-23-12:00,Oahu,69.3896,0,242.827
Oahu_Battery_4,2025-01-23-14:00,Oahu,19.7334,0,277.558
Oahu_Battery_4,2025-01-23-16:00,Oahu,0,0,277.558
Oahu_Battery_4,2025-01-23-18:00,Oahu,0,65.6111,146.336
Oahu_Battery_4,2025-01-23-20:00,Oahu,0,49.6886,46.9588
Oahu_Battery_4,2025-01-23-22:00,Oahu,0,23.4794,0
Oahu_Battery_4,2025-02-23-00:00,Oahu,66.2799,0,116.653
Oahu_Battery_4,2025-02-23-02:00,Oahu,56.4469,0,215.999
Oahu_Battery_4,2025-02-23-04:00,Oahu,0,0,215.999
Oahu_Battery_4,2025-02-23-06:00,Oahu,0,69.3896,77.22
Oahu_Battery_4,2025-02-23-08:00,Oahu,0,11.4974,54.2252
Oahu_Battery_4,2025-02-23-10:00,Oahu,69.3896,0,176.351
Oahu_Battery_4,2025-02-23-12:00,Oahu,19.3775,0,210.455
Oahu_Battery_4,2025-02-23-14:00,Oahu,38.1267,0,277.558
Oahu_Battery_4,2025-02-23-16:00,Oahu,0,0,277.558
Oahu_Battery_4,2025-02-23-18:00,Oahu,0,69.3896,138.779
Oahu_Battery_4,2025-02-23-20:00,Oahu,0,44.4948,49.7895
Oahu_Battery_4,2025-02-23-22:00,Oahu,0,24.8948,0
Oahu_Battery_4,2025-03-23-00:00,Oahu,2.10188,0,3.69931
