BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,MaximumContingencyDown
system_wide_balancing_area,2007011200,64.66014409638937
system_wide_balancing_area,2007011202,59.23546387490745
system_wide_balancing_area,2007011204,65.34882824193015
system_wide_balancing_area,2007011206,91.31821807843359
system_wide_balancing_area,2007011208,100.4810262070175
system_wide_balancing_area,2007011210,106.12182502672468
system_wide_balancing_area,2007011212,106.4041234827797
system_wide_balancing_area,2007011214,105.02572113141953
system_wide_balancing_area,2007011216,101.9380171395505
system_wide_balancing_area,2007011218,107.06695612135576
system_wide_balancing_area,2007011220,96.21345943727755
system_wide_balancing_area,2007011222,80.19483166164346
system_wide_balancing_area,2007011900,60.88789220009391
system_wide_balancing_area,2007011902,55.585231091485575
system_wide_balancing_area,2007011904,62.56720609252368
system_wide_balancing_area,2007011906,88.51074442206237
system_wide_balancing_area,2007011908,96.4006243477023
system_wide_balancing_area,2007011910,101.07354274664945
system_wide_balancing_area,2007011912,102.73217543350744
system_wide_balancing_area,2007011914,102.34853907015064
system_wide_balancing_area,2007011916,99.7127194200253
system_wide_balancing_area,2007011918,105.16428520875057
system_wide_balancing_area,2007011920,94.85160205037482
system_wide_balancing_area,2007011922,78.80505464721881
system_wide_balancing_area,2007021200,54.52531930593107
system_wide_balancing_area,2007021202,50.48214361664507
system_wide_balancing_area,2007021204,58.43510121927898
system_wide_balancing_area,2007021206,84.27833570179445
system_wide_balancing_area,2007021208,91.85696348357885
system_wide_balancing_area,2007021210,96.68499092431449
system_wide_balancing_area,2007021212,98.64350109196349
system_wide_balancing_area,2007021214,99.00542218946993
system_wide_balancing_area,2007021216,98.34775985228683
system_wide_balancing_area,2007021218,106.97389069628267
system_wide_balancing_area,2007021220,95.60646605374535
system_wide_balancing_area,2007021222,74.42270718655537
system_wide_balancing_area,2007050200,62.26629455145407
system_wide_balancing_area,2007050202,57.669896613122546
system_wide_balancing_area,2007050204,63.10595149766896
system_wide_balancing_area,2007050206,89.20253074843892
system_wide_balancing_area,2007050208,99.41387599951288
system_wide_balancing_area,2007050210,104.59865423636195
system_wide_balancing_area,2007050212,106.6057652371047
system_wide_balancing_area,2007050214,106.79499826808663
system_wide_balancing_area,2007050216,104.63484634611262
system_wide_balancing_area,2007050218,106.19420924622598
system_wide_balancing_area,2007050220,99.93297425936494
system_wide_balancing_area,2007050222,79.24556432589806
system_wide_balancing_area,2007092200,70.15307229625823
system_wide_balancing_area,2007092202,64.14311395709449
system_wide_balancing_area,2007092204,65.81622348785275
system_wide_balancing_area,2007092206,79.44927420078022
system_wide_balancing_area,2007092208,98.89064149854647
system_wide_balancing_area,2007092210,105.88916146404199
system_wide_balancing_area,2007092212,106.04737268666625
system_wide_balancing_area,2007092214,105.33697327527506
system_wide_balancing_area,2007092216,104.02164860090886
system_wide_balancing_area,2007092218,106.48788236534547
system_wide_balancing_area,2007092220,97.45226365102809
system_wide_balancing_area,2007092222,84.88326096476948
system_wide_balancing_area,2007102700,68.98768636228755
system_wide_balancing_area,2007102702,62.97048960117369
system_wide_balancing_area,2007102704,65.16786769317694
system_wide_balancing_area,2007102706,78.60651507372957
system_wide_balancing_area,2007102708,98.74690711982247
system_wide_balancing_area,2007102710,104.96160939414699
system_wide_balancing_area,2007102712,104.9192129227248
system_wide_balancing_area,2007102714,101.62883311625217
system_wide_balancing_area,2007102716,99.86369222069942
system_wide_balancing_area,2007102718,104.7248095903499
system_wide_balancing_area,2007102720,96.11005340941857
system_wide_balancing_area,2007102722,83.1201881897739
system_wide_balancing_area,2007121500,65.51427788650453
system_wide_balancing_area,2007121502,58.80115855789976
system_wide_balancing_area,2007121504,61.32012939654443
system_wide_balancing_area,2007121506,74.46717177853473
system_wide_balancing_area,2007121508,92.1154785532263
system_wide_balancing_area,2007121510,97.32714235731872
system_wide_balancing_area,2007121512,96.11212152997574
system_wide_balancing_area,2007121514,92.91273902801902
system_wide_balancing_area,2007121516,94.40075176890969
system_wide_balancing_area,2007121518,101.01149912993408
system_wide_balancing_area,2007121520,92.80519675904567
system_wide_balancing_area,2007121522,79.32725508790664
system_wide_balancing_area,2008022000,60.252310613290575
system_wide_balancing_area,2008022002,55.14896916491822
system_wide_balancing_area,2008022004,62.34004120580653
system_wide_balancing_area,2008022006,87.49161038107597
system_wide_balancing_area,2008022008,97.48672798629514
system_wide_balancing_area,2008022010,103.5716464725068
system_wide_balancing_area,2008022012,105.65293345208286
system_wide_balancing_area,2008022014,106.1630528098221
system_wide_balancing_area,2008022016,105.23195074001174
system_wide_balancing_area,2008022018,110.04103386413028
system_wide_balancing_area,2008022020,98.03550902167356
system_wide_balancing_area,2008022022,75.8941810248106
system_wide_balancing_area,2008041000,57.874617438480726
system_wide_balancing_area,2008041002,54.101882062190306
system_wide_balancing_area,2008041004,62.90600520902459
system_wide_balancing_area,2008041006,88.37760716030728
system_wide_balancing_area,2008041008,97.82394373014802
system_wide_balancing_area,2008041010,102.70283266111511
system_wide_balancing_area,2008041012,101.72232955876581
system_wide_balancing_area,2008041014,103.89597499047994
system_wide_balancing_area,2008041016,103.15495950239557
system_wide_balancing_area,2008041018,109.49762250620176
system_wide_balancing_area,2008041020,100.29399535709591
system_wide_balancing_area,2008041022,77.95828503654707
system_wide_balancing_area,2008061700,67.1770466526645
system_wide_balancing_area,2008061702,61.6634618471208
system_wide_balancing_area,2008061704,67.9449105279983
system_wide_balancing_area,2008061706,89.46872561812427
system_wide_balancing_area,2008061708,103.73058892502341
system_wide_balancing_area,2008061710,109.91967915376286
system_wide_balancing_area,2008061712,111.73355619633463
system_wide_balancing_area,2008061714,111.14289167684709
system_wide_balancing_area,2008061716,108.79741656673653
system_wide_balancing_area,2008061718,107.3723041715366
system_wide_balancing_area,2008061720,104.1494237661146
system_wide_balancing_area,2008061722,82.93812390357203
system_wide_balancing_area,2008081800,67.10187116836607
system_wide_balancing_area,2008081802,62.379776818935696
system_wide_balancing_area,2008081804,68.47006498259722
system_wide_balancing_area,2008081806,93.17917273599599
system_wide_balancing_area,2008081808,107.63649230207102
system_wide_balancing_area,2008081810,114.39476834049847
system_wide_balancing_area,2008081812,116.91959067743522
system_wide_balancing_area,2008081814,117.31372500225689
system_wide_balancing_area,2008081816,114.69654421318211
system_wide_balancing_area,2008081818,111.5058818724594
system_wide_balancing_area,2008081820,107.49580675288401
system_wide_balancing_area,2008081822,84.41263733131092
system_wide_balancing_area,2008091000,66.92896755447973
system_wide_balancing_area,2008091002,62.08981423664181
system_wide_balancing_area,2008091004,68.53020537003596
system_wide_balancing_area,2008091006,92.60783905532804
system_wide_balancing_area,2008091008,105.0869694488648
system_wide_balancing_area,2008091010,112.4917546522586
system_wide_balancing_area,2008091012,113.70315388495305
system_wide_balancing_area,2008091014,113.70744962691298
system_wide_balancing_area,2008091016,112.22219684427431
system_wide_balancing_area,2008091018,113.63871775555441
system_wide_balancing_area,2008091020,104.23533860531278
system_wide_balancing_area,2008091022,81.4743498307329
system_wide_balancing_area,2008112200,62.60315540085097
system_wide_balancing_area,2008112202,56.14772917059716
system_wide_balancing_area,2008112204,58.38903253817987
system_wide_balancing_area,2008112206,71.22363557889913
