STORAGE_GEN_TPS_1	STORAGE_GEN_TPS_2	StateOfCharge
Oahu_Battery_4	2020072312	141.680828678
Oahu_Battery_4	2020072314	136.251234079
Oahu_Battery_4	2020072316	70.8404143392
Oahu_Battery_4	2020072318	70.8404143392
Oahu_Battery_4	2020072320	0.0
Oahu_Battery_4	2020072322	0.0
Oahu_Battery_4	2020082300	0.0
Oahu_Battery_4	2020082302	44.530362106
Oahu_Battery_4	2020082304	95.5983477083
Oahu_Battery_4	2020082306	91.0165129978
Oahu_Battery_4	2020082308	91.0708561816
Oahu_Battery_4	2020082310	69.6015874905
Oahu_Battery_4	2020082312	75.6973806939
Oahu_Battery_4	2020082314	76.7792594589
Oahu_Battery_4	2020082316	89.1075678726
Oahu_Battery_4	2020082318	89.1075678726
Oahu_Battery_4	2020082320	26.7929874986
Oahu_Battery_4	2020082322	26.7929874986
Oahu_Battery_4	2020092300	62.3395646185
Oahu_Battery_4	2020092302	99.1589346682
Oahu_Battery_4	2020092304	141.680828678
Oahu_Battery_4	2020092306	80.5255623301
Oahu_Battery_4	2020092308	24.9013029276
Oahu_Battery_4	2020092310	87.2408675461
Oahu_Battery_4	2020092312	135.007373788
Oahu_Battery_4	2020092314	141.680828678
Oahu_Battery_4	2020092316	141.680828678
Oahu_Battery_4	2020092318	108.064192728
Oahu_Battery_4	2020092320	70.8404143392
Oahu_Battery_4	2020092322	0.0
Oahu_Battery_4	2020102300	62.3395646185
Oahu_Battery_4	2020102302	62.3395646185
Oahu_Battery_4	2020102304	124.679129237
Oahu_Battery_4	2020102306	88.0588604453
Oahu_Battery_4	2020102308	57.9690570405
Oahu_Battery_4	2020102310	92.2036223884
Oahu_Battery_4	2020102312	117.026587276
Oahu_Battery_4	2020102314	131.497931645
Oahu_Battery_4	2020102316	131.497931645
Oahu_Battery_4	2020102318	60.657517306
Oahu_Battery_4	2020102320	39.3192247494
Oahu_Battery_4	2020102322	0.0
Oahu_Battery_4	2020112300	0.0
Oahu_Battery_4	2020112302	30.7128691623
Oahu_Battery_4	2020112304	0.0
Oahu_Battery_4	2020112306	0.0
Oahu_Battery_4	2020112308	33.6817607516
Oahu_Battery_4	2020112310	48.0004162592
Oahu_Battery_4	2020112312	110.339980878
Oahu_Battery_4	2020112314	141.680828678
Oahu_Battery_4	2020112316	93.0488825448
Oahu_Battery_4	2020112318	22.2084682056
Oahu_Battery_4	2020112320	21.6951239097
Oahu_Battery_4	2020112322	70.8404143392
Oahu_Battery_4	2020122300	71.8033076593
Oahu_Battery_4	2020122302	134.142872278
Oahu_Battery_4	2020122304	141.680828678
Oahu_Battery_4	2020122306	124.563926634
Oahu_Battery_4	2020122308	53.7235122949
Oahu_Battery_4	2020122310	17.0016994414
Oahu_Battery_4	2020122312	79.3412640599
Oahu_Battery_4	2020122314	141.680828678
Oahu_Battery_4	2020122316	141.680828678
Oahu_Battery_4	2020122318	70.8404143392
Oahu_Battery_4	2020122320	0.0
Oahu_Battery_4	2020122322	9.46374304086
Oahu_Battery_4	2025012300	0.0
Oahu_Battery_4	2025012302	129.831416018
Oahu_Battery_4	2025012304	161.654310641
Oahu_Battery_4	2025012306	44.6273180191
Oahu_Battery_4	2025012308	0.0
Oahu_Battery_4	2025012310	123.905752604
Oahu_Battery_4	2025012312	253.737168622
Oahu_Battery_4	2025012314	295.07140004
Oahu_Battery_4	2025012316	295.07140004
Oahu_Battery_4	2025012318	159.374129823
Oahu_Battery_4	2025012320	13.3258735148
Oahu_Battery_4	2025012322	0.0
Oahu_Battery_4	2025022300	0.0
Oahu_Battery_4	2025022302	129.831416018
Oahu_Battery_4	2025022304	224.667336998
Oahu_Battery_4	2025022306	77.1316369784
Oahu_Battery_4	2025022308	44.4403099778
Oahu_Battery_4	2025022310	149.238269221
