gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Kahe_4,multiple,2020,12.5950375,4030.4120000000003,12232.41272382232
Kahe_5,multiple,2020,292.1636347042352,93492.3631053553,244205.55576234972
Kahe_5,multiple,2025,120.11663876982095,38437.32440634272,106436.0958493168
Kahe_5,multiple,2030,31.113910582303212,9956.451386337028,30340.522580648885
Kahe_5,multiple,2035,12.035553954987474,3851.377265595992,12529.248421089504
Kahe_5,multiple,2040,0.0,0.0,0.0
Kahe_6,multiple,2020,27.336110436986424,8747.555339835657,41499.83317657865
Kahe_6,multiple,2025,110.74974694447066,35439.919022230606,90446.66422725422
Kahe_6,multiple,2030,0.0,0.0,0.0
Kahe_6,multiple,2035,0.0,0.0,0.0
Kahe_6,multiple,2040,0.0,0.0,0.0
Kalaeloa_CC1,multiple,2020,599.3708628899142,3596225.1773394886,420044.8365242124
Kalaeloa_CC1,multiple,2025,400.3233971037383,2401940.38262243,287087.123849928
Kalaeloa_CC1,multiple,2030,552.8683070832917,3317209.842499752,381997.8004123746
Kalaeloa_CC1,multiple,2035,469.8131123943242,2818878.674365946,330722.06291537645
Kalaeloa_CC1,multiple,2040,245.16108053614855,1470966.4832168892,169508.24549893782
Kalaeloa_CC1,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC2,multiple,2020,425.58537668187466,2553512.2600912503,294723.2964083134
Kalaeloa_CC2,multiple,2025,508.8549893047168,3053129.9358283025,351795.23995516455
Kalaeloa_CC2,multiple,2030,291.28687500000007,1747721.25,206088.4699764898
Kalaeloa_CC2,multiple,2035,379.81015460593215,2278860.9276355933,259943.56772382354
Kalaeloa_CC2,multiple,2040,466.2613051896841,2797567.8311381037,327731.43073432706
Kalaeloa_CC2,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC3,multiple,2020,59.31821006404397,355909.2603842636,40474.70843757889
Kalaeloa_CC3,multiple,2025,43.50620271877736,261037.2163126641,29683.620145973095
Kalaeloa_CC3,multiple,2030,30.000397691999407,180002.3861519965,20472.141843876823
Kalaeloa_CC3,multiple,2035,28.767159646938353,172602.95788163014,19629.633099375023
Kalaeloa_CC3,multiple,2040,0.0,0.0,9.592682500000006
Kalaeloa_CC3,multiple,2045,0.0,0.0,0.0
OffshoreWind,WND,2020,0.0,0.0,0.0
OffshoreWind,WND,2025,0.0,0.0,0.0
OffshoreWind,WND,2030,0.0,0.0,0.0
OffshoreWind,WND,2035,0.0,0.0,0.0
OffshoreWind,WND,2040,0.0,0.0,0.0
OffshoreWind,WND,2045,0.0,0.0,0.0
OnshoreWind,WND,2020,2202.2558178433233,0.0,0.0
OnshoreWind,WND,2025,2187.754110479983,0.0,0.0
OnshoreWind,WND,2030,2194.650565557104,0.0,0.0
OnshoreWind,WND,2035,2175.7281196434647,0.0,0.0
OnshoreWind,WND,2040,2148.630850023697,0.0,0.0
OnshoreWind,WND,2045,2053.1442662345853,0.0,0.0
SlopedDistPV,SUN,2020,504.8120490801916,0.0,0.0
SlopedDistPV,SUN,2025,489.050744498463,0.0,0.0
SlopedDistPV,SUN,2030,483.68859429626434,0.0,0.0
SlopedDistPV,SUN,2035,496.367960748802,0.0,0.0
SlopedDistPV,SUN,2040,0.0,0.0,0.0
SlopedDistPV,SUN,2045,478.05814033003065,0.0,0.0
Waiau_10,multiple,2020,2.0297554950347747,7216.180915860196,2145.72374119265
Waiau_10,multiple,2025,1.6984124999999999,6038.191250000004,1923.7968962450002
Waiau_10,multiple,2030,0.0,0.0,0.0
Waiau_10,multiple,2035,2.9737840843566126,10572.388649725184,2805.7127835102006
Waiau_10,multiple,2040,0.0,0.0,0.0
Waiau_10,multiple,2045,0.0,0.0,0.0
Waiau_6,multiple,2020,0.0,0.0,0.0
Waiau_7,multiple,2020,0.0,0.0,0.0
Waiau_8,multiple,2020,0.0,0.0,0.0
Waiau_9,multiple,2020,0.0,0.0,0.0
Waiau_9,multiple,2025,4.8921140420439375,16505.060946610123,5169.662702794678
Waiau_9,multiple,2030,0.0,0.0,0.0
Waiau_9,multiple,2035,2.94102419130295,9922.455426372084,2953.539180551513
Waiau_9,multiple,2040,0.0,0.0,0.0
Waiau_9,multiple,2045,0.0,0.0,0.0
