component	npv_cost
TotalGenFixedCosts	11092568798.97327
FuelCostsPerPeriod	5928748476.494176
StorageEnergyInstallCosts	0
RFM_Fixed_Costs_Annual	0
AESDeactivateFixedCost	0
GenVariableOMCostsInTP	314038693.1985185
Total_StartupGenCapacity_OM_Costs	0
UnservedLoadPenalty	0
UnservedReservePenalty	0
