component,npv_cost
TotalGenFixedCosts,11112842013.364
FuelCostsPerPeriod,5921297349.867114
StorageEnergyInstallCosts,0
RFM_Fixed_Costs_Annual,0
AESDeactivateFixedCost,0
GenVariableOMCostsInTP,311702350.6635697
Total_StartupGenCapacity_OM_Costs,0
