load_zone	period	timepoint_label	Biodiesel	Coal	Diesel	LNG	LSFO	Pellet-Biomass	MSW	SUN	WND	Battery	Battery_4	Battery_6	Battery_Conting	Battery_Reg	CentralTrackingPV	FlatDistPV	H-Power	OffshoreWind	OnshoreWind	SlopedDistPV	curtail_MSW	curtail_SUN	curtail_WND	curtail_Battery	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand	spinning_reserve_provision	spinning_reserve_requirement	marginal_cost	peak_day
Oahu	2020	2020-01-23-00:00	0.0	78.0684675062	0.0	0.0	75.0	0.0	42.8	0.0	358.00745395474996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8	0.0	358.00745395474996	0.0	0.0	0.0	2.028954781962966e-11	365.2881604296	553.87592146095	0.0	0.0	532.598516655165	15.438950721	5.83845408484	0.0	446.7994857538	331.81432425963044	0.0	typical
Oahu	2020	2020-01-23-02:00	0.0	67.0	0.0	0.0	75.0	0.0	42.8	0.0	335.69845608763995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8	0.0	335.69845608763995	0.0	0.0	0.0	34.113882645609635	365.2881604296	520.49845608764	0.0	0.0	482.672997960525	35.4202071696	2.40525095753	0.0	491.98183590562996	331.81432425963044	0.0	typical
Oahu	2020	2020-01-23-04:00	0.0	96.5	0.0	0.0	75.0	0.0	42.8	0.0	380.76358474543997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8	0.0	380.76358474543997	0.0	0.0	0.0	1.693933882052079e-11	365.2881604296	595.0635847454399	0.0	0.0	564.31941113329	29.6413129494	1.10286066272	0.0	428.36795326000004	331.81432425963044	0.0	typical
Oahu	2020	2020-01-23-06:00	0.0	180.0	0.0	0.0	146.162	0.0	42.8	0.0	467.13416377841	13.7139333261	13.7139333261	0.0	0.0	0.0	0.0	0.0	42.8	0.0	467.13416377841	0.0	0.0	0.0	2.0889956431346945e-11	351.5742271035	849.8100971045101	0.0	0.0	845.770985082045	0.0	4.03911202243	0.0	424.29195326	331.81432425963044	0.0	typical
Oahu	2020	2020-01-23-08:00	0.0	152.034686797	0.0	0.0	146.162	0.0	42.8	123.90636323751798	469.11705295909996	0.0	0.0	0.0	0.0	0.0	11.132091990402	48.248802695159995	42.8	0.0	469.11705295909996	64.525468551956	0.0	-1.0690470730878587e-10	1.475797262173728e-11	365.2881604296	934.020102993618	0.0	0.0	918.921213664957	0.0	15.0988893287	0.0	452.2572664629	419.98193382051306	0.0	typical
Oahu	2020	2020-01-23-10:00	0.0	132.010654131	0.0	0.0	83.1999432	0.0	42.8	308.66180863218995	408.17845451133996	0.0	0.0	0.0	0.0	0.0	31.3824805559	120.60785954919999	42.8	0.0	408.17845451133996	156.67146852708998	0.0	-2.914646302087931e-11	1.3159251466277055e-11	365.2881604296	974.85086047453	0.0	0.0	957.789031729327	6.46576221584	10.5960665289	0.0	437.0773559294	435.4459935990536	0.0	typical
Oahu	2020	2020-01-23-12:00	0.0	117.421959661	0.0	0.0	75.0	0.0	42.8	377.54671307924	373.09819278287	0.0	0.0	0.0	0.0	0.0	25.768971364339997	153.8967298841	42.8	0.0	373.09819278287	197.8810118308	0.0	-2.6190605240117293e-11	8.711253940418828e-12	365.2881604296	985.8668655231097	0.0	0.0	968.355032392165	9.11825292741	8.39358020309	0.0	435.4459935994	435.4459935990536	0.0	typical
Oahu	2020	2020-01-23-14:00	3.4393584070796464	141.915922424	4.560641592920354	0.0	91.3998864	0.0	42.8	321.16556172542	364.8818691647601	0.0	0.0	0.0	0.0	0.0	19.463603874420002	134.1048420519	42.8	0.0	364.8818691647601	167.5971157991	0.0	-1.715605435492762e-11	8.412825991399586e-12	365.2881604296	970.16323971418	0.0	0.0	959.755831599058	0.0	10.4074081149	0.0	443.3921444362	435.4459935990536	0.0	typical
Oahu	2020	2020-01-23-16:00	0.0	180.0	0.0	0.0	176.9450427413	0.0	42.8	128.62244258456	436.93275206563	0.0	0.0	0.0	0.0	0.0	20.2532574623	49.0731999714	42.8	0.0	436.93275206563	59.29598515086	0.0	-5.833200589222542e-11	1.743671873555286e-11	365.2881604296	965.3002373914896	0.0	0.0	952.048600370719	0.0	13.2516370207	0.0	445.92891051870004	423.22172401648737	0.0	typical
Oahu	2020	2020-01-23-18:00	0.0	180.0	30.10639016459567	0.0	338.0447632845043	0.0	42.8	0.0	452.5224329378099	29.7546746819	29.7546746819	0.0	0.0	0.0	0.0	0.0	42.8	0.0	452.5224329378099	0.0	0.0	0.0	1.2427392448444152e-11	335.5334857477	1073.22826106881	0.0	0.0	1054.70131555882	0.0	18.52694551	0.0	369.1427998109	331.81432425963044	0.0	typical
Oahu	2020	2020-01-23-20:00	0.0	180.0	0.0	0.0	330.586	0.0	42.8	0.0	379.9361658635599	9.57989552807	9.57989552807	0.0	0.0	0.0	0.0	0.0	42.8	0.0	379.9361658635599	0.0	0.0	0.0	1.6495249610670726e-11	355.70826490153	942.9020613916299	0.0	0.0	926.331121705041	0.0	16.5709396866	0.0	357.86795326000004	331.81432425963044	0.0	typical
Oahu	2020	2020-01-23-22:00	0.0	180.0	0.0	0.0	98.1999432	0.0	42.8	0.0	355.50793475111	31.5058441292	31.5058441292	0.0	0.0	0.0	0.0	0.0	42.8	0.0	355.50793475111	0.0	0.0	0.0	1.517719283583574e-11	333.7823163004	708.01372208031	0.0	0.0	696.143020798077	0.0	11.8707012823	0.0	374.08801006	331.81432425963044	0.0	typical
