PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,4204322103.480823,1033254174.1482286,26.116742246287938,39562904.30117059
2025,3935399476.854097,1121207862.2433438,27.285503499537462,41091705.06098047
2030,3389641148.4063344,1119533665.025932,26.59228273195395,42099945.92456226
2035,3006288079.857251,1151065806.1421826,26.86769690978093,42841997.58570107
2040,2705129198.4102573,1200725388.539724,27.311269779485745,43964465.88659244
2045,2322118995.9161477,1194885459.4735212,26.56904217788028,44972846.64888326
