load_zone,period,timepoint_label,Biodiesel,Coal,Diesel,LNG,LSFO,Pellet-Biomass,MSW,SUN,WND,Battery,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CentralTrackingPV,FlatDistPV,H-Power,OffshoreWind,OnshoreWind,SlopedDistPV,curtail_MSW,curtail_SUN,curtail_WND,curtail_Battery,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,UnservedLoad,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Oahu,2020,2020-02-23-00:00,0.0,180.0,0.0,0.0,196.975557685,0.0,42.8,0.0,201.49722129625002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,201.49722129625002,0.0,0.0,0.0,-1.6015633264032658e-11,373.23873505740005,621.27277898125,0.0,0.0,572.735611598,42.6987132984,5.83845408484,0.0,374.15046407399,320.78148912373047,0.0,typical
Oahu,2020,2020-02-23-02:00,0.0,180.0,0.0,0.0,77.4217223041,0.0,42.8,0.0,246.94908708788003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,246.94908708788003,0.0,0.0,0.0,-1.708144736767281e-11,373.23873505740005,547.1708093919799,0.0,0.0,502.066845136,42.6987132984,2.40525095753,0.0,343.1182994549,324.1335904250276,0.0,typical
Oahu,2020,2020-02-23-04:00,0.0,180.0,0.0,0.0,202.7902682115,0.0,42.8,0.0,105.30225772208999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,105.30225772208999,0.0,0.0,0.0,-6.573408484200627e-12,373.23873505740005,530.8925259335899,0.0,0.0,518.144561644,11.6451036268,1.10286066272,0.0,368.33575354753,279.2425559470834,0.0,typical
Oahu,2020,2020-02-23-06:00,0.0,180.0,30.10639016459567,0.0,374.2387837923044,0.0,42.8,0.0,24.483593662542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,24.483593662542,0.0,0.0,0.0,1.4814816040598089e-12,373.23873505740005,651.628767619442,0.0,0.0,647.589655597,0.0,4.03911202243,0.0,333.62084780161,204.48359366254348,0.0,typical
Oahu,2020,2020-02-23-08:00,0.0,180.0,0.0,0.0,407.42600000000004,0.0,42.8,187.081321248321,26.830333959948,24.0163581384,24.0163581384,0.0,0.0,0.0,39.8876559238,60.847401884970004,42.8,0.0,26.830333959948,86.346263439551,0.0,-3.749889287973929e-11,-2.7000623958883807e-13,349.222376919,868.1540133466691,0.0,0.0,853.055124018,0.0,15.0988893287,0.0,330.540021759,303.6006842882914,0.0,typical
Oahu,2020,2020-02-23-10:00,0.0,180.0,0.0,0.0,358.586,0.0,42.8,338.60390207329004,25.79028418035,2.74218755735,2.74218755735,0.0,0.0,0.0,48.3348515875,124.227048333,42.8,0.0,25.79028418035,166.04200215279,0.0,-1.0870238043025893e-10,-5.859757123971576e-12,370.49654750005004,948.52237381099,0.0,0.0,937.926307282,0.0,10.5960665289,0.0,330.540021759,312.83642748263605,0.0,typical
Oahu,2020,2020-02-23-12:00,0.0,180.0,0.0,0.0,330.586,0.0,42.8,372.41576293569995,33.19928528823,0.0,0.0,0.0,0.0,0.0,54.1461847799,134.0532046952,42.8,0.0,33.19928528823,184.2163734606,0.0,-2.1160673213671544e-10,-1.8633983245308627e-12,373.23873505740005,959.0010482239298,0.0,0.0,941.16238403,9.44508399066,8.39358020309,0.0,358.540021759,320.2454285905201,0.0,typical
Oahu,2020,2020-02-23-14:00,0.0,180.0,0.0,0.0,358.586,0.0,42.8,312.7641018559,9.883961441565647,42.6987132984,42.6987132984,0.0,0.0,0.0,55.2251071506,109.0274367751,42.8,0.0,9.883961441565647,148.51155793019998,0.0,-1.426059270670521e-11,1.2917444891513696e-12,330.540021759,946.7327765958655,0.0,0.0,936.325368481,0.0,10.4074081149,0.0,330.540021759,296.9301047438589,0.0,typical
Oahu,2020,2020-02-23-16:00,0.0,180.0,11.395236992353839,0.0,531.5819185975462,0.0,42.8,188.95258301702,10.719160378804702,0.0,0.0,0.0,0.0,0.0,50.4850489865,59.7023033256,42.8,0.0,10.719160378804702,78.76523070491999,0.0,-8.176037624707533e-11,-1.4522411051487438e-13,373.23873505740005,965.4488989857247,0.0,0.0,952.197261965,0.0,13.2516370207,0.0,473.4488661691,288.0779143413115,0.0,typical
Oahu,2020,2020-02-23-18:00,0.0,180.0,0.0,0.0,770.6528228126,0.0,42.8,0.0,11.910193503,24.2518415144,24.2518415144,0.0,0.0,0.0,0.0,0.0,42.8,0.0,11.910193503,0.0,0.0,0.0,0.0,348.986893543,1029.61485783,0.0,0.0,1011.08791232,0.0,18.52694551,0.0,349.01319894643,191.910193503,0.0,typical
