load_zone,period,Battery,Biodiesel/Coal/Diesel/LNG/LSFO/Pellet-Biomass,Biodiesel/Diesel/LNG,Biodiesel/Diesel/LNG/LSFO,MSW,SUN,WND,hydro,batteries,fuel cells
Oahu,2020,344.5981979703,180.0,8.0,960.5260000000001,73.0,516.8919679132,686.6245908658,0,0.0,0
Oahu,2025,450.46404291069996,180.0,102.8,676.126,73.0,728.7259870294,686.6245908658,0,0.0,0
Oahu,2030,581.4298445664,180.0,102.8,541.726,73.0,826.72832964766,686.6245908658,0,0.0,0
Oahu,2035,716.3309206001,180.0,102.8,541.726,73.0,987.51929723006,698.5639617518,0,0.0,0
Oahu,2040,1208.2647505377,180.0,0.0,407.42600000000004,73.0,1326.8248038005602,694.49943441991,0,0.0,0
Oahu,2045,2276.459182552,180.0,0.0,178.586,73.0,2818.0202076297596,703.58768306551,0,0.0,0
