load_zone,period,Battery,Biodiesel/Coal/Diesel/LNG/LSFO/Pellet-Biomass,Biodiesel/Diesel/LNG,Biodiesel/Diesel/LNG/LSFO,MSW,SUN,WND,hydro,batteries,fuel cells
Oahu,2020,344.08796925670003,180.0,57.9,817.7260000000001,73.0,526.069784465451,653.9243526992,0,0.0,0
Oahu,2025,435.2281102285,180.0,102.8,541.726,73.0,794.7194730985509,653.9243526992,0,0.0,0
Oahu,2030,509.6856874919,180.0,102.8,541.726,73.0,803.316078636951,653.9243526992,0,0.0,0
Oahu,2035,583.1534507402,180.0,52.9,407.42600000000004,73.0,1146.2884604339508,635.0035678252,0,0.0,0
Oahu,2040,847.2009414974001,180.0,0.0,407.42600000000004,73.0,1419.6277433794514,636.5,0,0.0,0
Oahu,2045,1596.523539353,180.0,0.0,150.586,73.0,2835.9545556472513,694.0,0,0.0,0
