component	npv_cost
TotalGenFixedCosts	10970886718.13501
FuelCostsPerPeriod	5821250882.147125
StorageEnergyInstallCosts	0
RFM_Fixed_Costs_Annual	0
AESDeactivateFixedCost	0
GenVariableOMCostsInTP	306515771.9547837
Total_StartupGenCapacity_OM_Costs	0
UnservedLoadPenalty	0
UnservedReservePenalty	0
