STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Oahu_Battery_4,2020112312,43.3356992586
Oahu_Battery_4,2020112314,17.0014598319
Oahu_Battery_4,2020112316,0.0
Oahu_Battery_4,2020112318,0.0
Oahu_Battery_4,2020112320,0.0
Oahu_Battery_4,2020112322,3.4436945605
Oahu_Battery_4,2020122300,52.6270767567
Oahu_Battery_4,2020122302,52.6270767567
Oahu_Battery_4,2020122304,8.3441290921
Oahu_Battery_4,2020122306,0.0
Oahu_Battery_4,2020122308,0.0
Oahu_Battery_4,2020122310,4.11613410911
Oahu_Battery_4,2020122312,52.6270767567
Oahu_Battery_4,2020122314,42.3391865818
Oahu_Battery_4,2020122316,0.0
Oahu_Battery_4,2020122318,0.0
Oahu_Battery_4,2020122320,0.0
Oahu_Battery_4,2020122322,6.00871002337
Oahu_Battery_4,2025012300,25.5409825985
Oahu_Battery_4,2025012302,0.586309327336
Oahu_Battery_4,2025012304,31.4167557331
Oahu_Battery_4,2025012306,0.0
Oahu_Battery_4,2025012308,0.0
Oahu_Battery_4,2025012310,79.2179905259
Oahu_Battery_4,2025012312,79.2179905259
Oahu_Battery_4,2025012314,21.6049065071
Oahu_Battery_4,2025012316,0.0
Oahu_Battery_4,2025012318,0.0
Oahu_Battery_4,2025012320,0.0
Oahu_Battery_4,2025012322,0.0
Oahu_Battery_4,2025022300,5.82344906752
Oahu_Battery_4,2025022302,79.2179905259
Oahu_Battery_4,2025022304,4.97900418601
Oahu_Battery_4,2025022306,0.0
Oahu_Battery_4,2025022308,0.0
Oahu_Battery_4,2025022310,59.6052118838
Oahu_Battery_4,2025022312,79.2179905259
Oahu_Battery_4,2025022314,41.2176851491
Oahu_Battery_4,2025022316,0.0
Oahu_Battery_4,2025022318,0.0
Oahu_Battery_4,2025022320,0.0
Oahu_Battery_4,2025022322,0.0
Oahu_Battery_4,2025032300,0.0
Oahu_Battery_4,2025032302,52.1313429619
Oahu_Battery_4,2025032304,0.0
Oahu_Battery_4,2025032306,0.0
Oahu_Battery_4,2025032308,77.5069522947
Oahu_Battery_4,2025032310,23.3159447382
Oahu_Battery_4,2025032312,79.2179905259
Oahu_Battery_4,2025032314,0.0
Oahu_Battery_4,2025032316,0.0
Oahu_Battery_4,2025032318,0.0
Oahu_Battery_4,2025032320,0.0
Oahu_Battery_4,2025032322,0.0
Oahu_Battery_4,2025042300,79.2179905259
Oahu_Battery_4,2025042302,29.4186539676
Oahu_Battery_4,2025042304,0.0
Oahu_Battery_4,2025042306,0.0
Oahu_Battery_4,2025042308,0.0
Oahu_Battery_4,2025042310,40.1709319933
Oahu_Battery_4,2025042312,79.2179905259
Oahu_Battery_4,2025042314,6.98441422575
Oahu_Battery_4,2025042316,0.0
Oahu_Battery_4,2025042318,0.0
Oahu_Battery_4,2025042320,0.0
Oahu_Battery_4,2025042322,0.0
Oahu_Battery_4,2025052300,17.1084390339
Oahu_Battery_4,2025052302,47.0600410108
Oahu_Battery_4,2025052304,0.0
Oahu_Battery_4,2025052306,0.0
Oahu_Battery_4,2025052308,73.0651811543
Oahu_Battery_4,2025052310,0.0
Oahu_Battery_4,2025052312,79.2179905259
Oahu_Battery_4,2025052314,0.0
Oahu_Battery_4,2025052316,4.18066462338
Oahu_Battery_4,2025052318,0.0
Oahu_Battery_4,2025052320,0.0
Oahu_Battery_4,2025052322,0.0
Oahu_Battery_4,2025062300,14.3775785519
Oahu_Battery_4,2025062302,0.0
Oahu_Battery_4,2025062304,43.2244884706
Oahu_Battery_4,2025062306,0.0
Oahu_Battery_4,2025062308,0.0
Oahu_Battery_4,2025062310,56.6068716257
Oahu_Battery_4,2025062312,79.2179905259
Oahu_Battery_4,2025062314,44.2160254072
Oahu_Battery_4,2025062316,0.0
Oahu_Battery_4,2025062318,0.0
Oahu_Battery_4,2025062320,0.0
Oahu_Battery_4,2025062322,0.0
Oahu_Battery_4,2025072300,79.2179905259
Oahu_Battery_4,2025072302,79.2179905259
Oahu_Battery_4,2025072304,0.0
Oahu_Battery_4,2025072306,0.0
Oahu_Battery_4,2025072308,0.0
