load_zone	period	AES	Airport_DSG	Battery_4	Battery_6	Battery_Conting	Battery_Reg	CC_152	CIP_CT	CentralTrackingPV	FlatDistPV	H-Power	Honolulu_8	Honolulu_9	IC_Schofield	Kahe_1	Kahe_2	Kahe_3	Kahe_4	Kahe_5	Kahe_6	Kalaeloa_CC1	Kalaeloa_CC2	Kalaeloa_CC3	OnshoreWind	SlopedDistPV	Waiau_10	Waiau_6	Waiau_7	Waiau_8	Waiau_9	hydro	batteries	fuel cells
Oahu	2020	180.0	0.0	32.3646154662	0.0	180.0	104.806385403	150.586	0.0	47.7332210978	180.264	73.0	53.4	54.4	48.84	0.0	0.0	86.1	85.3	134.3	0.0	90.0	90.0	28.0	633.85793591629	263.736	49.9	0.0	0.0	86.1	0.0	0	0.0	0
Oahu	2025	180.0	0.0	92.7929790722	39.7405737524	180.0	111.49763449234999	150.586	0.0	325.8008000241	180.264	73.0	0.0	0.0	48.84	0.0	0.0	0.0	0.0	134.3	134.4	90.0	90.0	28.0	638.69560873459	263.736	49.9	0.0	0.0	0.0	52.9	0	0.0	0
Oahu	2030	180.0	0.0	92.7929790722	134.713828594	180.0	111.49763449234999	150.586	0.0	376.82678955079996	180.264	73.0	0.0	0.0	48.84	0.0	0.0	0.0	0.0	134.3	0.0	90.0	90.0	28.0	638.69560873459	263.736	49.9	0.0	0.0	0.0	52.9	0	0.0	0
Oahu	2035	180.0	0.0	60.428363606	444.367113817	86.3732091536	6.69124908935	150.586	0.0	715.3156267688	180.264	73.0	0.0	0.0	48.84	0.0	0.0	0.0	0.0	0.0	0.0	90.0	90.0	28.0	638.69560873459	263.736	0.0	0.0	0.0	0.0	52.9	0	0.0	0
Oahu	2040	180.0	0.0	0.0	760.8277323446	86.3732091536	0.0	150.586	0.0	1291.3226864068001	83.5442419093	73.0	0.0	0.0	48.84	0.0	0.0	0.0	0.0	0.0	0.0	90.0	90.0	28.0	617.2270646674	108.75428697	0.0	0.0	0.0	0.0	0.0	0	0.0	0
Oahu	2045	180.0	0.0	0.0	1486.021099783	86.3732091536	0.0	150.586	0.0	1221.1902580595001	1287.2082442573	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	681.5	353.71821885730003	0.0	0.0	0.0	0.0	0.0	0	0.0	0
