STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Oahu_Battery_4,2020,210.508307027
Oahu_Battery_4,2025,106.363655077
Oahu_Battery_4,2030,0.0
Oahu_Battery_4,2035,0.0
Oahu_Battery_4,2040,0.0
Oahu_Battery_4,2045,0.0
Oahu_Battery_6,2020,0.0
Oahu_Battery_6,2025,387.295363216
Oahu_Battery_6,2030,446.745463581
Oahu_Battery_6,2035,1826.17002077
Oahu_Battery_6,2040,2131.12579038
Oahu_Battery_6,2045,4942.68105072
Oahu_Battery_Conting,2020,0.0
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2035,0.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Reg,2020,0.0
Oahu_Battery_Reg,2025,0.0
Oahu_Battery_Reg,2030,0.0
Oahu_Battery_Reg,2035,0.0
Oahu_Battery_Reg,2040,0.0
Oahu_Battery_Reg,2045,0.0
