PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,4134871588.2083125,1016186015.9443995,25.685324014858345,39562904.30117059
2025,3896808545.8110876,1110213182.9099765,27.017939052721466,41091705.06098047
2030,3336472220.7755494,1101972984.7621887,26.175163900133835,42099945.92456226
2035,2950335766.7829766,1129642445.2920082,26.367641775626197,42841997.58570107
2040,2654838780.2774057,1178402986.3831542,26.803532412354954,43964465.88659244
2045,2211684426.827519,1138059491.0113988,25.305480435707718,44972846.64888326
