load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand
Oahu,2020-01-12 00:00,647.788,0,646.601,0,1.18636,0
Oahu,2020-01-12 02:00,622.884,0,592.355,29.6701,0.859446,0
Oahu,2020-01-12 04:00,654.352,0,653.488,0,0.863464,0
Oahu,2020-01-12 06:00,914.226,0,913.182,0,1.04417,0
Oahu,2020-01-12 08:00,1006.41,0,1004.81,0,1.59563,0
Oahu,2020-01-12 10:00,1077.74,0,1061.22,13.7843,2.74151,0
Oahu,2020-01-12 12:00,1083.07,0,1064.04,15.8858,3.14321,0
Oahu,2020-01-12 14:00,1054.09,0,1050.26,0,3.83282,0
Oahu,2020-01-12 16:00,1023.51,0,1019.38,0,4.12742,0
Oahu,2020-01-12 18:00,1077.32,0,1070.67,0,6.65109,0
Oahu,2020-01-12 20:00,968.305,0,962.135,0,6.17026,0
Oahu,2020-01-12 22:00,803.495,0,801.948,0,1.54632,0
Oahu,2020-01-19 00:00,610.065,0,608.879,0,1.18636,0
Oahu,2020-01-19 02:00,578.346,0,555.852,21.6337,0.859446,0
Oahu,2020-01-19 04:00,634.572,0,625.672,8.03634,0.863464,0
Oahu,2020-01-19 06:00,886.152,0,885.107,0,1.04417,0
Oahu,2020-01-19 08:00,965.602,0,964.006,0,1.59563,0
Oahu,2020-01-19 10:00,1013.48,0,1010.74,0,2.74151,0
Oahu,2020-01-19 12:00,1056.81,0,1027.32,26.3439,3.14321,0
Oahu,2020-01-19 14:00,1030.64,0,1023.49,3.32615,3.83282,0
Oahu,2020-01-19 16:00,1001.25,0,997.127,0,4.12742,0
Oahu,2020-01-19 18:00,1058.29,0,1051.64,0,6.65109,0
Oahu,2020-01-19 20:00,954.686,0,948.516,0,6.17026,0
Oahu,2020-01-19 22:00,789.597,0,788.051,0,1.54632,0
Oahu,2020-02-12 00:00,546.44,0,545.253,0,1.18636,0
