generation_project	timepoint	load_zone	ChargeMW	DischargeMW	StateOfCharge
Oahu_Battery_4	2020-08-23-02:00	Oahu	32.3646	0	56.9617
Oahu_Battery_4	2020-08-23-04:00	Oahu	32.3646	0	113.923
Oahu_Battery_4	2020-08-23-06:00	Oahu	0	9.36363	95.1962
Oahu_Battery_4	2020-08-23-08:00	Oahu	0.710988	0	96.4475
Oahu_Battery_4	2020-08-23-10:00	Oahu	0	5.77918	84.8892
Oahu_Battery_4	2020-08-23-12:00	Oahu	25.3235	0	129.458
Oahu_Battery_4	2020-08-23-14:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-08-23-16:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-08-23-18:00	Oahu	0	30.4537	68.551
Oahu_Battery_4	2020-08-23-20:00	Oahu	0	32.3646	3.82176
Oahu_Battery_4	2020-08-23-22:00	Oahu	0	1.91088	0
Oahu_Battery_4	2020-09-23-00:00	Oahu	32.3646	0	107.446
Oahu_Battery_4	2020-09-23-02:00	Oahu	5.8997	0	117.829
Oahu_Battery_4	2020-09-23-04:00	Oahu	3.1433	0	123.361
Oahu_Battery_4	2020-09-23-06:00	Oahu	0	32.3646	58.632
Oahu_Battery_4	2020-09-23-08:00	Oahu	0	12.5144	33.6032
Oahu_Battery_4	2020-09-23-10:00	Oahu	14.54	0	59.1935
Oahu_Battery_4	2020-09-23-12:00	Oahu	30.4429	0	112.773
Oahu_Battery_4	2020-09-23-14:00	Oahu	9.48039	0	129.458
Oahu_Battery_4	2020-09-23-16:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-09-23-18:00	Oahu	0	32.3646	64.7292
Oahu_Battery_4	2020-09-23-20:00	Oahu	0	32.3646	0
Oahu_Battery_4	2020-09-23-22:00	Oahu	28.684	0	50.4838
Oahu_Battery_4	2020-10-23-00:00	Oahu	0	0	20.1595
Oahu_Battery_4	2020-10-23-02:00	Oahu	19.2795	0	54.0914
Oahu_Battery_4	2020-10-23-04:00	Oahu	0	10.9393	32.2127
Oahu_Battery_4	2020-10-23-06:00	Oahu	0	16.1063	0
Oahu_Battery_4	2020-10-23-08:00	Oahu	8.82671	0	15.535
Oahu_Battery_4	2020-10-23-10:00	Oahu	32.3646	0	72.4967
Oahu_Battery_4	2020-10-23-12:00	Oahu	32.3646	0	129.458
Oahu_Battery_4	2020-10-23-14:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-10-23-16:00	Oahu	0	0	129.458
Oahu_Battery_4	2020-10-23-18:00	Oahu	0	32.3646	64.7292
Oahu_Battery_4	2020-10-23-20:00	Oahu	0	22.2849	20.1595
