BALANCING_AREA_TIMEPOINTS_1	BALANCING_AREA_TIMEPOINTS_2	MaximumContingencyDown
system_wide_balancing_area	2020122314	98.9418495837
system_wide_balancing_area	2020122316	96.8526586476
system_wide_balancing_area	2020122318	104.439829935
system_wide_balancing_area	2020122320	93.921847665
system_wide_balancing_area	2020122322	76.230636384
system_wide_balancing_area	2025012300	53.9480249516
system_wide_balancing_area	2025012302	49.5335057795
system_wide_balancing_area	2025012304	56.7528530334
system_wide_balancing_area	2025012306	81.6393920561
system_wide_balancing_area	2025012308	88.1074888324
system_wide_balancing_area	2025012310	91.5442629013
system_wide_balancing_area	2025012312	92.4785308612
system_wide_balancing_area	2025012314	91.7181714747
system_wide_balancing_area	2025012316	91.0366819096
system_wide_balancing_area	2025012318	100.113450486
system_wide_balancing_area	2025012320	88.762688457
system_wide_balancing_area	2025012322	68.4089733386
system_wide_balancing_area	2025022300	57.4970311467
system_wide_balancing_area	2025022302	51.2483504605
system_wide_balancing_area	2025022304	52.6699759062
system_wide_balancing_area	2025022306	64.1157828589
system_wide_balancing_area	2025022308	82.2834709125
system_wide_balancing_area	2025022310	89.7879591076
system_wide_balancing_area	2025022312	90.0740998072
system_wide_balancing_area	2025022314	89.646400738
system_wide_balancing_area	2025022316	91.0498268798
system_wide_balancing_area	2025022318	96.2570618136
system_wide_balancing_area	2025022320	88.5149643958
system_wide_balancing_area	2025022322	74.0843543533
system_wide_balancing_area	2025032300	57.1522441315
system_wide_balancing_area	2025032302	51.3696853243
system_wide_balancing_area	2025032304	52.5284237079
system_wide_balancing_area	2025032306	60.7154073978
system_wide_balancing_area	2025032308	77.2137459444
system_wide_balancing_area	2025032310	82.3562742993
system_wide_balancing_area	2025032312	83.0862953413
system_wide_balancing_area	2025032314	82.7243149519
system_wide_balancing_area	2025032316	84.1226867602
system_wide_balancing_area	2025032318	88.8506548447
system_wide_balancing_area	2025032320	85.0569547201
system_wide_balancing_area	2025032322	69.7213967898
system_wide_balancing_area	2025042300	54.874202275
system_wide_balancing_area	2025042302	50.4374415663
system_wide_balancing_area	2025042304	56.4394102923
system_wide_balancing_area	2025042306	79.4139300805
system_wide_balancing_area	2025042308	91.9173578876
system_wide_balancing_area	2025042310	97.8364207309
system_wide_balancing_area	2025042312	99.9051551646
system_wide_balancing_area	2025042314	100.340951042
system_wide_balancing_area	2025042316	99.199399861
system_wide_balancing_area	2025042318	99.3217529972
system_wide_balancing_area	2025042320	93.6362509725
system_wide_balancing_area	2025042322	71.718346109
system_wide_balancing_area	2025052300	61.2543326636
system_wide_balancing_area	2025052302	56.5395095493
system_wide_balancing_area	2025052304	63.5687731279
system_wide_balancing_area	2025052306	86.2369287106
system_wide_balancing_area	2025052308	98.9911168819
system_wide_balancing_area	2025052310	104.126554358
system_wide_balancing_area	2025052312	105.158909716
system_wide_balancing_area	2025052314	103.98298413
system_wide_balancing_area	2025052316	99.4562266598
system_wide_balancing_area	2025052318	96.9334908737
system_wide_balancing_area	2025052320	92.3946128775
system_wide_balancing_area	2025052322	76.0378265292
system_wide_balancing_area	2025062300	59.4778053641
system_wide_balancing_area	2025062302	54.723547339
system_wide_balancing_area	2025062304	60.9691978936
system_wide_balancing_area	2025062306	81.7091591399
system_wide_balancing_area	2025062308	95.5806327535
system_wide_balancing_area	2025062310	102.692802215
system_wide_balancing_area	2025062312	104.687727332
system_wide_balancing_area	2025062314	104.86669641
system_wide_balancing_area	2025062316	102.434963315
system_wide_balancing_area	2025062318	99.570482988
system_wide_balancing_area	2025062320	97.9729185955
system_wide_balancing_area	2025062322	77.4169807612
system_wide_balancing_area	2025072300	64.7022275007
system_wide_balancing_area	2025072302	59.4292738871
system_wide_balancing_area	2025072304	64.9064744186
system_wide_balancing_area	2025072306	85.1782895839
system_wide_balancing_area	2025072308	98.1185253692
system_wide_balancing_area	2025072310	105.347987462
system_wide_balancing_area	2025072312	106.815114253
system_wide_balancing_area	2025072314	106.276182816
system_wide_balancing_area	2025072316	104.89197425
system_wide_balancing_area	2025072318	101.747413487
system_wide_balancing_area	2025072320	98.5371278721
system_wide_balancing_area	2025072322	79.204628829
system_wide_balancing_area	2025082300	63.913560143
