generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
N-Coal_ST,N-Coal_ST,Coal_ST,North,Coal,2030,14.832072,50429.044799999996,12750.835656959998,2.0,411840.16728896805,42780.0,34.051250212521666,0.846
N-Commercial_PV,N-Commercial_PV,Commercial_PV,North,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Commercial_PV,N-Commercial_PV,Commercial_PV,North,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Geothermal,N-Geothermal,Geothermal,North,Geothermal,2020,8.490555608562001,244782.71819484245,0.0,1.0,458317.52960571623,0.0,82.80968645815618,0.9685807500000001
N-Geothermal,N-Geothermal,Geothermal,North,Geothermal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-NG_CC,N-NG_CC,NG_CC,North,NaturalGas,2020,0.0,0.0,0.0,2.0,226819.89511360374,11736.6,0.0,0.0
N-NG_CC,N-NG_CC,NG_CC,North,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-NG_CC_CCS,N-NG_CC_CCS,NG_CC_CCS,North,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-NG_GT,N-NG_GT,NG_GT,North,NaturalGas,2020,0.0,0.0,0.0,2.0,125164.37766366196,9783.6,0.0,0.0
N-NG_GT,N-NG_GT,NG_GT,North,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Nuclear,N-Nuclear,Nuclear,North,Uranium,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Residential_PV,N-Residential_PV,Residential_PV,North,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Residential_PV,N-Residential_PV,Residential_PV,North,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Wind-1,N-Wind-1,Wind,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Wind-1,N-Wind-1,Wind,North,Wind,2030,25.54863864940007,0.0,0.0,3.66513458021114,565024.2978911747,204514.50957578162,30.120623056102623,0.7952000000000005
N-Wind-2,N-Wind-2,Wind,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Wind-2,N-Wind-2,Wind,North,Wind,2030,7.58066148,0.0,0.0,1.0,154859.5875847584,55800.0,27.78915334718985,0.86478
S-Biomass_IGCC,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Biomass_IGCC,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Biomass_IGCC_CCS,S-Biomass_IGCC_CCS,Biomass_IGCC_CCS,South,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-1,S-Central_PV-1,Central_PV,South,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-1,S-Central_PV-1,Central_PV,South,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-2,S-Central_PV-2,Central_PV,South,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-2,S-Central_PV-2,Central_PV,South,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Commercial_PV,S-Commercial_PV,Commercial_PV,South,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Commercial_PV,S-Commercial_PV,Commercial_PV,South,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Geothermal,S-Geothermal,Geothermal,South,Geothermal,2020,25.471666825686,881217.7855014327,0.0,3.0,1367975.6355844461,0.0,88.30177610590287,0.96858075
S-Geothermal,S-Geothermal,Geothermal,South,Geothermal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-NG_CC,S-NG_CC,NG_CC,South,NaturalGas,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-NG_CC,S-NG_CC,NG_CC,South,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-NG_CC_CCS,S-NG_CC_CCS,NG_CC_CCS,South,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-NG_GT,S-NG_GT,NG_GT,South,NaturalGas,2020,0.0,0.0,0.0,2.0,125164.37766366196,9783.6,0.0,0.0
S-NG_GT,S-NG_GT,NG_GT,South,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Residential_PV,S-Residential_PV,Residential_PV,South,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Residential_PV,S-Residential_PV,Residential_PV,South,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
