component,npv_cost
TotalGenFixedCosts,75433533.42446835
LocalTDFixedCosts,20249863.37972584
TxFixedCosts,3537104.452907966
GenVariableOMCostsInTP,11376362.17100936
FuelCostsPerTP,16153628.67867232
