PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,83661166.41975188,13827877.436611999,9.85905183814767,1402556.52
2030,43089325.68703197,11600969.759274267,6.2720624381762935,1849626.0
