TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,TxPowerReceived
North,Central,1,0.0
North,Central,2,3.5957753864201565
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
Central,North,1,2.6192502954065473
Central,North,2,5.308883447179564
Central,North,3,2.0912671908658944
Central,North,4,1.7744773281415007
Central,North,5,1.5632840863252415
Central,North,6,1.9112813751432287
Central,North,7,0.05986469790492019
Central,South,1,6.721633522772541
Central,South,2,11.087645195353717
Central,South,3,8.007874150014052
Central,South,4,7.6198700712992204
Central,South,5,5.54198742265048
Central,South,6,7.653919840813093
Central,South,7,11.087645195353717
South,Central,1,3.0940838071876087
South,Central,2,6.205526542877505
South,Central,3,3.8068458785264077
South,Central,4,2.7472962789589626
South,Central,5,4.1744385725905923e-16
South,Central,6,0.0
South,Central,7,0.0
