fuel,co2_intensity,upstream_co2_intensity,rps_eligible
Biodiesel,0.0,0.0,1
Coal,0.09535,0.0,0
Diesel,0.07316,0.0,0
LNG,0.05307,0.0,0
LSFO,0.07879,0.0,0
Pellet-Biomass,0.0,0.0,1
