GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_CentralTrackingPV_PV_10,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_10,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_11,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_11,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_11,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_11,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_11,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_11,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_12,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_12,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_12,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_12,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_12,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_12,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_13,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_13,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_13,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_13,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_13,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_13,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_14,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_14,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_14,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_14,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_14,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_14,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_15,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_15,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_15,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_15,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_15,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_15,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_16,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_16,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_16,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_16,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_16,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_16,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_17,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_17,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_17,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_17,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_17,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_17,2045,1415952.11519,.,27400.0
Oahu_CentralTrackingPV_PV_18,2020,2506345.17341,.,27400.0
Oahu_CentralTrackingPV_PV_18,2025,2153676.33775,.,27400.0
Oahu_CentralTrackingPV_PV_18,2030,1925018.93951,.,27400.0
Oahu_CentralTrackingPV_PV_18,2035,1737692.23325,.,27400.0
Oahu_CentralTrackingPV_PV_18,2040,1568594.59173,.,27400.0
Oahu_CentralTrackingPV_PV_18,2045,1415952.11519,.,27400.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2016,3945000.0,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2020,3128586.4886,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2025,2612915.42852,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2030,2284773.5948,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2035,2062009.89386,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2040,1861279.23001,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2045,1680387.77698,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2020,3128586.4886,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2025,2612915.42852,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2030,2284773.5948,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2035,2062009.89386,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2040,1861279.23001,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2045,1680387.77698,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2016,3945000.0,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2020,3128586.4886,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2025,2612915.42852,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2030,2284773.5948,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2035,2062009.89386,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2040,1861279.23001,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2045,1680387.77698,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2016,3945000.0,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2020,3128586.4886,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2025,2612915.42852,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2030,2284773.5948,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2035,2062009.89386,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2040,1861279.23001,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2045,1680387.77698,.,0.0
Oahu_H-Power,1989,1850000.0,.,0.0
Oahu_Honolulu_8,1954,530587.244468,.,0.0
Oahu_Honolulu_9,1957,530587.244468,.,0.0
Oahu_IC_Barge,2020,1323131.36914,.,34460.0
Oahu_IC_Barge,2025,1323491.06125,.,34460.0
Oahu_IC_Barge,2030,1323501.64936,.,34460.0
Oahu_IC_Barge,2035,1323134.89043,.,34460.0
Oahu_IC_Barge,2040,1323619.78857,.,34460.0
Oahu_IC_Barge,2045,1323327.72788,.,34460.0
Oahu_IC_MCBH,2020,3090410.28442,.,34460.0
Oahu_IC_MCBH,2025,3003830.74198,.,34460.0
Oahu_IC_MCBH,2030,2933671.1074,.,34460.0
Oahu_IC_MCBH,2035,2885673.83212,.,34460.0
Oahu_IC_MCBH,2040,2855786.26957,.,34460.0
Oahu_IC_MCBH,2045,2855884.29922,.,34460.0
Oahu_IC_Schofield,2018,2451935.88106,.,34460.0
Oahu_IC_Schofield,2020,2424654.52866,.,34460.0
Oahu_IC_Schofield,2025,2357415.22364,.,34460.0
Oahu_IC_Schofield,2030,2301911.34423,.,34460.0
Oahu_IC_Schofield,2035,2264363.31814,.,34460.0
Oahu_IC_Schofield,2040,2241225.23529,.,34460.0
Oahu_IC_Schofield,2045,2241311.8274,.,34460.0
Oahu_Kahe_1,1963,530587.244468,.,0.0
Oahu_Kahe_2,1964,530587.244468,.,0.0
Oahu_Kahe_3,1970,530587.244468,.,0.0
Oahu_Kahe_4,1972,530587.244468,.,0.0
Oahu_Kahe_5,1974,530587.244468,.,0.0
Oahu_Kahe_6,1981,530587.244468,.,0.0
Oahu_Kalaeloa_CC1,1989,1850000.0,.,0.0
Oahu_Kalaeloa_CC2,1991,1850000.0,.,0.0
Oahu_Kalaeloa_CC3,1991,1850000.0,.,0.0
Oahu_OffshoreWind_OffWind,2020,5615998.97241,.,96710.0
Oahu_OffshoreWind_OffWind,2025,4758399.66092,.,96710.0
Oahu_OffshoreWind_OffWind,2030,4401066.61446,.,96710.0
Oahu_OffshoreWind_OffWind,2035,4222400.09124,.,96710.0
Oahu_OffshoreWind_OffWind,2040,4043733.56801,.,96710.0
Oahu_OffshoreWind_OffWind,2045,3882933.6971,.,96710.0
Oahu_OnshoreWind_OnWind_101,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_101,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_101,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_101,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_101,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_101,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_102,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_102,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_102,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_102,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_102,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_102,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_103,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_103,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_103,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_103,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_103,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_103,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_104,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_104,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_104,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_104,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_104,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_104,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_105,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_105,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_105,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_105,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_105,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_105,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_106,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_106,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_106,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_106,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_106,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_106,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_107,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_107,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_107,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_107,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_107,2040,2066733.99942,.,27400.0
