GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_min_build_capacity,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_land_class,gen_land_area,gen_slope_class
Oahu_CentralTrackingPV_PV_04_C_00_15,Oahu,CentralTrackingPV,14393.906518355458,3.8692561426261496,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,117437.53435011045,00_to_15
Oahu_CentralTrackingPV_PV_04_C_15_17,Oahu,CentralTrackingPV,15527.930510588158,0.009742919899828575,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,295.711746193652,15_to_17
Oahu_CentralTrackingPV_PV_04_X_00_15,Oahu,CentralTrackingPV,14609.560107311425,44.082215433233365,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,1337959.1576110108,00_to_15
Oahu_CentralTrackingPV_PV_04_X_15_17,Oahu,CentralTrackingPV,15603.407182247982,13.06704295746082,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,396603.7009712242,15_to_17
Oahu_CentralTrackingPV_PV_04_X_17_20,Oahu,CentralTrackingPV,15518.91439080153,11.327960823808459,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,343820.03654578124,17_to_20
Oahu_CentralTrackingPV_PV_05_C_00_15,Oahu,CentralTrackingPV,10099.152376034855,21.369230716064997,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,648587.137617111,00_to_15
Oahu_CentralTrackingPV_PV_05_X_00_15,Oahu,CentralTrackingPV,9352.449624223544,33.488336764008174,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,1016419.578875956,00_to_15
Oahu_CentralTrackingPV_PV_06_C_00_15,Oahu,CentralTrackingPV,3134.6534876238907,1.210744740442951,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,C,36747.8584523172,00_to_15
Oahu_CentralTrackingPV_PV_06_X_00_15,Oahu,CentralTrackingPV,619.7106527028286,3.33147937552796,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,101115.22969236811,00_to_15
Oahu_CentralTrackingPV_PV_06_X_15_17,Oahu,CentralTrackingPV,2161.925585748086,0.797913181157945,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,24217.82202225631,15_to_17
Oahu_CentralTrackingPV_PV_06_X_17_20,Oahu,CentralTrackingPV,1252.1630455545428,0.7720046360917291,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,other,23431.46011210631,17_to_20
Oahu_CentralTrackingPV_PV_07_B_00_15,Oahu,CentralTrackingPV,12170.780324627014,103.85303609038944,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,3152090.2322456506,00_to_15
Oahu_CentralTrackingPV_PV_07_B_15_17,Oahu,CentralTrackingPV,10690.050976999672,5.3785361000531315,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,163246.36951395762,15_to_17
Oahu_CentralTrackingPV_PV_07_B_17_20,Oahu,CentralTrackingPV,10865.445092179334,3.2272416887084034,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.,B,97951.46475274867,17_to_20
