TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
20200123,2020,2.0,12,152.1875
20200223,2020,2.0,12,152.1875
20200323,2020,2.0,12,152.1875
20200423,2020,2.0,12,152.1875
20200523,2020,2.0,12,152.1875
20200623,2020,2.0,12,152.1875
20200723,2020,2.0,12,152.1875
20200823,2020,2.0,12,152.1875
20200923,2020,2.0,12,152.1875
20201023,2020,2.0,12,152.1875
20201123,2020,2.0,12,152.1875
20201223,2020,2.0,12,152.1875
20250123,2025,2.0,12,152.1875
20250223,2025,2.0,12,152.1875
20250323,2025,2.0,12,152.1875
20250423,2025,2.0,12,152.1875
20250523,2025,2.0,12,152.1875
20250623,2025,2.0,12,152.1875
20250723,2025,2.0,12,152.1875
20250823,2025,2.0,12,152.1875
20250923,2025,2.0,12,152.1875
20251023,2025,2.0,12,152.1875
20251123,2025,2.0,12,152.1875
20251223,2025,2.0,12,152.1875
20300123,2030,2.0,12,152.1875
20300223,2030,2.0,12,152.1875
20300323,2030,2.0,12,152.1875
20300423,2030,2.0,12,152.1875
20300523,2030,2.0,12,152.1875
20300623,2030,2.0,12,152.1875
20300723,2030,2.0,12,152.1875
20300823,2030,2.0,12,152.1875
20300923,2030,2.0,12,152.1875
20301023,2030,2.0,12,152.1875
20301123,2030,2.0,12,152.1875
20301223,2030,2.0,12,152.1875
20350123,2035,2.0,12,152.1875
20350223,2035,2.0,12,152.1875
20350323,2035,2.0,12,152.1875
20350423,2035,2.0,12,152.1875
20350523,2035,2.0,12,152.1875
20350623,2035,2.0,12,152.1875
20350723,2035,2.0,12,152.1875
20350823,2035,2.0,12,152.1875
20350923,2035,2.0,12,152.1875
20351023,2035,2.0,12,152.1875
20351123,2035,2.0,12,152.1875
20351223,2035,2.0,12,152.1875
20400123,2040,2.0,12,152.1875
20400223,2040,2.0,12,152.1875
20400323,2040,2.0,12,152.1875
20400423,2040,2.0,12,152.1875
20400523,2040,2.0,12,152.1875
20400623,2040,2.0,12,152.1875
20400723,2040,2.0,12,152.1875
20400823,2040,2.0,12,152.1875
20400923,2040,2.0,12,152.1875
20401023,2040,2.0,12,152.1875
20401123,2040,2.0,12,152.1875
20401223,2040,2.0,12,152.1875
20450123,2045,2.0,12,152.1875
20450223,2045,2.0,12,152.1875
20450323,2045,2.0,12,152.1875
20450423,2045,2.0,12,152.1875
20450523,2045,2.0,12,152.1875
20450623,2045,2.0,12,152.1875
20450723,2045,2.0,12,152.1875
20450823,2045,2.0,12,152.1875
20450923,2045,2.0,12,152.1875
20451023,2045,2.0,12,152.1875
20451123,2045,2.0,12,152.1875
20451223,2045,2.0,12,152.1875
