generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
N-NG_GT,2025061500,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,2191.5
N-NG_GT,2025061512,2168.9078495002836,1.79521650448786,3.934216969585145,109398.77127325413,N-NG_GT,NaturalGas,North,NG_GT,2020,2191.5
N-NG_GT,2035011512,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2030,8766.0
N-Nuclear,2035011512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2030,8766.0
N-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025011512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025011612,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.7440000000001
N-Biomass_IGCC,2025061500,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,2191.5
N-Biomass_IGCC,2025061512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,2191.5
N-Biomass_IGCC,2035011512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2030,8766.0
N-Biomass_IGCC_CCS,2035011512,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2030,8766.0
N-Residential_PV,2025011500,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.7440000000001
N-Residential_PV,2025011512,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.7440000000001
N-Residential_PV,2025011600,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.7440000000001
N-Residential_PV,2025011612,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.7440000000001
N-Residential_PV,2025061500,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,2191.5
N-Residential_PV,2025061512,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,2191.5
N-Residential_PV,2035011512,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2030,8766.0
N-Commercial_PV,2025011500,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.7440000000001
N-Commercial_PV,2025011512,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.7440000000001
N-Commercial_PV,2025011600,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.7440000000001
N-Commercial_PV,2025011612,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.7440000000001
N-Commercial_PV,2025061500,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,2191.5
N-Commercial_PV,2025061512,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,2191.5
N-Commercial_PV,2035011512,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2030,8766.0
N-Central_PV-1,2025011500,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-1,2025011512,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-1,2025011600,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-1,2025011612,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-1,2025061500,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,2191.5
N-Central_PV-1,2025061512,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,2191.5
N-Central_PV-1,2035011512,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2030,8766.0
N-Central_PV-2,2025011500,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-2,2025011512,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-2,2025011600,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-2,2025011612,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.7440000000001
N-Central_PV-2,2025061500,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,2191.5
N-Central_PV-2,2025061512,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,2191.5
N-Central_PV-2,2035011512,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2030,8766.0
N-Wind-1,2025011500,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.7440000000001
N-Wind-1,2025011512,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.7440000000001
N-Wind-1,2025011600,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.7440000000001
N-Wind-1,2025011612,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.7440000000001
N-Wind-1,2025061500,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,2191.5
N-Wind-1,2025061512,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,2191.5
N-Wind-1,2035011512,0.0,3.1808,27.8828928,0.0,N-Wind-1,Wind,North,Wind,2030,8766.0
N-Wind-2,2025011500,0.0,-1.34930650647013e-15,-1.4784945086256062e-15,0.0,N-Wind-2,Wind,North,Wind,2020,1095.7440000000001
N-Wind-2,2025011512,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.7440000000001
N-Wind-2,2025011600,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.7440000000001
N-Wind-2,2025011612,0.0,3.27515792264421e-15,3.588734642789857e-15,0.0,N-Wind-2,Wind,North,Wind,2020,1095.7440000000001
N-Wind-2,2025061500,0.0,-1.55431223447522e-15,-3.4062752618524445e-15,0.0,N-Wind-2,Wind,North,Wind,2020,2191.5
N-Wind-2,2025061512,0.0,1.11022302462516e-15,2.4330537584660384e-15,0.0,N-Wind-2,Wind,North,Wind,2020,2191.5
N-Wind-2,2035011512,0.0,0.86478,7.58066148,0.0,N-Wind-2,Wind,North,Wind,2030,8766.0
C-Coal_IGCC,2025011500,1.8638886917372603e-12,2.24000727990344e-15,2.454474536910515e-15,1.1942884022717707e-11,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.7440000000001
C-Coal_IGCC,2025011512,1.8638886917372603e-12,2.24000727990344e-15,2.454474536910515e-15,1.1942884022717707e-11,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.7440000000001
C-Coal_IGCC,2025011600,1.8638886917372603e-12,2.24000727990344e-15,2.454474536910515e-15,1.1942884022717707e-11,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.7440000000001
C-Coal_IGCC,2025011612,1.8638886917372603e-12,2.24000727990344e-15,2.454474536910515e-15,1.1942884022717707e-11,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.7440000000001
C-Coal_IGCC,2025061500,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,2191.5
C-Coal_IGCC,2025061512,3.727797795782779e-12,2.24000727990344e-15,4.908975953908389e-15,2.3885898837489278e-11,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,2191.5
C-Coal_IGCC,2035011512,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2030,8766.0
C-Coal_ST,2025011500,1682.3927146291207,1.692,1.853998848,6674.395852800001,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.7440000000001
C-Coal_ST,2025011512,1682.3927146291207,1.692,1.853998848,6674.395852800001,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.7440000000001
