PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,8.215880616926945,80706921.61001402,11523236.92681251,1402556.52
2030,6.79323961174924,54026166.81927705,12564952.6101213,1849626.0
