load_zone,period,AES,Airport_DSG,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CC_152,CIP_CT,CentralTrackingPV,FlatDistPV,H-Power,Honolulu_8,Honolulu_9,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OnshoreWind,SlopedDistPV,Waiau_10,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,batteries,fuel cells
Oahu,2020,180.0,8.0,0.0,0.0,180.0,80.8716925035,150.586,0.0,203.8816411554,180.264,73.0,53.4,54.4,48.84,82.1,0.0,86.1,0.0,134.3,134.4,90.0,90.0,28.0,586.5,263.736,49.9,0.0,0.0,0.0,0.0,0,0.0,0
Oahu,2025,180.0,8.0,44.3369224251,0.0,180.0,84.49034047640001,150.586,113.0,432.55456233314,180.264,73.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,586.5,263.736,49.9,0.0,0.0,0.0,52.9,0,0.0,0
Oahu,2030,180.0,8.0,44.3369224251,37.4646744654,180.0,101.72049547190001,150.586,113.0,483.19932243254,180.264,73.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,0.0,90.0,90.0,28.0,586.8949734835539,263.736,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Oahu,2035,180.0,8.0,44.3369224251,186.75172359840002,150.460574431,20.8488029684,150.586,0.0,747.88799133614,180.264,73.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,586.8949734835539,263.736,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Oahu,2040,180.0,0.0,0.0,388.23106141339997,150.460574431,17.2301549955,150.586,0.0,1320.5932698393399,47.6898914912,73.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,636.4206853100541,3.69482222595e-13,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Oahu,2045,180.0,0.0,0.0,1082.589640353,150.460574431,0.0,150.586,0.0,1255.0737392615401,1287.2082442572,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.156724731854,258.6014037550004,0.0,0.0,0.0,0.0,0.0,0,0.0,0
