load_zone,period,timepoint_label,Biodiesel,Coal,Diesel,LNG,LSFO,Pellet-Biomass,MSW,SUN,WND,Battery,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CentralTrackingPV,FlatDistPV,H-Power,OffshoreWind,OnshoreWind,SlopedDistPV,curtail_MSW,curtail_SUN,curtail_WND,curtail_Battery,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Oahu,2020,2020-02-23-02:00,0.0,180.0,0.0,0.0,296.985,0.0,42.8,0.0,226.63945750000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,226.63945750000005,0.0,0.0,0.0,-1.4210854715202004e-14,260.8716925035,746.4244575,0.0,502.066845136,0.0,0.0,244.357612364,589.036989381,306.175886005,0.0,typical
Oahu,2020,2020-02-23-04:00,0.0,180.0,0.0,0.0,320.215752319,0.0,42.8,0.0,96.48153538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,96.48153538,0.0,0.0,0.0,-8.881784197001252e-16,260.8716925035,639.497287699,0.0,518.144561644,0.0,0.0,121.352726055,444.4091224037,270.421833605,0.0,typical
Oahu,2020,2020-02-23-06:00,0.0,180.0,0.0,0.0,339.5515667323,0.0,42.8,0.0,20.479123305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,20.479123305,0.0,0.0,0.0,1.7763568394002505e-15,260.8716925035,582.8306900373001,0.0,647.589655597,0.0,0.0,-64.7589655597,279.9061257712,200.479123305,0.0,typical
Oahu,2020,2020-02-23-08:00,0.0,180.0,0.0,0.0,330.586,0.0,42.8,285.17780226652104,26.1056565425,0.0,0.0,0.0,0.0,0.0,137.984136942,60.847401884970004,42.8,0.0,26.1056565425,86.346263439551,0.0,-2.2176394054440607e-10,-3.552713678800501e-15,260.8716925035,864.669458809021,0.0,853.055124018,0.0,96.9198471927,-85.3055124018,357.7915396962,333.7568419335463,0.0,typical
Oahu,2020,2020-02-23-10:00,0.0,180.0,0.0,0.0,240.586,0.0,42.8,452.2733353687901,22.57071801,0.0,0.0,0.0,0.0,0.0,162.004284883,124.227048333,42.8,0.0,22.57071801,166.04200215279,0.0,8.9325880026081e-11,4.440892098500626e-16,260.8716925035,938.2300533787899,0.0,937.926307282,0.0,0.0,0.303746097053,354.9680693288,340.4976963749946,0.0,typical
Oahu,2020,2020-02-23-12:00,0.0,180.0,0.0,0.0,206.985,0.0,42.8,505.8186725373,27.25767685,0.0,0.0,0.0,0.0,0.0,187.5490943815,134.0532046952,42.8,0.0,27.25767685,184.2163734606,0.0,-3.524505132190825e-10,0.0,260.8716925035,962.8613493872998,0.0,941.16238403,0.0,0.0,21.6989653571,410.28789626360003,345.18465521499456,0.0,typical
Oahu,2020,2020-02-23-14:00,0.0,180.0,0.0,0.0,240.586,0.0,42.8,448.77088434139995,7.7461731075,0.0,0.0,0.0,0.0,0.0,191.2318896361,109.0274367751,42.8,0.0,7.7461731075,148.51155793019998,0.0,-5.565041760746681e-10,3.3306690738754696e-16,260.8716925035,919.9030574489001,0.0,936.325368481,0.0,21.18199821,-37.6043092424,338.08191831920004,325.6731514724945,0.0,typical
Oahu,2020,2020-02-23-16:00,0.0,180.0,0.0,0.0,311.7103721028,0.0,42.8,313.15273847662,9.314425189000001,0.0,0.0,0.0,0.0,0.0,174.6852044461,59.7023033256,42.8,0.0,9.314425189000001,78.76523070491999,0.0,-1.3887380134747218e-10,-6.938893903907228e-18,260.8716925035,856.9775357684199,0.0,952.197261965,0.0,0.0,-95.2197261965,340.3273204007,317.55401421420953,0.0,typical
Oahu,2020,2020-02-23-18:00,0.0,180.0,74.54088840579567,0.0,603.2370241793044,0.0,42.8,0.0,9.401208503000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,9.401208503000001,0.0,0.0,0.0,0.0,260.8716925035,909.9791210881,0.0,1011.08791232,0.0,0.0,-101.108791232,282.51977991850003,189.401208503,0.0,typical
Oahu,2020,2020-02-23-20:00,0.0,180.0,0.0,0.0,558.1814928800001,0.0,42.8,0.0,50.195069450000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,50.195069450000005,0.0,0.0,0.0,-8.881784197001252e-16,260.8716925035,831.1765623300001,0.0,923.5295137,0.0,0.0,-92.35295137,319.6561996235,228.19258515,0.0,typical
