component,npv_cost
TotalGenFixedCosts,10607229202.1835
FuelCostsPerPeriod,5391540581.558569
StorageEnergyInstallCosts,0
RFM_Fixed_Costs_Annual,0
AESDeactivateFixedCost,0
GenVariableOMCostsInTP,298356846.7442267
Total_StartupGenCapacity_OM_Costs,0
