GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Oahu_CentralTrackingPV_PV_04_B_17_20,2035,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_B_17_20,2040,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_B_17_20,2045,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_C_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_C_00_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_C_00_15,2030,CentralTrackingPV,Oahu,SUN,3.86926,0,371040,36073.9
Oahu_CentralTrackingPV_PV_04_C_00_15,2035,CentralTrackingPV,Oahu,SUN,3.86926,0,371040,36073.9
Oahu_CentralTrackingPV_PV_04_C_00_15,2040,CentralTrackingPV,Oahu,SUN,3.86926,0,371040,36073.9
Oahu_CentralTrackingPV_PV_04_C_00_15,2045,CentralTrackingPV,Oahu,SUN,3.86926,0,371040,36073.9
Oahu_CentralTrackingPV_PV_04_C_15_17,2020,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2025,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2030,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2035,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_C_15_17,2040,CentralTrackingPV,Oahu,SUN,0.00974292,0,891.858,82.7664
Oahu_CentralTrackingPV_PV_04_C_15_17,2045,CentralTrackingPV,Oahu,SUN,0.00974292,0,891.858,82.7664
Oahu_CentralTrackingPV_PV_04_X_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_X_00_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_X_00_15,2030,CentralTrackingPV,Oahu,SUN,44.0822,0,4.22793e+06,410988
Oahu_CentralTrackingPV_PV_04_X_00_15,2035,CentralTrackingPV,Oahu,SUN,44.0822,0,4.22793e+06,410988
Oahu_CentralTrackingPV_PV_04_X_00_15,2040,CentralTrackingPV,Oahu,SUN,44.0822,0,4.22793e+06,410988
Oahu_CentralTrackingPV_PV_04_X_00_15,2045,CentralTrackingPV,Oahu,SUN,44.0822,0,4.22793e+06,410988
Oahu_CentralTrackingPV_PV_04_X_15_17,2020,CentralTrackingPV,Oahu,SUN,6,0,2.4856e+06,134760
Oahu_CentralTrackingPV_PV_04_X_15_17,2025,CentralTrackingPV,Oahu,SUN,6,0,2.4856e+06,134760
Oahu_CentralTrackingPV_PV_04_X_15_17,2030,CentralTrackingPV,Oahu,SUN,6,0,2.4856e+06,134760
Oahu_CentralTrackingPV_PV_04_X_15_17,2035,CentralTrackingPV,Oahu,SUN,6,0,2.4856e+06,134760
Oahu_CentralTrackingPV_PV_04_X_15_17,2040,CentralTrackingPV,Oahu,SUN,6.50307,0,2.53166e+06,139034
Oahu_CentralTrackingPV_PV_04_X_15_17,2045,CentralTrackingPV,Oahu,SUN,0.503068,0,46053.2,4273.58
Oahu_CentralTrackingPV_PV_04_X_17_20,2020,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2025,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2030,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2035,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2040,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_04_X_17_20,2045,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_05_C_00_15,2020,CentralTrackingPV,Oahu,SUN,20,0,3.0846e+06,301760
Oahu_CentralTrackingPV_PV_05_C_00_15,2025,CentralTrackingPV,Oahu,SUN,20,0,3.0846e+06,301760
Oahu_CentralTrackingPV_PV_05_C_00_15,2030,CentralTrackingPV,Oahu,SUN,20,0,3.0846e+06,301760
Oahu_CentralTrackingPV_PV_05_C_00_15,2035,CentralTrackingPV,Oahu,SUN,20,0,3.0846e+06,301760
Oahu_CentralTrackingPV_PV_05_C_00_15,2040,CentralTrackingPV,Oahu,SUN,20,0,3.0846e+06,301760
Oahu_CentralTrackingPV_PV_05_C_00_15,2045,CentralTrackingPV,Oahu,SUN,20,0,3.0846e+06,301760
Oahu_CentralTrackingPV_PV_05_X_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_05_X_00_15,2025,CentralTrackingPV,Oahu,SUN,33.4883,0,4.18108e+06,408746
Oahu_CentralTrackingPV_PV_05_X_00_15,2030,CentralTrackingPV,Oahu,SUN,33.4883,0,4.18108e+06,408746
Oahu_CentralTrackingPV_PV_05_X_00_15,2035,CentralTrackingPV,Oahu,SUN,33.4883,0,4.18108e+06,408746
Oahu_CentralTrackingPV_PV_05_X_00_15,2040,CentralTrackingPV,Oahu,SUN,33.4883,0,4.18108e+06,408746
Oahu_CentralTrackingPV_PV_05_X_00_15,2045,CentralTrackingPV,Oahu,SUN,33.4883,0,4.18108e+06,408746
Oahu_CentralTrackingPV_PV_06_C_00_15,2020,CentralTrackingPV,Oahu,SUN,1,0,409976,22460
Oahu_CentralTrackingPV_PV_06_C_00_15,2025,CentralTrackingPV,Oahu,SUN,1,0,409976,22460
Oahu_CentralTrackingPV_PV_06_C_00_15,2030,CentralTrackingPV,Oahu,SUN,1.21074,0,430013,24424.8
Oahu_CentralTrackingPV_PV_06_C_00_15,2035,CentralTrackingPV,Oahu,SUN,1.21074,0,430013,24424.8
Oahu_CentralTrackingPV_PV_06_C_00_15,2040,CentralTrackingPV,Oahu,SUN,1.21074,0,430013,24424.8
Oahu_CentralTrackingPV_PV_06_C_00_15,2045,CentralTrackingPV,Oahu,SUN,1.21074,0,102475,10045.8
Oahu_CentralTrackingPV_PV_06_X_00_15,2020,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2025,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2030,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2035,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2040,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_00_15,2045,CentralTrackingPV,Oahu,SUN,3.33148,0,274032,26921.5
Oahu_CentralTrackingPV_PV_06_X_15_17,2020,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2025,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2030,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2035,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2040,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_15_17,2045,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2020,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2025,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2030,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2035,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2040,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_06_X_17_20,2045,CentralTrackingPV,Oahu,SUN,0,0,0,0
Oahu_CentralTrackingPV_PV_07_B_00_15,2020,CentralTrackingPV,Oahu,SUN,6.5,0,1.93919e+06,145990
Oahu_CentralTrackingPV_PV_07_B_00_15,2025,CentralTrackingPV,Oahu,SUN,6.5,0,1.93919e+06,145990
Oahu_CentralTrackingPV_PV_07_B_00_15,2030,CentralTrackingPV,Oahu,SUN,6.5,0,1.93919e+06,145990
Oahu_CentralTrackingPV_PV_07_B_00_15,2035,CentralTrackingPV,Oahu,SUN,6.5,0,1.93919e+06,145990
