ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
Oahu,2007011200,60.17899599565707
Oahu,2007011202,3.173368876742378
Oahu,2007011204,35.44616215228915
Oahu,2007011206,-91.31821807843359
Oahu,2007011208,15.707813160960233
Oahu,2007011210,87.40706117796147
Oahu,2007011212,91.66229526852035
Oahu,2007011214,71.30798148642076
Oahu,2007011216,9.909787180158887
Oahu,2007011218,-107.06695612135576
Oahu,2007011220,-96.21345943727755
Oahu,2007011222,-80.19483166164346
Oahu,2007011900,42.88729540638545
Oahu,2007011902,93.03582338697558
Oahu,2007011904,64.32760258180868
Oahu,2007011906,-88.51074442206237
Oahu,2007011908,0.5048168584390822
Oahu,2007011910,136.89732367935108
Oahu,2007011912,64.58291365996205
Oahu,2007011914,64.80863017550989
Oahu,2007011916,-99.7127194200253
Oahu,2007011918,-105.16428520875057
Oahu,2007011920,-94.85160205037482
Oahu,2007011922,-78.80505464721881
Oahu,2007021200,-35.93466291360273
Oahu,2007021202,-15.929537277255223
Oahu,2007021204,-39.36281478196717
Oahu,2007021206,-84.27833570179445
Oahu,2007021208,60.32746378990266
Oahu,2007021210,185.86535682618242
Oahu,2007021212,181.39362588929873
Oahu,2007021214,123.26972795810595
Oahu,2007021216,-98.34775985228683
Oahu,2007021218,-106.97389069628267
Oahu,2007021220,-95.60646605374535
Oahu,2007021222,-74.42270718655537
Oahu,2007050200,-37.31059803630586
Oahu,2007050202,28.86018663972247
Oahu,2007050204,-3.717549621807328
Oahu,2007050206,-89.20253074843892
Oahu,2007050208,-15.678518172440146
Oahu,2007050210,220.28523822869033
Oahu,2007050212,164.72219777989503
Oahu,2007050214,10.072116259746958
Oahu,2007050216,7.342205502426429
Oahu,2007050218,-106.19420924622598
Oahu,2007050220,-99.93297425936494
Oahu,2007050222,-79.24556432589806
Oahu,2007092200,-55.37532431594439
Oahu,2007092202,8.149532914597536
Oahu,2007092204,-43.60903321494019
Oahu,2007092206,-55.438787347050706
Oahu,2007092208,76.02252097627591
Oahu,2007092210,99.43998520021341
Oahu,2007092212,159.8679914135286
Oahu,2007092214,81.11250036898625
Oahu,2007092216,18.654020985476592
Oahu,2007092218,-106.48788236534547
Oahu,2007092220,-97.45226365102809
Oahu,2007092222,-84.88326096476948
Oahu,2007102700,19.823552445873666
Oahu,2007102702,-30.225641806115995
Oahu,2007102704,-65.16786769317694
Oahu,2007102706,-61.732330616826786
Oahu,2007102708,118.0030643749911
Oahu,2007102710,140.0907527823417
Oahu,2007102712,79.0222461747903
Oahu,2007102714,73.5411499645594
Oahu,2007102716,-30.319851900389306
Oahu,2007102718,-104.7248095903499
Oahu,2007102720,-95.28519887182524
Oahu,2007102722,-43.02506526387198
Oahu,2007121500,-22.238574307028088
Oahu,2007121502,56.45651324809431
Oahu,2007121504,-17.80917500619843
Oahu,2007121506,-21.363615662727867
Oahu,2007121508,2.4842310887740098
Oahu,2007121510,6.156326081380701
Oahu,2007121512,120.04634224266249
Oahu,2007121514,139.79520805572463
Oahu,2007121516,-33.11006268359025
Oahu,2007121518,-101.01149912993408
Oahu,2007121520,-92.80519675904567
Oahu,2007121522,-36.60049716811179
Oahu,2008022000,-8.788806121828031
Oahu,2008022002,83.65343477956003
Oahu,2008022004,2.968452645963276
Oahu,2008022006,-87.49161038107597
Oahu,2008022008,-24.704222620136218
Oahu,2008022010,180.32355562470588
Oahu,2008022012,194.65661507335506
Oahu,2008022014,26.16023143676884
Oahu,2008022016,-89.8906772958879
Oahu,2008022018,-110.04103386413028
Oahu,2008022020,-98.03550902167356
Oahu,2008022022,-68.81043025562114
Oahu,2008041000,6.010460021660056
Oahu,2008041002,31.192521159174575
Oahu,2008041004,-0.8353981977615701
Oahu,2008041006,-88.37760716030728
Oahu,2008041008,41.803445914489636
Oahu,2008041010,57.67630954538132
Oahu,2008041012,158.299875990052
Oahu,2008041014,69.79409311298721
Oahu,2008041016,-28.32465739890177
Oahu,2008041018,-109.49762250620176
Oahu,2008041020,-100.29399535709591
Oahu,2008041022,-37.44742512347649
Oahu,2008061700,45.35918188892542
Oahu,2008061702,85.36643654098312
Oahu,2008061704,74.98415948400812
Oahu,2008061706,-85.60815382674151
Oahu,2008061708,1.302443977836151
Oahu,2008061710,180.17450235560037
Oahu,2008061712,97.8874990957349
Oahu,2008061714,-5.462177869130543
Oahu,2008061716,-99.5440398059928
Oahu,2008061718,-107.3723041715366
Oahu,2008061720,-104.1494237661146
Oahu,2008061722,-82.93812390357203
Oahu,2008081800,140.9582875226838
Oahu,2008081802,164.39743466485652
Oahu,2008081804,22.645286515764866
Oahu,2008081806,-93.17917273599599
Oahu,2008081808,-29.025235493933753
Oahu,2008081810,-5.689487816719661
Oahu,2008081812,136.5840863061442
Oahu,2008081814,33.28990309446081
Oahu,2008081816,-66.56677610060649
Oahu,2008081818,-111.5058818724594
Oahu,2008081820,-107.49580675288401
Oahu,2008081822,-84.41263733131092
Oahu,2008091000,64.35601396460507
Oahu,2008091002,103.15529693523185
Oahu,2008091004,-2.1927090960304825
Oahu,2008091006,-92.60783905532804
Oahu,2008091008,44.872633024033796
Oahu,2008091010,63.70752301952201
Oahu,2008091012,137.48183547120937
Oahu,2008091014,81.99449185117341
Oahu,2008091016,-101.41883992281684
Oahu,2008091018,-113.63871775555441
Oahu,2008091020,-104.23533860531278
Oahu,2008091022,-81.4743498307329
Oahu,2008112200,77.99663508856788
Oahu,2008112202,56.48317295930606
Oahu,2008112204,62.91535104277894
Oahu,2008112206,-58.86512458748385
Oahu,2008112208,-50.89230451312569
