EVSpinningReserveUp_index_1	EVSpinningReserveUp_index_2	EVSpinningReserveUp_index_3	EVSpinningReserveUp
contingency	system_wide_balancing_area	2030082304	0.0
contingency	system_wide_balancing_area	2030082306	16.1433375431
contingency	system_wide_balancing_area	2030082308	0.0
contingency	system_wide_balancing_area	2030082310	0.0
contingency	system_wide_balancing_area	2030082312	0.0
contingency	system_wide_balancing_area	2030082314	0.0
contingency	system_wide_balancing_area	2030082316	0.0
contingency	system_wide_balancing_area	2030082318	0.0
contingency	system_wide_balancing_area	2030082320	0.0
contingency	system_wide_balancing_area	2030082322	0.0
contingency	system_wide_balancing_area	2030092300	0.0
contingency	system_wide_balancing_area	2030092302	0.0
contingency	system_wide_balancing_area	2030092304	0.0
contingency	system_wide_balancing_area	2030092306	0.0
contingency	system_wide_balancing_area	2030092308	0.0
contingency	system_wide_balancing_area	2030092310	0.0
contingency	system_wide_balancing_area	2030092312	185.254361236
contingency	system_wide_balancing_area	2030092314	0.0
contingency	system_wide_balancing_area	2030092316	180.960732361
contingency	system_wide_balancing_area	2030092318	0.0
contingency	system_wide_balancing_area	2030092320	0.0
contingency	system_wide_balancing_area	2030092322	0.0
contingency	system_wide_balancing_area	2030102300	0.0
contingency	system_wide_balancing_area	2030102302	0.0
contingency	system_wide_balancing_area	2030102304	0.0
contingency	system_wide_balancing_area	2030102306	0.0
contingency	system_wide_balancing_area	2030102308	0.0
contingency	system_wide_balancing_area	2030102310	0.0
contingency	system_wide_balancing_area	2030102312	0.0
contingency	system_wide_balancing_area	2030102314	273.371155364
contingency	system_wide_balancing_area	2030102316	0.0
contingency	system_wide_balancing_area	2030102318	0.0
contingency	system_wide_balancing_area	2030102320	0.0
contingency	system_wide_balancing_area	2030102322	0.0
contingency	system_wide_balancing_area	2030112300	0.0
contingency	system_wide_balancing_area	2030112302	0.0
contingency	system_wide_balancing_area	2030112304	0.0
contingency	system_wide_balancing_area	2030112306	0.0
contingency	system_wide_balancing_area	2030112308	0.0
contingency	system_wide_balancing_area	2030112310	0.0
contingency	system_wide_balancing_area	2030112312	224.136342967
contingency	system_wide_balancing_area	2030112314	0.0
contingency	system_wide_balancing_area	2030112316	0.0
contingency	system_wide_balancing_area	2030112318	0.0
contingency	system_wide_balancing_area	2030112320	0.0
contingency	system_wide_balancing_area	2030112322	0.0
contingency	system_wide_balancing_area	2030122300	0.0
contingency	system_wide_balancing_area	2030122302	0.0
contingency	system_wide_balancing_area	2030122304	0.0
contingency	system_wide_balancing_area	2030122306	0.0
contingency	system_wide_balancing_area	2030122308	0.0
contingency	system_wide_balancing_area	2030122310	0.0
contingency	system_wide_balancing_area	2030122312	0.0
contingency	system_wide_balancing_area	2030122314	0.0
contingency	system_wide_balancing_area	2030122316	0.0
contingency	system_wide_balancing_area	2030122318	0.0
contingency	system_wide_balancing_area	2030122320	0.0
contingency	system_wide_balancing_area	2030122322	74.7128740877
contingency	system_wide_balancing_area	2035012300	32.2298542312
contingency	system_wide_balancing_area	2035012302	0.0
contingency	system_wide_balancing_area	2035012304	24.9378077071
contingency	system_wide_balancing_area	2035012306	0.0
contingency	system_wide_balancing_area	2035012308	0.0
contingency	system_wide_balancing_area	2035012310	444.028555191
contingency	system_wide_balancing_area	2035012312	0.0
contingency	system_wide_balancing_area	2035012314	0.0
contingency	system_wide_balancing_area	2035012316	0.0
contingency	system_wide_balancing_area	2035012318	0.0
contingency	system_wide_balancing_area	2035012320	0.0
contingency	system_wide_balancing_area	2035012322	0.0
contingency	system_wide_balancing_area	2035022300	0.0
contingency	system_wide_balancing_area	2035022302	0.0
contingency	system_wide_balancing_area	2035022304	0.0
contingency	system_wide_balancing_area	2035022306	0.0
contingency	system_wide_balancing_area	2035022308	158.581533784
contingency	system_wide_balancing_area	2035022310	57.0462539556
contingency	system_wide_balancing_area	2035022312	0.0
contingency	system_wide_balancing_area	2035022314	480.11873461
contingency	system_wide_balancing_area	2035022316	0.0
contingency	system_wide_balancing_area	2035022318	0.0
contingency	system_wide_balancing_area	2035022320	0.0
contingency	system_wide_balancing_area	2035022322	0.0
contingency	system_wide_balancing_area	2035032300	0.0
contingency	system_wide_balancing_area	2035032302	0.0
contingency	system_wide_balancing_area	2035032304	0.0
contingency	system_wide_balancing_area	2035032306	0.0
contingency	system_wide_balancing_area	2035032308	0.0
contingency	system_wide_balancing_area	2035032310	155.491199752
contingency	system_wide_balancing_area	2035032312	0.0
contingency	system_wide_balancing_area	2035032314	0.0
contingency	system_wide_balancing_area	2035032316	268.193851586
contingency	system_wide_balancing_area	2035032318	0.0
contingency	system_wide_balancing_area	2035032320	0.0
contingency	system_wide_balancing_area	2035032322	0.0
contingency	system_wide_balancing_area	2035042300	0.0
contingency	system_wide_balancing_area	2035042302	0.0
contingency	system_wide_balancing_area	2035042304	0.0
contingency	system_wide_balancing_area	2035042306	0.0
contingency	system_wide_balancing_area	2035042308	0.0
contingency	system_wide_balancing_area	2035042310	0.0
contingency	system_wide_balancing_area	2035042312	310.842429826
contingency	system_wide_balancing_area	2035042314	0.0
contingency	system_wide_balancing_area	2035042316	0.0
contingency	system_wide_balancing_area	2035042318	0.0
contingency	system_wide_balancing_area	2035042320	0.0
contingency	system_wide_balancing_area	2035042322	0.0
contingency	system_wide_balancing_area	2035052300	0.0
contingency	system_wide_balancing_area	2035052302	0.0
contingency	system_wide_balancing_area	2035052304	0.0
contingency	system_wide_balancing_area	2035052306	0.0
contingency	system_wide_balancing_area	2035052308	0.0
contingency	system_wide_balancing_area	2035052310	0.0
contingency	system_wide_balancing_area	2035052312	392.545046668
contingency	system_wide_balancing_area	2035052314	324.827500941
contingency	system_wide_balancing_area	2035052316	0.0
contingency	system_wide_balancing_area	2035052318	0.0
contingency	system_wide_balancing_area	2035052320	0.0
contingency	system_wide_balancing_area	2035052322	0.0
contingency	system_wide_balancing_area	2035062300	0.0
contingency	system_wide_balancing_area	2035062302	0.0
contingency	system_wide_balancing_area	2035062304	0.0
contingency	system_wide_balancing_area	2035062306	0.0
contingency	system_wide_balancing_area	2035062308	0.0
contingency	system_wide_balancing_area	2035062310	116.189102432
contingency	system_wide_balancing_area	2035062312	0.0
contingency	system_wide_balancing_area	2035062314	374.328472591
contingency	system_wide_balancing_area	2035062316	94.1107014492
contingency	system_wide_balancing_area	2035062318	0.0
contingency	system_wide_balancing_area	2035062320	0.0
contingency	system_wide_balancing_area	2035062322	0.0
contingency	system_wide_balancing_area	2035072300	0.0
contingency	system_wide_balancing_area	2035072302	0.0
contingency	system_wide_balancing_area	2035072304	0.0
contingency	system_wide_balancing_area	2035072306	0.0
contingency	system_wide_balancing_area	2035072308	0.0
contingency	system_wide_balancing_area	2035072310	351.919328314
contingency	system_wide_balancing_area	2035072312	0.0
contingency	system_wide_balancing_area	2035072314	106.644044432
contingency	system_wide_balancing_area	2035072316	0.0
contingency	system_wide_balancing_area	2035072318	0.0
contingency	system_wide_balancing_area	2035072320	0.0
contingency	system_wide_balancing_area	2035072322	0.0
contingency	system_wide_balancing_area	2035082300	0.0
contingency	system_wide_balancing_area	2035082302	0.0
contingency	system_wide_balancing_area	2035082304	0.0
contingency	system_wide_balancing_area	2035082306	0.0
contingency	system_wide_balancing_area	2035082308	0.0
contingency	system_wide_balancing_area	2035082310	0.0
contingency	system_wide_balancing_area	2035082312	0.0
contingency	system_wide_balancing_area	2035082314	271.344257254
contingency	system_wide_balancing_area	2035082316	166.017367207
contingency	system_wide_balancing_area	2035082318	0.0
contingency	system_wide_balancing_area	2035082320	0.0
contingency	system_wide_balancing_area	2035082322	0.0
contingency	system_wide_balancing_area	2035092300	0.0
contingency	system_wide_balancing_area	2035092302	0.0
contingency	system_wide_balancing_area	2035092304	0.0
contingency	system_wide_balancing_area	2035092306	0.0
contingency	system_wide_balancing_area	2035092308	0.0
contingency	system_wide_balancing_area	2035092310	0.0
contingency	system_wide_balancing_area	2035092312	0.0
contingency	system_wide_balancing_area	2035092314	138.199399363
