PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,4023931865.5373664,988921470.3869363,24.996179826911142,39562904.30117059
2025,3768833575.605974,1073752705.744128,26.130643743078295,41091705.06098047
2030,3222845892.8787274,1064444381.0710353,25.28374699051595,42099945.92456226
2035,2844969993.533963,1089299359.2327278,25.425970323948945,42841997.58570107
2040,2539918383.790277,1127393283.111222,25.643283965267866,43964465.88659244
2045,2079592341.4459069,1070089282.5890037,23.79411939260855,44972846.64888326
