DemandResponseSpinningReserveDown_index_1	DemandResponseSpinningReserveDown_index_2	DemandResponseSpinningReserveDown_index_3	DemandResponseSpinningReserveDown
contingency	system_wide_balancing_area	2020082322	729.14592263
contingency	system_wide_balancing_area	2020092300	526.355655759
contingency	system_wide_balancing_area	2020092302	282.795270597
contingency	system_wide_balancing_area	2020092304	366.565719031
contingency	system_wide_balancing_area	2020092306	803.626009435
contingency	system_wide_balancing_area	2020092308	805.032863459
contingency	system_wide_balancing_area	2020092310	932.997281242
contingency	system_wide_balancing_area	2020092312	812.775826941
contingency	system_wide_balancing_area	2020092314	845.149649633
contingency	system_wide_balancing_area	2020092316	831.350783413
contingency	system_wide_balancing_area	2020092318	1024.49344018
contingency	system_wide_balancing_area	2020092320	898.905381752
contingency	system_wide_balancing_area	2020092322	685.365606615
contingency	system_wide_balancing_area	2020102300	352.074636575
contingency	system_wide_balancing_area	2020102302	326.257212654
contingency	system_wide_balancing_area	2020102304	523.815509075
contingency	system_wide_balancing_area	2020102306	774.552324287
contingency	system_wide_balancing_area	2020102308	674.881769824
contingency	system_wide_balancing_area	2020102310	810.762230272
contingency	system_wide_balancing_area	2020102312	826.391431181
contingency	system_wide_balancing_area	2020102314	756.838790637
contingency	system_wide_balancing_area	2020102316	937.340056072
contingency	system_wide_balancing_area	2020102318	992.136678881
contingency	system_wide_balancing_area	2020102320	871.365130478
contingency	system_wide_balancing_area	2020102322	681.218073769
contingency	system_wide_balancing_area	2020112300	494.817163602
contingency	system_wide_balancing_area	2020112302	388.541383306
contingency	system_wide_balancing_area	2020112304	464.894846785
contingency	system_wide_balancing_area	2020112306	562.412250404
contingency	system_wide_balancing_area	2020112308	586.482105281
contingency	system_wide_balancing_area	2020112310	650.472945447
contingency	system_wide_balancing_area	2020112312	539.385513666
contingency	system_wide_balancing_area	2020112314	589.259584593
contingency	system_wide_balancing_area	2020112316	795.349754082
contingency	system_wide_balancing_area	2020112318	924.768102097
contingency	system_wide_balancing_area	2020112320	783.352814729
contingency	system_wide_balancing_area	2020112322	598.434208494
contingency	system_wide_balancing_area	2020122300	283.029771976
contingency	system_wide_balancing_area	2020122302	190.083486962
contingency	system_wide_balancing_area	2020122304	451.654655958
contingency	system_wide_balancing_area	2020122306	707.039650447
contingency	system_wide_balancing_area	2020122308	838.041021908
contingency	system_wide_balancing_area	2020122310	801.704745185
contingency	system_wide_balancing_area	2020122312	830.825262694
contingency	system_wide_balancing_area	2020122314	710.991836935
contingency	system_wide_balancing_area	2020122316	795.915263421
contingency	system_wide_balancing_area	2020122318	939.958469415
contingency	system_wide_balancing_area	2020122320	845.296628985
contingency	system_wide_balancing_area	2020122322	624.634719118
contingency	system_wide_balancing_area	2025012300	411.290608669
contingency	system_wide_balancing_area	2025012302	354.33141099
contingency	system_wide_balancing_area	2025012304	474.71201551
contingency	system_wide_balancing_area	2025012306	734.754528505
contingency	system_wide_balancing_area	2025012308	663.023363578
contingency	system_wide_balancing_area	2025012310	538.880492237
contingency	system_wide_balancing_area	2025012312	826.553902918
contingency	system_wide_balancing_area	2025012314	580.465207203
contingency	system_wide_balancing_area	2025012316	732.774652507
contingency	system_wide_balancing_area	2025012318	901.021054378
contingency	system_wide_balancing_area	2025012320	798.864196113
contingency	system_wide_balancing_area	2025012322	615.680760047
contingency	system_wide_balancing_area	2025022300	421.87083412
contingency	system_wide_balancing_area	2025022302	257.919968118
contingency	system_wide_balancing_area	2025022304	451.413861952
contingency	system_wide_balancing_area	2025022306	577.04204573
contingency	system_wide_balancing_area	2025022308	587.768428136
contingency	system_wide_balancing_area	2025022310	709.275639516
contingency	system_wide_balancing_area	2025022312	571.387895266
contingency	system_wide_balancing_area	2025022314	806.817606642
contingency	system_wide_balancing_area	2025022316	704.630522495
contingency	system_wide_balancing_area	2025022318	866.313556322
contingency	system_wide_balancing_area	2025022320	796.634679562
contingency	system_wide_balancing_area	2025022322	666.75918918
contingency	system_wide_balancing_area	2025032300	477.052028127
contingency	system_wide_balancing_area	2025032302	411.33951638
