GEN_TPS_1,GEN_TPS_2,ShutdownGenCapacity
Oahu_AES,2020012300,0.0
Oahu_AES,2020012302,2.84217094304e-14
Oahu_AES,2020012304,0.0
Oahu_AES,2020012306,0.0
Oahu_AES,2020012308,0.0
Oahu_AES,2020012310,2.84217094304e-14
Oahu_AES,2020012312,0.0
Oahu_AES,2020012314,0.0
Oahu_AES,2020012316,2.84217094304e-14
Oahu_AES,2020012318,0.0
Oahu_AES,2020012320,0.0
Oahu_AES,2020012322,2.84217094304e-14
Oahu_AES,2020022300,0.0
Oahu_AES,2020022302,0.0
Oahu_AES,2020022304,0.0
Oahu_AES,2020022306,2.84217094304e-14
Oahu_AES,2020022308,0.0
Oahu_AES,2020022310,0.0
Oahu_AES,2020022312,2.84217094304e-14
Oahu_AES,2020022314,0.0
Oahu_AES,2020022316,2.84217094304e-14
Oahu_AES,2020022318,0.0
Oahu_AES,2020022320,2.84217094304e-14
Oahu_AES,2020022322,0.0
Oahu_AES,2020032300,0.0
Oahu_AES,2020032302,2.84217094304e-14
Oahu_AES,2020032304,0.0
Oahu_AES,2020032306,0.0
Oahu_AES,2020032308,0.0
Oahu_AES,2020032310,2.84217094304e-14
Oahu_AES,2020032312,0.0
Oahu_AES,2020032314,0.0
Oahu_AES,2020032316,2.84217094304e-14
Oahu_AES,2020032318,0.0
Oahu_AES,2020032320,0.0
Oahu_AES,2020032322,2.84217094304e-14
Oahu_AES,2020042300,0.0
Oahu_AES,2020042302,0.0
Oahu_AES,2020042304,0.0
Oahu_AES,2020042306,2.84217094304e-14
Oahu_AES,2020042308,0.0
Oahu_AES,2020042310,2.84217094304e-14
Oahu_AES,2020042312,0.0
Oahu_AES,2020042314,0.0
Oahu_AES,2020042316,2.84217094304e-14
Oahu_AES,2020042318,0.0
Oahu_AES,2020042320,0.0
Oahu_AES,2020042322,2.84217094304e-14
Oahu_AES,2020052300,2.84217094304e-14
Oahu_AES,2020052302,0.0
Oahu_AES,2020052304,0.0
Oahu_AES,2020052306,2.84217094304e-14
Oahu_AES,2020052308,0.0
Oahu_AES,2020052310,2.84217094304e-14
Oahu_AES,2020052312,0.0
Oahu_AES,2020052314,2.84217094304e-14
Oahu_AES,2020052316,0.0
Oahu_AES,2020052318,0.0
Oahu_AES,2020052320,2.84217094304e-14
Oahu_AES,2020052322,0.0
Oahu_AES,2020062300,2.84217094304e-14
Oahu_AES,2020062302,0.0
Oahu_AES,2020062304,0.0
Oahu_AES,2020062306,2.84217094304e-14
Oahu_AES,2020062308,0.0
Oahu_AES,2020062310,2.84217094304e-14
Oahu_AES,2020062312,0.0
Oahu_AES,2020062314,0.0
Oahu_AES,2020062316,2.84217094304e-14
Oahu_AES,2020062318,0.0
Oahu_AES,2020062320,2.84217094304e-14
Oahu_AES,2020062322,0.0
Oahu_AES,2020072300,2.84217094304e-14
Oahu_AES,2020072302,0.0
Oahu_AES,2020072304,2.84217094304e-14
Oahu_AES,2020072306,0.0
Oahu_AES,2020072308,0.0
Oahu_AES,2020072310,2.84217094304e-14
Oahu_AES,2020072312,0.0
Oahu_AES,2020072314,0.0
Oahu_AES,2020072316,2.84217094304e-14
Oahu_AES,2020072318,0.0
Oahu_AES,2020072320,2.84217094304e-14
Oahu_AES,2020072322,0.0
Oahu_AES,2020082300,0.0
Oahu_AES,2020082302,0.0
Oahu_AES,2020082304,2.84217094304e-14
Oahu_AES,2020082306,0.0
Oahu_AES,2020082308,2.84217094304e-14
Oahu_AES,2020082310,0.0
Oahu_AES,2020082312,0.0
Oahu_AES,2020082314,2.84217094304e-14
Oahu_AES,2020082316,0.0
Oahu_AES,2020082318,2.84217094304e-14
Oahu_AES,2020082320,0.0
Oahu_AES,2020082322,0.0
Oahu_AES,2020092300,0.0
Oahu_AES,2020092302,2.84217094304e-14
Oahu_AES,2020092304,0.0
Oahu_AES,2020092306,0.0
Oahu_AES,2020092308,0.0
Oahu_AES,2020092310,2.84217094304e-14
Oahu_AES,2020092312,0.0
Oahu_AES,2020092314,2.84217094304e-14
Oahu_AES,2020092316,0.0
Oahu_AES,2020092318,2.84217094304e-14
Oahu_AES,2020092320,0.0
Oahu_AES,2020092322,2.84217094304e-14
Oahu_AES,2020102300,0.0
Oahu_AES,2020102302,2.84217094304e-14
Oahu_AES,2020102304,0.0
Oahu_AES,2020102306,0.0
Oahu_AES,2020102308,2.84217094304e-14
Oahu_AES,2020102310,0.0
Oahu_AES,2020102312,0.0
Oahu_AES,2020102314,2.84217094304e-14
Oahu_AES,2020102316,0.0
Oahu_AES,2020102318,0.0
Oahu_AES,2020102320,0.0
Oahu_AES,2020102322,2.84217094304e-14
Oahu_AES,2020112300,2.84217094304e-14
Oahu_AES,2020112302,0.0
Oahu_AES,2020112304,0.0
Oahu_AES,2020112306,2.84217094304e-14
Oahu_AES,2020112308,0.0
Oahu_AES,2020112310,2.84217094304e-14
Oahu_AES,2020112312,0.0
Oahu_AES,2020112314,2.84217094304e-14
Oahu_AES,2020112316,0.0
Oahu_AES,2020112318,2.84217094304e-14
Oahu_AES,2020112320,0.0
Oahu_AES,2020112322,0.0
Oahu_AES,2020122300,2.84217094304e-14
Oahu_AES,2020122302,0.0
Oahu_AES,2020122304,0.0
Oahu_AES,2020122306,0.0
Oahu_AES,2020122308,2.84217094304e-14
Oahu_AES,2020122310,0.0
Oahu_AES,2020122312,0.0
Oahu_AES,2020122314,2.84217094304e-14
Oahu_AES,2020122316,0.0
Oahu_AES,2020122318,0.0
Oahu_AES,2020122320,2.84217094304e-14
