DemandResponseSpinningReserveUp_index_1	DemandResponseSpinningReserveUp_index_2	DemandResponseSpinningReserveUp_index_3	DemandResponseSpinningReserveUp
contingency	system_wide_balancing_area	2020112316	0.0
contingency	system_wide_balancing_area	2020112318	0.0
contingency	system_wide_balancing_area	2020112320	0.0
contingency	system_wide_balancing_area	2020112322	0.0
contingency	system_wide_balancing_area	2020122300	0.0
contingency	system_wide_balancing_area	2020122302	123.812286681
contingency	system_wide_balancing_area	2020122304	0.0
contingency	system_wide_balancing_area	2020122306	0.0
contingency	system_wide_balancing_area	2020122308	0.0
contingency	system_wide_balancing_area	2020122310	0.0
contingency	system_wide_balancing_area	2020122312	0.0
contingency	system_wide_balancing_area	2020122314	0.0
contingency	system_wide_balancing_area	2020122316	0.0
contingency	system_wide_balancing_area	2020122318	0.0
contingency	system_wide_balancing_area	2020122320	0.0
contingency	system_wide_balancing_area	2020122322	0.0
contingency	system_wide_balancing_area	2025012300	0.0
contingency	system_wide_balancing_area	2025012302	0.0
contingency	system_wide_balancing_area	2025012304	0.0
contingency	system_wide_balancing_area	2025012306	0.0
contingency	system_wide_balancing_area	2025012308	0.0
contingency	system_wide_balancing_area	2025012310	212.831251131
contingency	system_wide_balancing_area	2025012312	0.0
contingency	system_wide_balancing_area	2025012314	116.937751833
contingency	system_wide_balancing_area	2025012316	0.0
contingency	system_wide_balancing_area	2025012318	0.0
contingency	system_wide_balancing_area	2025012320	0.0
contingency	system_wide_balancing_area	2025012322	0.0
contingency	system_wide_balancing_area	2025022300	0.0
contingency	system_wide_balancing_area	2025022302	0.0
contingency	system_wide_balancing_area	2025022304	0.0
contingency	system_wide_balancing_area	2025022306	0.0
contingency	system_wide_balancing_area	2025022308	0.0
contingency	system_wide_balancing_area	2025022310	48.4277414635
contingency	system_wide_balancing_area	2025022312	147.392885463
contingency	system_wide_balancing_area	2025022314	0.0
contingency	system_wide_balancing_area	2025022316	61.289502795
contingency	system_wide_balancing_area	2025022318	0.0
contingency	system_wide_balancing_area	2025022320	0.0
contingency	system_wide_balancing_area	2025022322	0.0
contingency	system_wide_balancing_area	2025032300	0.0
contingency	system_wide_balancing_area	2025032302	0.0
