component	npv_cost
TotalGenFixedCosts	10513924744.30616
FuelCostsPerPeriod	5450144374.667686
StorageEnergyInstallCosts	0
RFM_Fixed_Costs_Annual	0
AESDeactivateFixedCost	0
GenVariableOMCostsInTP	299966718.6579556
Total_StartupGenCapacity_OM_Costs	0
UnservedLoadPenalty	0
UnservedReservePenalty	0
