balancing_area	period	timepoint_label	Biodiesel	Coal	Diesel	LNG	LSFO	Pellet-Biomass	MSW	SUN	WND	Battery	EVSpinningReserveUp	DemandResponseSpinningReserveUp	TotalGenSpinningReservesUp	HawaiiVarGenUpSpinningReserveRequirement	MaximumContingencyUpRequirement	marginal_cost_regulation	marginal_cost_contingency	peak_day
system_wide_balancing_area	2020	2020-01-23-00:00	0	24.499999999979998	0	0	15.000000000000002	0	0.0	0.0	0.0	261.0342657658	0.0	109.935175471	300.53426576578	128.16685508735418	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-02:00	0	0.0	0	0	15.000000000000002	0	0.0	0.0	0.0	261.0342657658	0.0	193.1301919296	276.0342657658	128.16685508735418	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-04:00	0	0.0	0	0	15.000000000000002	0	0.0	0.0	0.0	261.0342657658	0.0	115.62870644	276.0342657658	128.16685508735418	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-06:00	0	0.0	0	0	94.424	0	0.0	0.0	0.0	261.0342657658	11.3771527673	0.0	355.4582657658	128.16685508735418	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-08:00	0	0.0	0	0	94.424	0	0.0	0.0	0.0	261.0342657658	0.0	123.549228209	355.4582657658	240.22565990151568	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-10:00	0	3.8315778467000006	0	0	15.000000000000002	0	0.0	0.0	0.0	261.0342657658	0.0	193.371199272	279.8658436125	259.19766417624606	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-12:00	0	24.5	0	0	15.000000000000002	0	0.0	0.0	0.0	261.0342657658	0.0	178.601779008	300.5342657658	259.19766417624606	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-14:00	0	24.5	0	0	20.406685600000003	0	0.0	0.0	0.0	261.0342657658	106.724692635	6.69773423661	333.9409513658	259.19766417624606	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-16:00	0	24.5	0	0	94.424	0	0.0	0.0	0.0	261.0342657658	0.0	65.0266932986	407.9582657658	246.9733945936798	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-18:00	0.0	0.0	0.0	0	20.6650685364	0	0.0	0.0	0.0	261.0342657658	0.0	0.0	309.6993343022	128.16685508735418	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-20:00	0	0.0	0	0	27.1048434305	0	0.0	0.0	0.0	261.0342657658	0.0	0.0	316.1391091963	128.16685508735418	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-01-23-22:00	0	11.947481935164799	0	0	47.1	0	0.0	0.0	0.0	261.0342657658	0.0	0.0	320.0817477009648	128.16685508735418	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-00:00	0	0.0	0	0	0.0	0	0.0	0.0	0.0	261.0342657658	17.7947912781	206.083081856	261.0342657658	126.8112096123542	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-02:00	0	0.0	0	0	0.0	0	0.0	0.0	0.0	261.0342657658	0.0	330.1501512136	261.0342657658	127.51559403735419	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-04:00	0	0.0	0	0	0.0	0	0.0	0.0	0.0	261.0342657658	0.0	184.408775118	261.0342657658	91.29317882251489	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-06:00	0	0.0	0	0	19.1071586411	0	0.0	0.0	0.0	261.0342657658	0.0	0.0	280.1414244069	20.55184867813692	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-08:00	0	0.0	0	0	2.62908982999	0	0.0	0.0	0.0	261.0342657658	100.307054125	0.0	263.66335559579	146.86067265744364	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-10:00	0	0.0	0	0	0.0	0	0.0	0.0	0.0	261.0342657658	0.0	67.3763654808	289.0342657658	153.89929242141207	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-12:00	0	0.0	0	0	0.0	0	0.0	0.0	0.0	261.0342657658	0.0	120.435998433	289.0342657658	159.1329619167725	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-14:00	0	0.0	0	0	0.0	0	0.0	0.0	0.0	261.0342657658	0.0	47.1604942478	289.0342657658	139.1501746848561	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-16:00	0	0.0	2.719363462564895	0	86.1425654671351	0	0.0	0.0	0.0	261.0342657658	0.0	0.0	377.89619469549996	130.66549656898135	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-18:00	0	0.0	0.0	0	25.248087419049998	0	0.0	0.0	0.0	261.0342657658	0.0	0.0	286.28235318484997	9.401208503000001	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-20:00	0	0.0	0	0	58.78450711959999	0	0.0	0.0	0.0	261.0342657658	0.0	0.0	319.8187728854	48.19258515	180.0	0.0	0.0	typical
system_wide_balancing_area	2020	2020-02-23-22:00	0	0.0	0	0	0.353512547531	0	0.0	0.0	0.0	261.0342657658	0.0	0.0	261.387778313331	60.65769420000001	180.0	0.0	0.0	typical
