gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Kalaeloa_CC1,multiple,2020,433.6795874999996,2602077.525,303136.8187716047
Kalaeloa_CC1,multiple,2025,421.09688389673454,2526581.303380408,293749.6715431772
Kalaeloa_CC1,multiple,2030,263.9555090449973,1583733.054269983,183532.66546042362
Kalaeloa_CC1,multiple,2035,353.08081134241934,2118484.8680545148,248684.0052124351
Kalaeloa_CC1,multiple,2040,285.3706297850627,1712223.7787103746,202010.4009401937
Kalaeloa_CC1,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC2,multiple,2020,560.6839500233078,3364103.700139851,386930.20137503184
Kalaeloa_CC2,multiple,2025,459.6967389582905,2758180.4337497447,320268.9455511587
Kalaeloa_CC2,multiple,2030,571.6786510659634,3430071.9063957823,396030.6912390169
Kalaeloa_CC2,multiple,2035,421.8116038566135,2530869.6231396813,297328.50635532674
Kalaeloa_CC2,multiple,2040,419.78903269762543,2518734.196185751,292304.52997648285
Kalaeloa_CC2,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC3,multiple,2020,36.171213189124174,217027.27913474504,24682.562233167922
Kalaeloa_CC3,multiple,2025,17.55332445709157,105319.94674254945,11984.226679436875
Kalaeloa_CC3,multiple,2030,18.58132471365956,111487.94828195739,12679.16867892825
Kalaeloa_CC3,multiple,2035,9.334497842335079,56006.98705401048,6374.9789375639875
Kalaeloa_CC3,multiple,2040,0.0,0.0,2.87780475
Kalaeloa_CC3,multiple,2045,0.0,0.0,0.0
OffshoreWind,WND,2020,0.0,0.0,0.0
OffshoreWind,WND,2025,0.0,0.0,0.0
OffshoreWind,WND,2030,0.0,0.0,0.0
OffshoreWind,WND,2035,0.0,0.0,0.0
OffshoreWind,WND,2040,0.0,0.0,0.0
OffshoreWind,WND,2045,0.0,0.0,0.0
OnshoreWind,WND,2020,1920.3709373447168,0.0,0.0
OnshoreWind,WND,2025,1904.1087505803412,0.0,0.0
OnshoreWind,WND,2030,1916.721418958417,0.0,0.0
OnshoreWind,WND,2035,1910.2874592142293,0.0,0.0
OnshoreWind,WND,2040,2021.7806944972817,0.0,0.0
OnshoreWind,WND,2045,1922.711874983461,0.0,0.0
SlopedDistPV,SUN,2020,504.74960995235966,0.0,0.0
SlopedDistPV,SUN,2025,489.80562314779655,0.0,0.0
SlopedDistPV,SUN,2030,497.433664184427,0.0,0.0
SlopedDistPV,SUN,2035,497.5823250393568,0.0,0.0
SlopedDistPV,SUN,2040,5.74258263647285e-13,0.0,0.0
SlopedDistPV,SUN,2045,490.7398347778464,0.0,0.0
Waiau_10,multiple,2020,2.7049500804330497,9616.630769835818,2613.360763300518
Waiau_10,multiple,2025,9.166149877822324,32587.46976279909,10229.889440222556
Waiau_10,multiple,2030,0.0,0.0,0.0
Waiau_10,multiple,2035,0.0,0.0,0.0
Waiau_10,multiple,2040,0.0,0.0,0.0
Waiau_10,multiple,2045,0.0,0.0,0.0
Waiau_6,multiple,2020,0.0,0.0,0.0
Waiau_7,multiple,2020,0.0,0.0,0.0
Waiau_8,multiple,2020,0.0,0.0,0.0
Waiau_9,multiple,2020,0.0,0.0,0.0
Waiau_9,multiple,2025,0.3591625,1211.7458630954093,1172.6368295000002
Waiau_9,multiple,2030,0.0,0.0,0.0
Waiau_9,multiple,2035,0.0,0.0,0.0
Waiau_9,multiple,2040,0.0,0.0,0.0
Waiau_9,multiple,2045,0.0,0.0,0.0
