DemandResponseSpinningReserveDown_index_1,DemandResponseSpinningReserveDown_index_2,DemandResponseSpinningReserveDown_index_3,DemandResponseSpinningReserveDown
contingency,system_wide_balancing_area,2008041002,401.6225353383479
contingency,system_wide_balancing_area,2008041004,504.0834398699584
contingency,system_wide_balancing_area,2008041006,795.3984644427657
contingency,system_wide_balancing_area,2008041008,740.7881039266946
contingency,system_wide_balancing_area,2008041010,763.9463517435397
contingency,system_wide_balancing_area,2008041012,655.4787604800746
contingency,system_wide_balancing_area,2008041014,761.3737068108525
contingency,system_wide_balancing_area,2008041016,853.5643334180664
contingency,system_wide_balancing_area,2008041018,985.478602555816
contingency,system_wide_balancing_area,2008041020,902.6459582138633
contingency,system_wide_balancing_area,2008041022,661.1137054158531
contingency,system_wide_balancing_area,2008061700,492.0571913323907
contingency,system_wide_balancing_area,2008061702,407.9412582359834
contingency,system_wide_balancing_area,2008061704,468.57512473997843
contingency,system_wide_balancing_area,2008061706,801.3579587717356
contingency,system_wide_balancing_area,2008061708,828.5422674223513
contingency,system_wide_balancing_area,2008061710,699.1829308745026
contingency,system_wide_balancing_area,2008061712,795.9809504749422
contingency,system_wide_balancing_area,2008061714,894.6053112839073
contingency,system_wide_balancing_area,2008061716,969.9233723398852
contingency,system_wide_balancing_area,2008061718,966.3507375438295
contingency,system_wide_balancing_area,2008061720,937.3448138950315
contingency,system_wide_balancing_area,2008061722,746.4431151321483
contingency,system_wide_balancing_area,2008081800,395.8566818242449
contingency,system_wide_balancing_area,2008081802,334.6407798866291
contingency,system_wide_balancing_area,2008081804,525.115233345013
contingency,system_wide_balancing_area,2008081806,838.612554623964
contingency,system_wide_balancing_area,2008081808,890.1171739105021
contingency,system_wide_balancing_area,2008081810,920.8476345407075
contingency,system_wide_balancing_area,2008081812,798.7726391133377
contingency,system_wide_balancing_area,2008081814,905.2198969235945
contingency,system_wide_balancing_area,2008081816,984.1391298060635
contingency,system_wide_balancing_area,2008081818,1003.5529368521347
contingency,system_wide_balancing_area,2008081820,967.4622607759562
contingency,system_wide_balancing_area,2008081822,759.7137359817984
contingency,system_wide_balancing_area,2008091000,471.0757264712329
contingency,system_wide_balancing_area,2008091002,393.5632169579027
contingency,system_wide_balancing_area,2008091004,550.4343520563183
contingency,system_wide_balancing_area,2008091006,833.4705514979523
contingency,system_wide_balancing_area,2008091008,795.8231225668848
contingency,system_wide_balancing_area,2008091010,836.226514198547
contingency,system_wide_balancing_area,2008091012,772.1433956084153
contingency,system_wide_balancing_area,2008091014,827.6651051641305
contingency,system_wide_balancing_area,2008091016,999.1964146770114
