EVSpinningReserveUp_index_1,EVSpinningReserveUp_index_2,EVSpinningReserveUp_index_3,EVSpinningReserveUp
contingency,system_wide_balancing_area,2020112318,0.0
contingency,system_wide_balancing_area,2020112320,0.0
contingency,system_wide_balancing_area,2020112322,0.0
contingency,system_wide_balancing_area,2020122300,0.0
contingency,system_wide_balancing_area,2020122302,0.0
contingency,system_wide_balancing_area,2020122304,0.0
contingency,system_wide_balancing_area,2020122306,0.0
contingency,system_wide_balancing_area,2020122308,0.0
contingency,system_wide_balancing_area,2020122310,0.0
contingency,system_wide_balancing_area,2020122312,0.0
contingency,system_wide_balancing_area,2020122314,0.0
contingency,system_wide_balancing_area,2020122316,0.0
contingency,system_wide_balancing_area,2020122318,0.0
contingency,system_wide_balancing_area,2020122320,0.0
contingency,system_wide_balancing_area,2020122322,0.0
contingency,system_wide_balancing_area,2025012300,0.0
contingency,system_wide_balancing_area,2025012302,0.0
contingency,system_wide_balancing_area,2025012304,0.0
contingency,system_wide_balancing_area,2025012306,0.0
contingency,system_wide_balancing_area,2025012308,0.0
contingency,system_wide_balancing_area,2025012310,0.0
contingency,system_wide_balancing_area,2025012312,0.0
contingency,system_wide_balancing_area,2025012314,0.0
contingency,system_wide_balancing_area,2025012316,0.0
contingency,system_wide_balancing_area,2025012318,0.0
contingency,system_wide_balancing_area,2025012320,0.0
contingency,system_wide_balancing_area,2025012322,0.0
contingency,system_wide_balancing_area,2025022300,0.0
contingency,system_wide_balancing_area,2025022302,0.0
contingency,system_wide_balancing_area,2025022304,0.0
contingency,system_wide_balancing_area,2025022306,0.0
contingency,system_wide_balancing_area,2025022308,0.0
contingency,system_wide_balancing_area,2025022310,0.0
contingency,system_wide_balancing_area,2025022312,0.0
contingency,system_wide_balancing_area,2025022314,182.003200392
contingency,system_wide_balancing_area,2025022316,0.0
contingency,system_wide_balancing_area,2025022318,0.0
contingency,system_wide_balancing_area,2025022320,0.0
contingency,system_wide_balancing_area,2025022322,0.0
contingency,system_wide_balancing_area,2025032300,39.3020188972
contingency,system_wide_balancing_area,2025032302,0.0
contingency,system_wide_balancing_area,2025032304,0.0
contingency,system_wide_balancing_area,2025032306,43.9913441127
contingency,system_wide_balancing_area,2025032308,0.0
contingency,system_wide_balancing_area,2025032310,0.0
contingency,system_wide_balancing_area,2025032312,0.0
contingency,system_wide_balancing_area,2025032314,0.0
contingency,system_wide_balancing_area,2025032316,0.0
contingency,system_wide_balancing_area,2025032318,0.0
contingency,system_wide_balancing_area,2025032320,0.0
contingency,system_wide_balancing_area,2025032322,0.0
contingency,system_wide_balancing_area,2025042300,0.0
contingency,system_wide_balancing_area,2025042302,0.0
contingency,system_wide_balancing_area,2025042304,0.0
contingency,system_wide_balancing_area,2025042306,0.0
contingency,system_wide_balancing_area,2025042308,0.0
contingency,system_wide_balancing_area,2025042310,42.5999024861
contingency,system_wide_balancing_area,2025042312,0.0
contingency,system_wide_balancing_area,2025042314,0.0
contingency,system_wide_balancing_area,2025042316,0.0
contingency,system_wide_balancing_area,2025042318,0.0
contingency,system_wide_balancing_area,2025042320,0.0
contingency,system_wide_balancing_area,2025042322,14.5379972584
contingency,system_wide_balancing_area,2025052300,56.3402655643
contingency,system_wide_balancing_area,2025052302,0.0
contingency,system_wide_balancing_area,2025052304,40.7994519676
contingency,system_wide_balancing_area,2025052306,0.0
contingency,system_wide_balancing_area,2025052308,0.0
contingency,system_wide_balancing_area,2025052310,0.0
contingency,system_wide_balancing_area,2025052312,0.0
contingency,system_wide_balancing_area,2025052314,0.0
contingency,system_wide_balancing_area,2025052316,0.0
contingency,system_wide_balancing_area,2025052318,0.0
contingency,system_wide_balancing_area,2025052320,0.0
contingency,system_wide_balancing_area,2025052322,43.4152171637
contingency,system_wide_balancing_area,2025062300,0.0
contingency,system_wide_balancing_area,2025062302,0.0
contingency,system_wide_balancing_area,2025062304,0.0
contingency,system_wide_balancing_area,2025062306,24.5744873506
contingency,system_wide_balancing_area,2025062308,0.0
contingency,system_wide_balancing_area,2025062310,0.0
contingency,system_wide_balancing_area,2025062312,0.0
contingency,system_wide_balancing_area,2025062314,0.0
contingency,system_wide_balancing_area,2025062316,0.0
contingency,system_wide_balancing_area,2025062318,0.0
contingency,system_wide_balancing_area,2025062320,0.0
contingency,system_wide_balancing_area,2025062322,0.0
contingency,system_wide_balancing_area,2025072300,0.0
contingency,system_wide_balancing_area,2025072302,0.0
contingency,system_wide_balancing_area,2025072304,0.0
contingency,system_wide_balancing_area,2025072306,0.0
contingency,system_wide_balancing_area,2025072308,0.0
contingency,system_wide_balancing_area,2025072310,0.0
contingency,system_wide_balancing_area,2025072312,0.0
contingency,system_wide_balancing_area,2025072314,0.0
contingency,system_wide_balancing_area,2025072316,0.0
contingency,system_wide_balancing_area,2025072318,0.0
contingency,system_wide_balancing_area,2025072320,0.0
contingency,system_wide_balancing_area,2025072322,0.0
contingency,system_wide_balancing_area,2025082300,0.0
contingency,system_wide_balancing_area,2025082302,0.0
contingency,system_wide_balancing_area,2025082304,6.76877631324
contingency,system_wide_balancing_area,2025082306,0.0
contingency,system_wide_balancing_area,2025082308,0.0
contingency,system_wide_balancing_area,2025082310,0.0
contingency,system_wide_balancing_area,2025082312,0.0
contingency,system_wide_balancing_area,2025082314,0.0
contingency,system_wide_balancing_area,2025082316,0.0
contingency,system_wide_balancing_area,2025082318,0.0
contingency,system_wide_balancing_area,2025082320,0.0
contingency,system_wide_balancing_area,2025082322,0.0
contingency,system_wide_balancing_area,2025092300,0.0
contingency,system_wide_balancing_area,2025092302,0.0
contingency,system_wide_balancing_area,2025092304,0.0
contingency,system_wide_balancing_area,2025092306,0.0
contingency,system_wide_balancing_area,2025092308,0.0
contingency,system_wide_balancing_area,2025092310,0.0
contingency,system_wide_balancing_area,2025092312,0.0
contingency,system_wide_balancing_area,2025092314,0.0
contingency,system_wide_balancing_area,2025092316,43.107993262
contingency,system_wide_balancing_area,2025092318,0.0
contingency,system_wide_balancing_area,2025092320,0.0
contingency,system_wide_balancing_area,2025092322,0.0
contingency,system_wide_balancing_area,2025102300,0.0
contingency,system_wide_balancing_area,2025102302,0.0
contingency,system_wide_balancing_area,2025102304,0.0
contingency,system_wide_balancing_area,2025102306,0.0
contingency,system_wide_balancing_area,2025102308,0.0
contingency,system_wide_balancing_area,2025102310,0.0
contingency,system_wide_balancing_area,2025102312,0.0
contingency,system_wide_balancing_area,2025102314,111.598253242
contingency,system_wide_balancing_area,2025102316,0.0
contingency,system_wide_balancing_area,2025102318,0.0
contingency,system_wide_balancing_area,2025102320,0.0
contingency,system_wide_balancing_area,2025102322,0.0
contingency,system_wide_balancing_area,2025112300,0.0
contingency,system_wide_balancing_area,2025112302,0.0
contingency,system_wide_balancing_area,2025112304,0.0
contingency,system_wide_balancing_area,2025112306,0.0
contingency,system_wide_balancing_area,2025112308,0.0
contingency,system_wide_balancing_area,2025112310,0.0
contingency,system_wide_balancing_area,2025112312,0.0
contingency,system_wide_balancing_area,2025112314,0.0
contingency,system_wide_balancing_area,2025112316,0.0
contingency,system_wide_balancing_area,2025112318,0.0
contingency,system_wide_balancing_area,2025112320,0.0
contingency,system_wide_balancing_area,2025112322,0.0
contingency,system_wide_balancing_area,2025122300,0.0
contingency,system_wide_balancing_area,2025122302,0.0
contingency,system_wide_balancing_area,2025122304,0.0
contingency,system_wide_balancing_area,2025122306,0.0
contingency,system_wide_balancing_area,2025122308,0.0
contingency,system_wide_balancing_area,2025122310,0.0
contingency,system_wide_balancing_area,2025122312,0.0
contingency,system_wide_balancing_area,2025122314,0.0
contingency,system_wide_balancing_area,2025122316,0.0
contingency,system_wide_balancing_area,2025122318,0.0
contingency,system_wide_balancing_area,2025122320,0.0
contingency,system_wide_balancing_area,2025122322,0.0
contingency,system_wide_balancing_area,2030012300,0.0
contingency,system_wide_balancing_area,2030012302,0.0
contingency,system_wide_balancing_area,2030012304,0.0
contingency,system_wide_balancing_area,2030012306,0.0
contingency,system_wide_balancing_area,2030012308,0.0
contingency,system_wide_balancing_area,2030012310,0.0
contingency,system_wide_balancing_area,2030012312,296.541870634
contingency,system_wide_balancing_area,2030012314,0.0
contingency,system_wide_balancing_area,2030012316,0.0
contingency,system_wide_balancing_area,2030012318,0.0
contingency,system_wide_balancing_area,2030012320,0.0
contingency,system_wide_balancing_area,2030012322,0.0
contingency,system_wide_balancing_area,2030022300,0.0
contingency,system_wide_balancing_area,2030022302,0.0
contingency,system_wide_balancing_area,2030022304,0.0
contingency,system_wide_balancing_area,2030022306,0.0
contingency,system_wide_balancing_area,2030022308,39.046880537
contingency,system_wide_balancing_area,2030022310,0.0
contingency,system_wide_balancing_area,2030022312,400.30415703
contingency,system_wide_balancing_area,2030022314,0.0
contingency,system_wide_balancing_area,2030022316,0.0
contingency,system_wide_balancing_area,2030022318,0.0
contingency,system_wide_balancing_area,2030022320,0.0
contingency,system_wide_balancing_area,2030022322,0.0
contingency,system_wide_balancing_area,2030032300,0.0
contingency,system_wide_balancing_area,2030032302,0.0
contingency,system_wide_balancing_area,2030032304,0.0
contingency,system_wide_balancing_area,2030032306,0.0
