DemandResponseSpinningReserveUp_index_1,DemandResponseSpinningReserveUp_index_2,DemandResponseSpinningReserveUp_index_3,DemandResponseSpinningReserveUp
contingency,system_wide_balancing_area,2030072320,0.0
contingency,system_wide_balancing_area,2030072322,0.0
contingency,system_wide_balancing_area,2030082300,0.0
contingency,system_wide_balancing_area,2030082302,0.0
contingency,system_wide_balancing_area,2030082304,0.0
contingency,system_wide_balancing_area,2030082306,0.0
contingency,system_wide_balancing_area,2030082308,0.0
contingency,system_wide_balancing_area,2030082310,0.0
contingency,system_wide_balancing_area,2030082312,295.555411214
contingency,system_wide_balancing_area,2030082314,0.0
contingency,system_wide_balancing_area,2030082316,0.0
contingency,system_wide_balancing_area,2030082318,0.0
contingency,system_wide_balancing_area,2030082320,0.0
contingency,system_wide_balancing_area,2030082322,0.0
contingency,system_wide_balancing_area,2030092300,0.0
contingency,system_wide_balancing_area,2030092302,0.0
contingency,system_wide_balancing_area,2030092304,0.0
contingency,system_wide_balancing_area,2030092306,0.0
contingency,system_wide_balancing_area,2030092308,0.0
contingency,system_wide_balancing_area,2030092310,186.425611199
contingency,system_wide_balancing_area,2030092312,0.0
contingency,system_wide_balancing_area,2030092314,256.640816934
contingency,system_wide_balancing_area,2030092316,0.0
contingency,system_wide_balancing_area,2030092318,0.0
contingency,system_wide_balancing_area,2030092320,0.0
contingency,system_wide_balancing_area,2030092322,0.0
contingency,system_wide_balancing_area,2030102300,0.0
contingency,system_wide_balancing_area,2030102302,0.0
contingency,system_wide_balancing_area,2030102304,0.0
contingency,system_wide_balancing_area,2030102306,0.0
contingency,system_wide_balancing_area,2030102308,127.246729228
contingency,system_wide_balancing_area,2030102310,313.185425169
contingency,system_wide_balancing_area,2030102312,336.566001707
contingency,system_wide_balancing_area,2030102314,0.0
contingency,system_wide_balancing_area,2030102316,0.0
contingency,system_wide_balancing_area,2030102318,0.0
contingency,system_wide_balancing_area,2030102320,0.0
contingency,system_wide_balancing_area,2030102322,0.0
contingency,system_wide_balancing_area,2030112300,0.0
contingency,system_wide_balancing_area,2030112302,0.0
contingency,system_wide_balancing_area,2030112304,0.0
contingency,system_wide_balancing_area,2030112306,0.0
contingency,system_wide_balancing_area,2030112308,0.0
contingency,system_wide_balancing_area,2030112310,0.0
contingency,system_wide_balancing_area,2030112312,313.196004495
contingency,system_wide_balancing_area,2030112314,0.0
contingency,system_wide_balancing_area,2030112316,0.0
contingency,system_wide_balancing_area,2030112318,0.0
contingency,system_wide_balancing_area,2030112320,0.0
contingency,system_wide_balancing_area,2030112322,0.0
contingency,system_wide_balancing_area,2030122300,0.0
contingency,system_wide_balancing_area,2030122302,0.0
contingency,system_wide_balancing_area,2030122304,0.0
contingency,system_wide_balancing_area,2030122306,0.0
contingency,system_wide_balancing_area,2030122308,0.0
contingency,system_wide_balancing_area,2030122310,0.0
contingency,system_wide_balancing_area,2030122312,0.0
contingency,system_wide_balancing_area,2030122314,0.0
contingency,system_wide_balancing_area,2030122316,0.0
