load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Conting,Battery_Reg,CC_152,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Barge,IC_MCBH,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,fuel cells
Oahu,2020,180.0,8.0,196.93898782035905,0.0,0.0,150.586,0.0,185.7,38.097,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,82.1,86.1,85.3,134.3,0.0,90.0,90.0,28.0,0.0,501.38498774289604,303.3,20.0,0.0,46.6,46.6,54.5,53.5,82.9,86.1,0.0,0,0
Oahu,2025,0.0,8.0,222.7740424322784,0.0,0.0,150.586,0.0,493.8363753903928,89.96649415582667,370.70000000000005,73.0,12.2,0.0,0.0,48.84,82.1,82.1,86.1,85.3,134.3,0.0,90.0,90.0,28.0,0.0,645.8900248003902,303.3,20.0,49.9,0.0,0.0,54.5,53.5,0.0,86.1,52.9,0,0
Oahu,2030,0.0,8.0,483.9111275703546,0.0,0.0,150.586,113.0,1297.359288710271,92.31930107483703,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,0.0,86.1,85.3,134.3,0.0,90.0,90.0,28.0,0.0,648.5642767364936,303.3,20.0,49.9,0.0,0.0,0.0,0.0,0.0,86.1,52.9,0,0
Oahu,2035,0.0,8.0,445.63220247520957,0.0,0.0,150.586,113.0,1470.4558517165708,192.11104470631528,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,0.0,86.1,85.3,134.3,0.0,90.0,90.0,28.0,0.0,648.5642767364936,303.3,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0,0
Oahu,2040,0.0,8.0,419.7971478632902,0.0,0.0,150.586,113.0,1878.157009549345,299.2270857538771,370.70000000000005,73.0,12.2,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,648.5642767364936,303.3,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0,0
Oahu,2045,0.0,8.0,707.1881801953714,0.0,0.0,150.586,113.0,2791.6536334683447,300.7174509598676,1322.6406391157166,73.0,0.0,0.0,0.0,48.84,0.0,0.0,0.0,0.0,134.3,0.0,90.0,90.0,28.0,0.0,549.5642767364936,113.69000000000001,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
