PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,3904186978.433605,959492967.6729234,25.656994626510986,37396935.285689846
2025,3330188647.0034623,948781366.6018424,26.302795657035052,36071502.77761739
2030,2952751789.7351203,975237462.7114265,28.033153007924767,34788718.28779781
2035,2699012415.343992,1033414236.8030181,29.099429658964098,35513212.764452726
2040,2289239846.3041697,1016124629.2892661,27.649133572986628,36750686.11488159
2045,2135909628.3122053,1099068291.551027,29.195025366807712,37645738.53738025
